покажи мне спутниковую карту	settings.satellite.show
обзор маршрута	route.show
на работу	route.calc.work
расскажи про пробки	traffic.overall
какой клиренс у гольфа шестого	auto_facts.other
макдональдс	search.geo.org.general
нет поворота	point.add.error
сколько осталось	route.info.how_long_to_drive
яндекс отметь метку другое	point.add.other
выключи спутниковую карту	settings.satellite.hide
во сколько буду	route.info.when_we_get_there
дорожные работы	point.add.road_works
включи беззвучный режим	settings.sound.mute
весь маршрут	route.show
отметь на карте камеру	point.add.camera
удали парковки	parking.hide
слушай яндекс время прибытия	route.info.when_we_get_there
не нужно парковок на карте	parking.hide
парк горького	search.geo.org.general
как едем	route.show
алиса знаешь причину пробки	traffic.why
какие пробки на внешней стороне мкада	traffic.street
очисть карту от парковок	parking.hide
ломоносовский проспект построй маршрут	route.calc.address
отмени маршрут	route.reset.current
дорожные работы в левом ряду	point.add.road_works
во сколько приеду	route.info.when_we_get_there
айда до дома	simple.go_home
сколько простоим	traffic.how_long_traffic_jam
лужнецкий проезд маршрут	route.calc.address
поставь штурмана баста	settings.change_voice
включи все дтп	point.show.accident
опять все перекопали	point.add.road_works
авария в правом ряду	point.add.accident
таганская площадь 33	search.geo.address.general
алиса поставь точку авария	point.add.accident
рыбный ресторан	search.geo.org.general
выезд на встречку штраф	auto_facts.fines
поехали к дому	simple.go_home
сохрани тут камеру	point.add.camera
вижу авария в правом ряду	point.add.accident
точное время прибытия	route.info.when_we_get_there
хочу увидеть парковки	parking.show
вижу радар	point.add.camera
выключи звук навигатора	settings.sound.mute
покажи дорогу	route.show
химки	search_on_map.toponym
сбрось маршрут	route.reset.current
слушай яндекс включи аварии	point.show.accident
улица ленивка 4/8	search.geo.address.general
нет проезда	point.add.error
алиса поставь пожалуйста голос басты	settings.change_voice
ошибка запрет движения	point.add.error
отзумь карту	settings.map.zoom
долго стоять	traffic.how_long_traffic_jam
далеко еще	route.info.how_long_to_drive
стукнулись двое впереди	point.add.accident
едем на проспект вернадского 47	route.calc.address
больше не хочу спутниковую карту	settings.satellite.hide
когда уже поедем	traffic.how_long_traffic_jam
из-за чего тут пробка	traffic.why
хочу увидеть все аварии на карте	point.show.accident
пятерочка	search.geo.org.general
отметь дорожное событие другое	point.add.other
выключи беззвучный режим	settings.sound.unmute
поставь ошибку	point.add.error
сколько до финиша	route.info.how_long_to_drive
отобрази пробки	traffic.show
покажи путь	route.show
алиса поехали домой	simple.go_home
я тут надолго	traffic.how_long_traffic_jam
улица академика королёва 15к2 поехали	route.calc.address
поставь дорожное событие	point.add.no_type
включи диктора бондарчука	settings.change_voice
в каком часу буду	route.info.when_we_get_there
маршрут до дома	simple.go_home
слушай яндекс поставить точку разговорчики	point.add.comment
отобрази слой дтп	point.show.accident
запиши ошибку	point.add.error
поехали на льва толстого 16	route.calc.address
алиса выключи голоса	settings.sound.mute
найди парковку	parking.find_parking
покажи весь маршрут движения	route.show
слушай алиса убери с карты все дтп	point.hide.accident
убери парковки	parking.hide
вижу камеру	point.add.camera
скрой парковки на карте	parking.hide
азс лукойл	search_on_map.refuel
вруби оксану	settings.change_voice
платим за парковку	parking.pay
проспект вернадского 97к3 маршрут	route.calc.address
парковки на карте	parking.show
не хочу пробки на карте	traffic.hide
сколько штраф за знак шипы	auto_facts.fines
почему тут встали	traffic.why
полный маршрут	route.show
поставь стационарную камеру	point.add.camera
уменьши карту	settings.map.zoom
впереди камера на 60	point.add.camera
слушай яндекс в чем прична пробки	traffic.why
улица софьи ковалевской 4к2	search.geo.address.general
включи все звуки	settings.sound.unmute
поставь ошибка шлагбаум	point.add.error
зафиксриуй ремонт моста	point.add.road_works
закончить беззвучный режим	settings.sound.unmute
маршрут до сбербанка	route.calc.org
поехали к работе	route.calc.work
алиса спутниковые снимки	settings.satellite.show
слушай яндекс тут ошибка	point.add.error
ленинский 99	search.geo.address.general
отметь тут точку разговорчик	point.add.comment
отменить маршрут	route.reset.current
кантемировская улица 20к1 поехали	route.calc.address
призумь карту	settings.map.zoom
выключи звук	settings.sound.mute
айда до работы	route.calc.work
сколько стоит форд фокус	auto_facts.other
машина сломался правом ряду	point.add.accident
что там впереди почему пробка	traffic.why
где бросить машину	parking.find_parking
запиши текст на карту	point.add.comment
51 градус 48 минут 0 54 секунды северной широты 39 11 минут 674 секунд восточной долготы	search_on_map.coordinates
на долго тут	traffic.how_long_traffic_jam
скрой парковки	parking.hide
покажи мне спутник	settings.satellite.show
поставь другое дорожное событие	point.add.other
впереди фотографируют	point.add.camera
карту поближе	settings.map.zoom
включи обратно звук	settings.sound.unmute
выключи спутник	settings.satellite.hide
дай спутниковую карту	settings.satellite.show
алиса не хочу больше спутник	settings.satellite.hide
сколько осталось маршрута	route.info.how_long_to_drive
что с пробками на пересечении дмитровки и ттк	traffic.street
спутниковая карта	settings.satellite.show
какие есть голоса	settings.change_voice
алиса верни обратно звук	settings.sound.unmute
покажи слой дтп	point.show.accident
маршрут на автобусе до мурманска	route.calc.pub_transport
какие сегодня пробки	traffic.overall
верни схему	settings.satellite.hide
показать где я стою	search_on_map.show_me.current
молодогвардейская улица 54с5 маршрут	route.calc.address
надолго встряли	traffic.how_long_traffic_jam
калужка стоит	traffic.street
не нужно пробок на карте	traffic.hide
зафиксируй разговорчик	point.add.comment
долго простоим	traffic.how_long_traffic_jam
мое местонахождение где я нахожусь	search_on_map.show_me.current
верни пробки на карту	traffic.show
ошибка кирпич такси нельзя	point.add.error
где парковки на карте	parking.show
знаменская улица 5	search.geo.address.general
включи без звука	settings.sound.mute
пробки в екатеринбурге	traffic.overall
очисть историю маршрутов	route.reset.history
скрой пробки на карте	traffic.hide
очисть карту от пробок	traffic.hide
отметь тут текст	point.add.comment
вруби парковки на карте	parking.show
ищи парковку	parking.find_parking
сколько штраф за неправильную парковку	auto_facts.fines
поставь текст на карту	point.add.comment
ремонт дороги в левом ряду	point.add.road_works
надолго пробка	traffic.how_long_traffic_jam
оплати парковку	parking.pay
покажи мне все аварии	point.show.accident
севастопольский проспект 50/11 поехали	route.calc.address
покажи маршрут	route.show
поехали в москву	route.calc.address
давай на работу	route.calc.work
верни звуки	settings.sound.unmute
покажи парковки	parking.show
удали все маршруты	route.reset.history
поставь тут разговорчик	point.add.comment
ттк по внешке стоит	traffic.street
проспект андропова 21	search.geo.address.general
слушай алиса парковки покажи	parking.show
маршрут до работы	route.calc.work
перекопали 49 километр егорьевского шоссе	point.add.road_works
дтп тойота и мерседес	point.add.accident
выруби пробки	traffic.hide
ставь точку другое	point.add.other
давай поищем парковку	parking.find_parking
на метро до вднх	route.calc.pub_transport
отметить точку	point.add.no_type
алиса удали с карты парковки	parking.hide
какой сейчас пробочный балл	traffic.overall
езда без прав штраф	auto_facts.fines
улица большая ордынка	search.geo.address.general
ленинградка стоит или едет	traffic.street
выключи все звуки	settings.sound.mute
не хочу видеть дтп на карте	point.hide.accident
забыл страховку штраф	auto_facts.fines
не хочу парковки на карте	parking.hide
поехали в домодедово	route.calc.org
поставь точку	point.add.no_type
алиса убери слой дтп	point.hide.accident
мега теплый стан	search.geo.org.general
поехали до работы сейчас	route.calc.work
отобрази парковки	parking.show
едем на работу	route.calc.work
пушкинский музей	search.geo.org.general
ремонтные работы в правом ряду	point.add.road_works
слушай алиса идут раскопки	point.add.road_works
покажи мне все парковки	parking.show
едем до макдональдса	route.calc.org
вижу аварию	point.add.accident
вруби мне голос басты	settings.change_voice
поставить точку авария	point.add.accident
сделай карту мельче	settings.map.zoom
зафиксируй что тут камера	point.add.camera
убери пробки	traffic.hide
ярославское шоссе 8а едем	route.calc.address
сбросить маршрут	route.reset.current
маршрут веерная улица 7к1	route.calc.address
почем нынче парковка	parking.pay
поставь точку ошибка	point.add.error
построй маршрут до дома	simple.go_home
реконструкция дороги	point.add.road_works
алиса поехали на работу	route.calc.work
41 какой регион	auto_facts.other
добраться до садовая-триумфальная улица 2с2	route.calc.address
выбери 2 маршрут	route.select
маршрут целиком	route.show
хочу голос из звездных войн	settings.change_voice
поехали до хаты	simple.go_home
опять все разрыли в правом ряду	point.add.road_works
поехали	route.calc.somewhere
хочу оплатить парковку 3239	parking.pay
ленинский в центр как	traffic.street
во сколько приедем	route.info.when_we_get_there
слушай алиса пробки покажи	traffic.show
дернем до работы	route.calc.work
штраф за автокресло	auto_facts.fines
установить точку разговорчики	point.add.comment
установи точку ремонт дороги	point.add.road_works
удали пробки	traffic.hide
покажи мне все пробки	traffic.show
банкомат сбербанка	search.geo.org.general
дтп левый ряд	point.add.accident
прекратить ведение маршрута	route.reset.current
не хочу голосовое сопровождение	settings.sound.mute
где пробки на карте	traffic.show
включи звук в навигаторе	settings.sound.unmute
алиса выключи звуки	settings.sound.mute
впереди ремонт дороги	point.add.road_works
время прибытия по москве	route.info.when_we_get_there
поехали на лукойл	search_on_map.refuel
слушай яндекс хочу спутник	settings.satellite.show
поставь ошибку перекрытие	point.add.error
давай маршрут с высоты	route.show
почему тут красное	traffic.why
троицк	search_on_map.toponym
переключи карту на спутник	settings.satellite.show
москва	search_on_map.toponym
когда надо менять шины	auto_facts.other
хочу снова слышать звуки навигатора	settings.sound.unmute
переключи обратно на схему	settings.satellite.hide
поставь первый маршрут	route.select
ошибка на карте	point.add.error
храм христа спасителя	search.geo.org.general
маршрут домой на троллейбусе	route.calc.pub_transport
маршрут до дома правительства	route.calc.org
сколько до конца маршрута	route.info.how_long_to_drive
включи уткина как диктора	settings.change_voice
икеа	search.geo.org.general
разрыли дорогу	point.add.road_works
дтп	point.add.accident
едем до троицка	route.calc.address
едем домой	simple.go_home
парковочный маршрут	parking.find_parking
хочу увидеть пробки	traffic.show
куда залить незамерзайку	auto_facts.other
отметь точку текст	point.add.comment
алиса тут ошибка на карте	point.add.error
какие голоса умеет навигатор	settings.change_voice
проезд на красный какой штраф	auto_facts.fines
поставь разговорчик	point.add.comment
маршрут в продуктовый магазин	route.calc.org
отметь дтп в правом ряду	point.add.accident
поставь метку другое	point.add.other
аптека	search.geo.org.general
алиса включи спутинк	settings.satellite.show
построй маршрут	route.calc.somewhere
здесь авария на встречный площадь	point.add.accident
покажи все аварии	point.show.accident
сколько еще стоять будем	traffic.how_long_traffic_jam
скрой пробки	traffic.hide
слушай яндекс ремонт дороги	point.add.road_works
удали все поездки	route.reset.history
выключи голосовое сопровождение	settings.sound.mute
маршрут до парковки	parking.find_parking
поехали на кулакова 25к1	route.calc.address
какие пробки на ленинском	traffic.street
давай домой	simple.go_home
сколько до зеленого	traffic.how_long_traffic_jam
слушай яндекс маршрут ферганская улица 10	route.calc.address
сколько мне еще ехать	route.info.how_long_to_drive
алиса не слышать диктора	settings.sound.mute
во сколько точно приедем	route.info.when_we_get_there
поиск парковок	parking.find_parking
алиса скажи во сколько приедем	route.info.when_we_get_there
алиса поставь точку другое	point.add.other
слушай яндекс не надо пробок на карте	traffic.hide
авария	point.add.accident
едем	route.calc.somewhere
тут авария	point.add.accident
строй маршрут до работы	route.calc.work
остановить маршрут	route.reset.current
отмена маршрута	route.reset.current
давай поставим метку другое	point.add.other
отменить текущий маршрут	route.reset.current
поехали на азс	search_on_map.refuel
алиса отметь камеру	point.add.camera
поставь точку ремонт	point.add.road_works
авария в левом ряду	point.add.accident
алиса покажи аварии на карте	point.show.accident
верни парковки на карту	parking.show
поворот запрещен	point.add.error
обзор карта	route.show
енисейская улица 12	search.geo.address.general
трифоновская улица 26	search.geo.address.general
поехали в метро кэш энд кери	route.calc.org
сбрось ведение маршрута	route.reset.current
удалить маршрут	route.reset.current
слушай яндекс впереди камера	point.add.camera
впереди ремонт моста	point.add.road_works
очисть список поездок	route.reset.history
скрой все дтп	point.hide.accident
едем до сходненская улица 5	route.calc.address
слушай яндекс тут нет поворота	point.add.error
вруби пробки на карте	traffic.show
переключи на спутник	settings.satellite.show
где оставить тачку	parking.find_parking
сделай карту крупнее	settings.map.zoom
алиса удали с карты пробки	traffic.hide
отобрази слой с авариями	point.show.accident
слушай алиса скрой аварии	point.hide.accident
пробки в городе	traffic.overall
сколько еще км	route.info.how_long_to_drive
вижу дтп в правом ряду	point.add.accident
