INPUT:dialog	GOLDEN:intent	HINT:text
выруби звук	settings.sound.mute	Выполнить действие / Управление устройством / Звук/ Выключить
покажи слой дорожных работ	point.show.road_works	Выполнить действие / Дорожные события / Отображение ДС / Дорожные работы
нет поворота налево	point.add.error	Выполнить действие / Дорожные события / Добавление точки / Ошибка
покажи дтп	point.show.accident	Выполнить действие / Дорожные события / Отображение ДС / Авария
отмени маршрут	route.reset.current	Выполнить действие / Запросы к навигатору / Маршруты / Сброс/отмена текущего маршрута
впереди все перекопали	point.add.road_works	Выполнить действие / Дорожные события / Добавление точки / Дорожные работы
дорожные работы	point.add.road_works	Выполнить действие / Дорожные события / Добавление точки / Дорожные работы
давай погромче	settings.sound.volume_up	Выполнить действие / Управление устройством / Звук / Погромче
парковки у метро аэропорт	search_on_map.parking	Выполнить действие / Запросы к навигатору / Парковки / Поиск определенных парковок

далеко еще?	route.info.how_long_to_drive	Картографические запросы / Маршруты и пробки / Информация об уже построенном маршруте / Сколько осталось ехать
найди парковку	parking.find_parking	Картографические запросы / Маршруты и пробки / Построение маршрута / На ближайшую парковку
какой штраф за выделенку	auto_facts.fines	Информация из интернета / Вопросы связанные с авто / Штрафы
какая мощность у движка на вольво	auto_facts.other	Информация из интернета / Вопросы связанные с авто / Другое
отмена	other.nonsense	Другое / Прочее (неясно, что именно отменить)
определи мое местоположение	search_on_map.show_me.current	Картографические запросы / Собственное расположение / Текущее
покажи где я был 2 часа назад	search_on_map.show_me.history	Картографические запросы / Собственное расположение / В прошлом
петрозаводск	search_on_map.toponym	Картографические запросы / Населенные пункты (области)
давай послушаем радио европа плюс	action.app.music.fm	Выполнить действие / Работа с приложениями / Музыкальные приложения / Слушать FM-радио

где я	search_on_map.show_me.current	Картографические запросы / Собственное расположение / Текущее
51 градус 48 минут 0 54 секунды северной широты 39 11 минут 674 секунд восточной долготы	search_on_map.coordinates	Картографические запросы / Координаты
сколько ехать от москвы до владивостока	route.calc.timing	Картографические запросы / Маршруты и пробки / Построение маршрута / Сколько ехать?
сколько мне еще ехать	route.info.how_long_to_drive	Картографические запросы / Маршруты и пробки / Информация об уже построенном маршруте / Сколько осталось ехать
пробки на калужке	traffic.street	Картографические запросы / Маршруты и пробки / Пробки без уточнения / Пробки в конкретных местах
айда на работу	route.calc.work	Картографические запросы / Маршруты и пробки / Построение маршрута / На работу
переключи на спутник	settings.satellite.show	Выполнить действие / Настройки навигатора / Спутниковая карта / Показать
надолго пробка?	traffic.how_long_traffic_jam	Картографические запросы / Маршруты и пробки / Пробки без уточнения / На сколько пробка?
ленина тридцать четыре	search.geo.address.general	Картографические запросы / Поиск по адресу / Без уточнения

переключи на схему	settings.satellite.hide	Выполнить действие / Настройки навигатора / Спутниковая карта / Скрыть
удали парковки	parking.hide	Выполнить действие / Запросы к навигатору / Парковки / Скрыть
дпс по мещере	search.geo.org.general	Картографические запросы / Поиск организаций / Без уточнения
почему стоим	traffic.why	Картографические запросы / Маршруты и пробки / Пробки без уточнения / Какая причина пробки?
скрой пробки	traffic.hide	Выполнить действие / Настройки навигатора / Пробки / Скрыть
сохрани текущее положение	save_place.current_position	Выполнить действие / Запросы к навигатору / Сохранение избранных точек / Текущее местоположение
ехать на автобусе до павелецкого вокзала	route.calc.pub_transport	Картографические запросы / Маршруты и пробки / Построение маршрута / На общественном транспорте
77 какой регион	auto_facts.other	Информация из интернета / Вопросы связанные с авто / Другое
поехали	route.calc.somewhere	Картографические запросы / Маршруты и пробки / Построение маршрута / Без указания точки

пробки на ленинском проспекте	traffic.street	Картографические запросы / Маршруты и пробки / Пробки без уточнения / Пробки в конкретных местах
сколько ехать до проспекта мира 34	route.calc.timing	Картографические запросы / Маршруты и пробки / Построение маршрута / Сколько ехать?
вруби парковки	parking.show	Выполнить действие / Запросы к навигатору / Парковки / Отобразить парковки
приблизь карту	settings.map.zoom	Выполнить действие / Настройки навигатора / Управление масштабом карты
убери парковки	parking.hide	Выполнить действие / Запросы к навигатору / Парковки / Скрыть
поставь дтп	point.add.accident	Выполнить действие / Запросы к навигатору / Дорожные события / Добавление точки / Авария
сколько км пробка	traffic.how_long_traffic_jam	Картографические запросы / Маршруты и пробки / Пробки без уточнения / На сколько пробка?
покажи весь маршрут	route.show	Выполнить действие / Запросы к навигатору / Маршруты / Обзор маршрута
давай оплатим парковку 3201	parking.pay	Выполнить действие / Запросы к навигатору / Парковки / Оплатить парковку
