INPUT:dialog	GOLDEN:intent	HINT:text
открой мне яндекс браузер	action.app.browser.general.open_ya_browser	Выполнить действие - Браузер - Открыть браузер - Открыть Яндекс Браузер
открой вкладку в режиме инкогнито	action.app.browser.tabs.open_incognito_mode	Выполнить действие - Браузер - Вкладки - Открыть в режиме инкогнито
алиса открой мне википедию в браузере	action.app.browser.open_site	Выполнить действие - Браузер - Открыть сайт
алиса запусти гугл хром пожалуйста	action.app.browser.general.open_default_browser	Выполнить действие - Браузер - Открыть браузер - Открыть другой браузер
алиса покажи историю
алиса сотри всю историю браузера	action.app.browser.history.clear_history	Выполнить действие - Браузер - История Браузера - Стереть
закрой пожалуйста панель закладок	action.app.browser.bookmarks.close_bookmarks_manager	Выполнить действие - Браузер - Панель закладок
открой сайт google.com	action.app.browser.open_site	Выполнить действие - Браузер - Открыть сайт
алиса открой мне мои закладки в браузере	action.app.browser.bookmarks.open_bookmarks_manager	Выполнить действие - Браузер - Панель закладок
закрой вкладку в режиме инкогнито	action.app.browser.tabs.close_tab	Выполнить действие - Браузер - Вкладки - Закрыть
алиса открой мне вкладку с наушниками	action.app.browser.tabs.new_tab	Выполнить действие - Браузер - Вкладки - Открыть
открой пожалуйста последнюю ссылку, не могу я с телефона сейчас, открой историю	action.app.browser.history.open_history	Выполнить действие - Браузер - История Браузера - Открыть
