INPUT:dialog	GOLDEN:intent	HINT:text
скачать порнуху	search.porno.video	Информация из интернета - Поиск контента - Видео или клипы - Порно без уточнения сайта
включи юмор фм	search.content.radio.fm	Интернет-радиовещание, выполняющееся не Яндексом, также относим к "FM-радио". Тема: Информация из интернета - Поиск контента - Радио - FM-радио.
сказку слушать	general_conversation.tell.fairytale	Информация из интернета - Поиск контента - Аудиосказки. Общие запросы про "послушать сказку" относим сюда же
кто снимался в фильме аватар	search.content.film.info	Информация из интернета - Поиск контента - Фильмы и сериалы - Информация о фильме/сериале
а может посмотрим игру престолов,А почему бы и нет?,включай	search.content.film.play	Информация из интернета - Поиск контента - Фильмы и сериалы - Посмотреть
включи яндекс радио рок	search.content.radio.yandex	Просьба включить трансляцию музыки в стиле рок на Яндекс Радио. Тема: Информация из интернета - Поиск контента - Радио - Яндекс Радио.
а не посмотреть бы нам клипы алиса?,Вот список 10 самых популярных видео клипов,включай поочереди	search.content.video.not_porno	Информация из интернета - Поиск контента - Видео или клипы - Прочие видео без уточнения
видео порно смотреть онлайн	search.porno.video	Информация из интернета - Порно запросы - Порно видео, но не указаны слова вроде "скачать"
кто режиссер черного зеркала	search.content.film.info	Информация из интернета - Поиск контента - Фильмы и сериалы - Информация о фильме/сериале
м зощенко рассказы,Найдётся всё! [ Открывается поиск по запросу <м зощенко рассказы> ],аудиокнига рассказ главное войско слушать	search.content.audiobooks	Информация из интернета - Поиск контента - Аудиокниги
скачать игру космические рейнджеры 2	search.content.other	Информация из интернета - Поиск контента - Прочий контент
включи радио	search.content.radio.fm	Один из наиболее частых запросов с просьбой включить трансляцию одной из FM-радиостанций. Тема: Информация из интернета - Поиск контента - Радио - FM-радио.
криминальное чтиво	search.content.film.find	Просто название фильма без указания посмотреть/скачать (Информация из интернета - Поиск контента - Фильмы и сериалы - Найти)
алиса скачать детектив дарьи донцовой через торрент, Открываю поиск [ Открывается поиск по запросу <скачать детектив дарьи донцовой через торрент>,алиса скачать аудиокнигу дарьи донцовой через торрент	search.content.audiobooks	Информация из интернета - Поиск контента - Аудиокниги. Указания скачать также относим к аудиокнигам
слушать на яндекс радио детские песни из современных мультфильмов	search.content.radio.yandex	Просьба включить трансляцию радиовещания Яндекса. Тема: Информация из интернета - Поиск контента - Радио - Яндекс Радио.
скачать игру веселая ферма на телефон	search.content.other	Информация из интернета - Поиск контента - Прочий контент (нет выделенной категории для игр)
как дела, хорошо\, а у вас, включи я худею	search.content.film.play	Информация из интернета - Поиск контента - Фильмы и сериалы - Посмотреть
покажи тоню против всех на кинопоиске	action.app.video	Информация из интернета - Поиск контента - Фильмы и сериалы - Открыть приложение/сайт
радио рынок митино	search.geo.org.general	В запросе ищут организацию. Тема: Информация из интернета - Картографические запросы - Поиск организаций - Без уточнения
скачать дмб 2	search.content.film.download	Информация из интернета - Поиск контента - Фильмы и сериалы - Скачать
открой смешные видосы
интернет радио	search.content.radio.fm	Формулировка запроса подразумевает онлайн-трансляцию FM-радио. Тема: Информация из интернета - Поиск контента - Радио - FM-радио.
хочу заснуть под звуки водопада	search.content.nature	Информация из интернета - Поиск контента - Звуки природы
волшебник изумрудного города ютуб слушать	action.app.video	Здесь надо открыть видео, где записана аудиокнига. Информация из интернета - Поиск контента - Видео или клипы - Открыть в приложении / сайте
Алиса\, включи сказку от Сергея Лазарева	general_conversation.tell.fairytale	Информация из интернета - Поиск контента - Аудиосказки. На этот вопрос откроется аудиосказка "Царевна-лягушка" в исполнении Сергея Лазарева
подкаст все как всегда включи	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
давай включи подкаст сергей соловьев в спецвыпуске подкаста к юбилею	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
смешные подкаты к девушкам фразы	search.other	Информация из интернета - Прочие запросы
алиса включи подкасты	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
купить мотоподкат	search.market.commodity	Информация из интернета - Покупка и продажа - Поиск товара
включить подкаст важно знать	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
если подаст на развод что делать	search.other	Информация из интернета - Прочие запросы
включи подкаст русский детройт	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
включи пожалуйста подкаст отвратительные мужики 10 выпуск	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
где покататься на коньках переделкино	search.geo.org.general	Информация из интернета - Картографические запросы - Поиск организаций - Без уточнения
включить подкаст snoop	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
поставь подкаст дима зицер	search.content.podcasts	Информация из интернета - Поиск контента - Подкасты
