INPUT:dialog	GOLDEN:intent	HINT:text
что находится по адресу санкт петербург набережная реки мойки 1	search.geo.address.general	Информация из интернета - Картографические запросы - Поиск по адресу - Без уточнения
расстояние от москвы до подольска покажи	search.geo.navi.distance	Информация из интернета - Картографические запросы - Маршруты и пробки - Расстояние от/до
алиса привет,привет,рядом со мной есть макдональдс?	search.geo.org.general	Информация из интернета - Картографические запросы - Поиск организаций - Без уточнения
привет алиса,И тебе привет,Построй маршрут на работу,Маршрут построен до работы 23 минуты,поехали	search.geo.navi.route_general	Информация из интернета - Картографические запросы - Маршруты и пробки - Маршруты без уточнения
покажи мне бары в приложении яндекс карты	action.app.maps	Информация из интернета - Картографические запросы - Поиск организаций - В приложении
сантехнику купить недалеко от метро пражская	search.geo.org.general	Ищется конкретное место физической продажи товара. Информация из интернета - Картографические запросы - Поиск организаций - Без уточнения
построй маршрут домой,Маршрут построен до дома ехать 45 минут,Есть пробки на маршруте?	search.geo.navi.traffic_general	Информация из интернета - Картографические запросы - Маршруты и пробки - Пробки без уточнения
открой яндекс навигатор плиз	action.app.maps	Выполнить действие - Запуск приложений/сайтов - Приложение Карты или Навигатор
алиса построй маршрут до дома	search.geo.navi.route_general	Информация из интернета - Картографические запросы - Маршруты и пробки - Маршруты без уточнения
круглосуточные магазины в приложении	action.app.maps	Информация из интернета - Картографические запросы - Поиск организаций - В приложении
сколько ехать от парка культуры до красной площади
леруа мерлен	search.geo.org.general	Информация из интернета - Картографические запросы - Поиск организаций - Без уточнения
открой в яндекс картах площадь юности 1	search.geo.address.app	Информация из интернета - Картографические запросы - Поиск по адресу - В приложении
покажи все парикмахерские в километре от меня	search.geo.org.general	Информация из интернета - Картографические запросы - Поиск организаций - Без уточнения
