INPUT:dialog	GOLDEN:intent	HINT:text
включи мне английский рок	search.music.listen.genre	Прослушать музыку - Жанры/подборки. Здесь есть указание включи и жанр
мияджи каптэйн слушать,Включаю: Miyagi\, альбом \"Captain\".,запах женщины моей слушать	search.music.listen.song	Прослушать музыку - Только песня. Просят включить песню по названию
включи пожалуйста песню кольщик наколи мне купола круга	search.music.listen.track	Прослушать музыку - Исполнитель + песня. Просьба включить песню "Кольщик" Михаила Круга
песня стаса михайлова мама	search.music.find.track	Без указания "слушать" - Исполнитель + песня. Необходимо найти песню, нет указания её включить
валерий меладзе	search.music.find.artist	Без указания "слушать" - Только исполнитель
стрыкало сережа сбрил брови сыну
алиса давай споем песню караоке розенбаума в афганистане в черном тамани	search.music.karaoke	Музыка - Караоке
песня про кавказ красивую,Открываю поиск [ Открывается поиск по запросу <песня про кавказ красивую> ],включи говорю песню про кавказ	search.music.listen.genre	Прослушать музыку - Жанры/подборки. Здесь есть указание включи и категория музыки
слушать клубную музыку две тысячи восемнадцать,Включаю: альбом \"Сборник Клубной Музыки 2018\".,слушать клубную музыку	search.music.listen.genre	Прослушать музыку - Жанры/подборки. Здесь есть указание включи и жанр
алиса просто скромные песни,Да\, они у меня такие,алиса скромные песни	search.music.find.genre	Без указания "слушать" - Жанры/подборки. Просят найти музыку определенного настроения
песни лобода сорок градусов,Открываю поиск [ Открывается поиск по запросу <песни лобода 40 градусов> ],текст песни лобода сорок градусов	search.music.lyrics	Аккорды / тексты песен
дай мне собраться с мыслями я не могу ритмы пульсации,Обожаю эту песню,музыка дай мне собраться в смысле я не могу ритмы и пульсации	search.music.find.song	Без указания "слушать" - Только песня. Просят найти песню по её тексту
алиса подскажи пожалуйста какого года песня санта лючия квест пистолс,Открываю: Quest Pistols Show\, альбом \"Soundtrack - EP\"\, песня \"Санта Лючия\".,алиса подскажи пожалуйста когда прославилась песня на муз тв санта лючия	search.music.info	Информация о музыке
алиса музыку,Открываю вашу радиостанцию.,музыку	search.music.find.general	Без указания "слушать" - Произвольная музыка
алиса слушать альбом,Включаю: Album.,алиса слушать альбом бутырки	search.music.listen.album	Прослушать музыку - Поиск альбома

слушать бесплатно песни шансон русские,Включаю подборку \"Русский шансон: лучшее\".,слушать бесплатно виктора королева	search.music.listen.artist	Прослушать музыку - Только исполнитель
аккорды для гитары цой гуляли всю ночь,Одну секунду... [ Открывается поиск по запросу <аккорды для гитары цой гуляли всю ночь> ],аккорды для гитары цой когда твоя девушка больна	search.music.lyrics	Аккорды / тексты песен
алиса а у тебя есть можете,Есть\, но я им не пользуюсь,алиса включи нам музыку	search.music.listen.general	Прослушать музыку - Произвольная музыка
алиса включи танцевать фонарем музыка так орет скоро спать,Включаю: Ляпис Трубецкой\, альбом \"Капитал\"\, песня \"Евпатория\".,алиса включи песню танцевать фонарем музыка так орет скоро спать не дает мы убитые вдвоем я дыхание задержу задержу и намик притворюсь твоей	search.music.listen.song	Прослушать музыку - Только песня. Просят включить песню по её тексту
послушать песню бесплатно,Включаю вашу радиостанцию.,музыку слушать бесплатно алиса	search.music.listen.general	Прослушать музыку - Произвольная музыка
алиса включи свои песни,Включаю: Алиса\, альбом \"Yet Another New Year\".,алиса включи мои любимые песни	search.music.listen.playlist	Прослушать музыку - Плейлист пользователя
malfa so long
нарезка на звонок телефона здесь витя ака нагано гуф пять плюх шире круг вася давай делай шире круг	search.music.ringtone	Рингтоны/минусовка. Это просьба найти рингтон
папаша,Сейчас найду [ Открывается поиск по запросу <папаша> ],минус песни хб	search.music.ringtone	Рингтоны/минусовка. Просьба найти минусовку мелодии из хб
скачать музыку группа рождество без торрента,Открываю: Рождество.,скачать альбом группы рождество	search.music.find.album	Без указания "слушать" - Поиск альбома
зайди в избранное музыки	search.music.find.playlist	Без указания "слушать" - Плейлист пользователя
музыкальные новинки на last fm	search.music.other_site_or_app	На сайте/не в приложении Яндекса
слушать песню атаман руки вверх,Включаю: Руки Вверх!\, альбом \"Совсем без тормозов\"\, песня \"Атаман\".,слушать песню руки вверх атаман	search.music.listen.track	Прослушать музыку - Исполнитель + песня
включи песню из фильма в бой идут одни старики	search.music.listen.song	Прослушать музыку - Только песня. Просят найти музыку из фильма
музыкальную песню,Открываю вашу радиостанцию.,хиты две тысячи восемнадцать	search.music.find.genre	Без указания "слушать" - Жанры/подборки. Просят найти подборку музыки 2018 года
