INPUT:dialog	GOLDEN:intent	HINT:text
убери звуки	settings.sound.mute	Настройки навигатора > Управление звуком > Отключить звуки
айда на работу	route.calc.work	Маршруты > Построение маршрута > На работу
какой штраф за выделенку	auto_facts.fines	Вопросы свяазанные с авто > Штрафы
77 какой регион	auto_facts.other	Вопросы свяазанные с авто > Другое
где я	search_on_map.show_me.current	Поиск объектов на карте > Собственное расположение > Текущее
покажи где я был 2 часа назад	search_on_map.show_me.history	Поиск объектов на карте > Собственное расположение > В прошлом
скрой пробки	traffic.hide	Настройки навигатора > Пробки > Скрыть
покажи маршрут	route.show	Маршруты > Обзор маршрута
поехали в питер
парковки у метро аэропорт	search_on_map.parking	Поиск объектов на карте > Парковки > Поиск определенных парковок
сохрани текущее положение	save_place.current_position	Поиск объектов на карте > Собственное расположение > Сохранить
во сколько приедем	route.info.when_we_get_there	Маршруты > Информация об уже построенном маршруте > Во сколько мы прибудем
сколько км пробка	traffic.how_long_traffic_jam	Пробки > На сколько пробка

что сегодня с пробками	traffic.overall	Пробки > Пробки в городе
очисть историю маршрутов	route.reset.history	Маршруты > Сброс/отмена маршрута > Очистить всю историю
петрозаводск	search_on_map.toponym	Поиск объектов на карте > Населенные пункты / области
51 градус 48 минут 0 54 секунды северной широты 39 11 минут 674 секунд восточной долготы	search_on_map.coordinates	Поиск объектов на карте > Координаты
дорожные работы	point.add.road_works	Дорожные события > Добавление точки > Дорожные работы
стоят гаишники	point.add.camera	Дорожные события > Добавление точки > Камера
включи радио монте карло
поставь разговорчик	point.add.comment	Дорожные события > Добавление точки > Разговорчик / Комментарий
покажи дтп	point.show.accident	Дорожные события > Отображение ДС > Авария
поставь штурмана басту	settings.change_voice	Настройки навигатора > Смена голоса штурмана
нет поворота налево	point.add.error	Дорожные события > Добавление точки > Ошибка
покажи спутник	settings.satellite.show	Настройки навигатора > Спутниковая карта > Показать
переключи на схему	settings.satellite.hide	Настройки навигатора > Спутниковая карта > Скрыть
