выруби парковки	parking.hide
банкомат сбербанка	search_on_map.org
поехали до работы сейчас	route.calc.work
ближайшая автомойка	route.calc.org
алиса удали с карты парковки	parking.hide
весь маршрут	route.show
впереди фотографируют	point.add.camera
покажи мне спутник	settings.satellite.show
поставь камеру	point.add.camera
ленинградка стоит или едет	traffic.street
вижу экипаж	point.add.camera
давай домой	route.calc.home
закончить беззвучный режим	settings.sound.unmute
енисейская улица 12	search_on_map.addr
где парковки на карте	parking.show
поехали до хаты	route.calc.home
алиса поставь точку другое	point.add.other
покажи дорогу	route.show
удали все поездки	route.reset.history
отменить маршрут	route.reset.current
покажи где я был 2 часа назад	search_on_map.show_me.history
переключи на спутник	settings.satellite.show
сколько километров до финиша	route.info.how_long_to_drive
поехали на работу	route.calc.work
разрыли дорогу	point.add.road_works
остановить маршрут	route.reset.current
выключи спутниковую карту	settings.satellite.hide
нет поворота	point.add.error
хамовники	search_on_map.toponym
впереди засада	point.add.camera
ищи парковку	parking.find_parking
давай оплатим парковку	parking.pay
слушай яндекс впереди камера	point.add.camera
какой клиренс у гольфа шестого	auto_facts.other
ошибка на карте	point.add.error
азс лукойл	search_on_map.org
во сколько приеду	route.info.when_we_get_there
сколько мне еще ехать	route.info.how_long_to_drive
кантемировская улица 20к1 поехали	route.calc.address
площадь ленина	search_on_map.addr
авария средний ряд	point.add.accident
поставь стационарную камеру	point.add.camera
алиса отметь камеру	point.add.camera
почем нынче парковка	parking.pay
сколько до конца маршрута	route.info.how_long_to_drive
выключи все звуки	settings.sound.mute
сбрось маршрут	route.reset.current
едем	route.calc.somewhere
дернем до дома	route.calc.home
отметить точку	point.add.no_type
алиса не хочу больше спутник	settings.satellite.hide
алиса поставь пожалуйста голос басты	settings.change_voice
штраф за автокресло	auto_facts.fines
парковка на инвалидном штраф	auto_facts.fines
здесь авария на встречный площадь	point.add.accident
найди парковку	parking.find_parking
сколько стоит форд фокус	auto_facts.other
что с пробками на пересечении дмитровки и ттк	traffic.street
поехали на лукойл	route.calc.org
расскажи про пробки	traffic.overall
во сколько прибытие	route.info.how_long_to_drive
алиса маршрут пешком до октябрьской	route.calc.pub_transport
включи все звуки	settings.sound.unmute
ошибка кирпич такси нельзя	point.add.error
хочу снова слышать звуки навигатора	settings.sound.unmute
пушкинский музей	search_on_map.org
точное время прибытия	route.info.when_we_get_there
спутниковая карта	settings.satellite.show
покажи мне все парковки	parking.show
зафиксриуй ремонт моста	point.add.road_works
сколько ехать до дома	route.calc.timing
проезд на красный какой штраф	auto_facts.fines
слушай алиса идут раскопки	point.add.road_works
выключи диктора	settings.sound.mute
включи диктора бондарчука	settings.change_voice
маршрут домой на троллейбусе	route.calc.pub_transport
слушай яндекс тут нет поворота	point.add.error
уменьши карту	settings.map.zoom
очисть историю маршрутов	route.reset.history
прекратить ведение маршрута	route.reset.current
поставь ошибку перекрытие	point.add.error
опять все перекопали	point.add.road_works
включи обратно звук	settings.sound.unmute
сохрани тут камеру	point.add.camera
сколько еще км	route.info.how_long_to_drive
маршрут до внуково	route.calc.org
едем до троицка	route.calc.address
алиса включи спутинк	settings.satellite.show
поставь точку другое	point.add.other
во сколько буду	route.info.when_we_get_there
добраться до садовая-триумфальная улица 2с2	route.calc.address
удали парковки	parking.hide
хочу оплатить парковку 3239	parking.pay
сколько ехать до таганской площади	route.calc.timing
не хочу голосовое сопровождение	settings.sound.mute
что там впереди, почему пробка	traffic.why
покажи путь	route.show
больше не хочу спутниковую карту	settings.satellite.hide
отмена маршрута	route.reset.current
призумь карту	settings.map.zoom
поехали	route.calc.somewhere
улица большая ордынка	search_on_map.addr
сделай карту мельче	settings.map.zoom
верни пробки на карту	traffic.show
отобрази пробки	traffic.show
удалить маршрут	route.reset.current
алиса убери слой дтп	point.hide.accident
машина сломался правом ряду	point.add.accident
сколько штраф за неправильную парковку	auto_facts.fines
какие пробки на ленинском	traffic.street
тц авиапарк	search_on_map.org
слушай яндекс в чем прична пробки	traffic.why
41 какой регион	auto_facts.other
маршрут до работы сколько займет	route.calc.timing
выключи спутник	settings.satellite.hide
алиса верни обратно звук	settings.sound.unmute
скрой парковки на карте	parking.hide
отменить текущий маршрут	route.reset.current
трифоновская улица 26	search_on_map.addr
поехали к работе	route.calc.work
покажи мне все пробки	traffic.show
очисть карту от парковок	parking.hide
вижу радар	point.add.camera
на метро до вднх	route.calc.pub_transport
выключи звук навигатора	settings.sound.mute
знаменская улица 5	search_on_map.addr
едем 1-й новокузнецкий переулок 5 7	route.calc.address
где тут есть парковки	parking.show
поставь ошибку	point.add.error
хочу увидеть парковки	parking.show
включи беззвучный режим	settings.sound.mute
ленинский в центр как	traffic.street
скрой парковки	parking.hide
сколько ехать до мурманска	route.calc.timing
где тут есть пробки	traffic.show
верник звуки	settings.sound.unmute
музей победы	search_on_map.org
слушай яндекс не надо пробок на карте	traffic.hide
слушай алиса парковки покажи	parking.show
маршрут веерная улица 7к1	route.calc.address
проспект андропова 32	search_on_map.addr
едем до сходненская улица 5	route.calc.address
отметь дтп в правом ряду	point.add.accident
отметь на карте камеру	point.add.camera
покажи парковки	parking.show
алиса, поставь точку авария	point.add.accident
включи все дтп	point.show.accident
слушай яндекс включи аварии	point.show.accident
строй маршрут до дома	route.calc.home
долго простоим	traffic.how_long_traffic_jam
троицк	search_on_map.toponym
давай маршрут с высоты	route.show
стукнулись двое впереди	point.add.accident
включи без звука	settings.sound.mute
поставь текст на карту	point.add.comment
мега теплый стан	search_on_map.org
вруби оксану	settings.change_voice
отобрази слой дтп	point.show.accident
почему тут красное	traffic.why
алиса поехали на работу	route.calc.work
сколько ехать до макдональдса	route.calc.timing
маршрут до парковки	parking.find_parking
на долго тут	traffic.how_long_traffic_jam
очисть карту от пробок	traffic.hide
поворот запрещен	point.add.error
пробки у нас	traffic.overall
отметь точку текст	point.add.comment
сделай карту крупнее	settings.map.zoom
51 градус 48 минут 0 54 секунды северной широты 39 11 минут 674 секунд восточной долготы	search_on_map.coordinates
покажи пробки	traffic.show
впереди ремонт дороги	point.add.road_works
где бросить машину	parking.find_parking
на работу	route.calc.work
во сколько приедем	route.info.when_we_get_there
рыбный ресторан	search_on_map.org
скрой пробки на карте	traffic.hide
покажи весь маршрут движения	route.show
ремонт дороги в левом ряду	point.add.road_works
почему тут встали	traffic.why
хочу увидеть все аварии на карте	point.show.accident
аэропорт домодедово поехали	route.calc.org
калужка стоит	traffic.street
слушай яндекс маршрут ферганская улица 10	route.calc.address
покажи все аварии	point.show.accident
закрыть маршрут	route.reset.current
парковочный маршрут	parking.find_parking
айда в 71 больницу	route.calc.org
вруби звук	settings.sound.unmute
ближайший kfc	route.calc.org
ошибка запрет движения	point.add.error
почему стоим	traffic.why
когда уже поедем	traffic.how_long_traffic_jam
включи карту схему	settings.satellite.hide
отметь тут точку разговорчик	point.add.comment
храм христа спасителя	search_on_map.org
алиса удали с карты пробки	traffic.hide
вижу дтп в правом ряду	point.add.accident
макдональдс	search_on_map.org
скрой пробки	traffic.hide
когда я доеду	route.info.how_long_to_drive
вижу камеру	point.add.camera
дтп, тойота и мерседес	point.add.accident
не нужно парковок на карте	parking.hide
не хочу видеть дтп на карте	point.hide.accident
какие тут пробки	traffic.show
поставь другое дорожное событие	point.add.other
езда без прав штраф	auto_facts.fines
слушай яндекс не надо парковок на карте	parking.hide
молодогвардейская улица 54с5 маршрут	route.calc.address
поехали на льва толстого 16	route.calc.address
отметь тут текст	point.add.comment
выключи голосовое сопровождение	settings.sound.mute
дай спутниковую карту	settings.satellite.show
покажи мне спутниковую карту	settings.satellite.show
гайцы стоят	point.add.camera
из-за чего тут пробка	traffic.why
тут авария	point.add.accident
почему стоит	point.add.comment
оплати парковку	parking.pay
ближайший банкомат райфайзена	route.calc.org
полиция	point.add.camera
сбрось ведение маршрута	route.reset.current
ттк по внешке стоит	traffic.street
слушай алиса пробки покажи	traffic.show
ремонтные работы в правом ряду	point.add.road_works
сколько штраф за знак шипы	auto_facts.fines
поставить точку авария	point.add.accident
когда надо менять шины	auto_facts.other
убери пробки	traffic.hide
алиса тут ошибка на карте	point.add.error
на долго пробка	traffic.how_long_traffic_jam
едем до макодальдса	route.calc.org
какие есть голоса	settings.change_voice
яндекс отметь метку другое	point.add.other
хочу увидеть пробки	traffic.show
ленинский 99	search_on_map.addr
поехали домой	route.calc.home
обзор карта	route.show
сколько еще стоять будем	traffic.how_long_traffic_jam
пробки в городе	traffic.overall
дтп левый ряд	point.add.accident
слушай алиса убери с карты все дтп	point.hide.accident
какой штраф за две сплошные	auto_facts.fines
выключи звук	settings.sound.mute
левый ряд ремонт	point.add.road_works
слушай алиса скрой аварии	point.hide.accident
маршрут до сбербанка	route.calc.org
поставь точку ошибка	point.add.error
слушай яндекс авария правый ряд	point.add.accident
реконструкция дороги	point.add.road_works
лужнецкий проезд маршрут	route.calc.address
покажи дтп	point.show.accident
время прибытия по москве	route.info.when_we_get_there
не нужно пробок на карте	traffic.hide
айда до работы	route.calc.work
впереди дтп	point.add.accident
все перекопано	point.add.road_works
алиса выключи звуки	settings.sound.mute
нет проезда	point.add.error
алиса выключи голоса	settings.sound.mute
сколько осталось	route.info.how_long_to_drive
отметь дорожное событие другое	point.add.other
таганская площадь 33	search_on_map.addr
перекопали 49 километр егорьевского шоссе	point.add.road_works
домой	route.calc.home
платим за парковку	parking.pay
долго еще	route.info.how_long_to_drive
слушай яндекс тут ошибка	point.add.error
сколько тут стоит парковка	parking.pay
запиши текст на карту	point.add.comment
опять все разрыли в правом ряду	point.add.road_works
маршрут до дома	route.calc.home
дорожные работы в левом ряду	point.add.road_works
поставь ошибка шлагбаум	point.add.error
установить точку разговорчики	point.add.comment
сколько до ленина 99	route.calc.timing
не хочу пробки на карте	traffic.hide
пробки на карте	traffic.show
москва	search_on_map.toponym
выключи беззвучный режим	settings.sound.unmute
сколько ехать до ближайшего сбербанка	route.calc.timing
улица академика королёва 15к2 поехали	route.calc.address
удали все маршруты	route.reset.history
впереди дпс	point.add.camera
впереди камера на 60	point.add.camera
поставь разговорчики почему стоит	point.add.comment
обзор маршрута	route.show
поехали на кулакова 25к1	route.calc.address
алиса скажи во сколько приедем	route.info.when_we_get_there
какие пробки	traffic.overall
едем на работу	route.calc.work
какие голоса умеет навигатор	settings.change_voice
поставь тут разговорчик	point.add.comment
впереди ремонт моста	point.add.road_works
едем на беловежская улица 37к1	route.calc.address
авария	point.add.accident
показать весь маршрут	route.show
поставь первый маршрут	route.select
маршрут до дома правительства	route.calc.org
химки	search_on_map.toponym
