INPUT:dialog	GOLDEN:intent	HINT:text
Едем от дома до работы на таксовичкоф за пятьсот рублей\, оплата наличными\, тариф эконом. Всё ли верно?, нет алиса отмени заказ, Вы хотите\, чтобы я отменила поездку?, да	action.taxi.other.confirm	Выполнить действие - Такси сервисы - Прочие сервисы - Подтверждение или отмена заказа
Поедем от адреса улица Толмачева 11 до улицы 8 Марта\, 8Б. Тариф — «Бизнес»\, оплата картой 2019. Водитель будет у вас через 5 мин. Время поездки — 8 мин. Скажите\, всё ли верно?, тариф Эконом	action.taxi.general.tariff	Выполнить действие - Такси сервисы - Такси без уточнения - Уточнение тарифа
"Поедем от адреса улица Тимура Фрунзе 11к8 до ""Лужники"" по адресу Лужнецкая эстакада за 248 руб. Тариф — «Эконом»\, оплата картой 6015. Водитель будет у вас через 5 мин. Время поездки — 8 мин. Скажите\, всё ли верно?, отмена"	action.taxi.general.confirm	Выполнить действие - Такси сервисы - Такси без уточнения - Подтверждение или отмена заказа
какой номер у моей машины
позвони водителю семь семь семь	action.taxi.other.call_driver	Выполнить действие - Такси сервисы - Прочие сервисы - Просьба позвонить водителю такси
такси три семерки какой телефон алиса	action.taxi.other.general	Выполнить действие - Такси сервисы - Прочие сервисы - Общая информация
Едем от адреса улица Льва Толстого 16 до адреса улица Льва Толстого 19 на Яндекс.Такси за 236 руб. Тариф — «Эконом»\, оплата картой 4930. Водитель будет у вас через 2 мин. Время поездки — 0 мин. Скажите\, всё ли верно?, отмени такси, Вы хотите\, чтобы я отменила поездку?, да	action.taxi.yandex.cancel_order	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Подтверждение отмены заказа
свяжись со службой поддержки такси	action.taxi.general.support	Выполнить действие - Такси сервисы - Такси без уточнения - Связь со службой поддержки
Стоимость 351 руб. Тариф — «Комфорт»\, оплата картой 1363. Водитель будет у вас через 6 мин. Время поездки — 18 мин. Скажите\, всё ли верно?, тариф бизнес	action.taxi.general.tariff	Выполнить действие - Такси сервисы - Такси без уточнения - Уточнение тарифа
телефон горячей линии яндекс такси	action.taxi.yandex.general	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Общая информация
отмени такси, Вы хотите\, чтобы я отменила поездку?, да	action.taxi.general.cancel_order	Выполнить действие - Такси сервисы - Такси без уточнения - Подтверждение отмены заказа
оренбург плешаново поездка мне найди в такси везет	action.taxi.other.order	Выполнить действие - Такси сервисы - Прочие сервисы - Заказ такси
вызови такси минутка, Откуда едем?, мое местоположение, Куда вас отвезти?, багрицкого семьдесят	action.taxi.other.specify	Выполнить действие - Такси сервисы - Прочие сервисы - Уточнение адреса от и до
отмени заказ машины в такси	action.taxi.general.cancel	Выполнить действие - Такси сервисы - Такси без уточнения - Отмена заказа
Итак, едем на такси Метеор до метро\, Оплата наличными. Все ли верно, алиса оплата картой	action.taxi.other.payment	Выполнить действие - Такси сервисы - Прочие сервисы - Уточнение способа оплаты
Едем на такси Форвард от адреса Крещенский переулок 18 до адреса Коломенская набережная 2к2 за 406 руб. Оплата картой 0023. Подтвердите\, пожалуйста., алиса нужен водитель женщина	action.taxi.other.additional	Выполнить действие - Такси сервисы - Прочие сервисы - Уточнение дополнительных опций
алиса как устроиться водителем в такси в камышлове	action.taxi.general.general	Выполнить действие - Такси сервисы - Такси без уточнения - Общая информация
Откуда вы поедете?, из дома	action.taxi.general.specify	Выполнить действие - Такси сервисы - Такси без уточнения - Уточнение адреса от и до
алиса отмени заказ такси фаворит	action.taxi.other.cancel	Выполнить действие - Такси сервисы - Прочие сервисы - Отмена заказа

позвони водителю яндекс такси	action.taxi.yandex.call_driver	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Просьба позвонить водителю такси
алиса позвони служба поддержки такси везет	action.taxi.other.support	Выполнить действие - Такси сервисы - Прочие сервисы - Связь со службой поддержки
Поедем от адреса Варшавское шоссе 158к2 до адреса 1-й Силикатный проезд 9А за 679 руб. Тариф — «Эконом»\, оплата наличными. Водитель будет у вас через 0 мин. Время поездки — 28 мин. Подтвердите\, пожалуйста., оплата картой	action.taxi.general.payment	Выполнить действие - Такси сервисы - Такси без уточнения - Уточнение способа оплаты
"Поищем машину на сервисе Яндекс.Такси. Поедем от адреса Тюмень\, Невская улица 112 до ""Аэропорт Плеханово"" по адресу городской округ Тюмень\, аэропорт Плеханово за 162 руб. Тариф — «Эконом»\, оплата наличными. Водитель будет у вас через 9 мин. Время поездки — 17 мин. Подтвердите\, пожалуйста., мы повезем большую коробку\, нужна машина с большим багажником"	action.taxi.yandex.additional	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Уточнение дополнительных опций
алиса отмени заказ везет такси, Вы хотите\, чтобы я отменила поездку, да	action.taxi.other.cancel_order	Выполнить действие - Такси сервисы - Прочие сервисы - Подтверждение отмены заказа
сколько будет стоить яндекс такси до аэропорта домодедово	action.taxi.yandex.order	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Заказ такси
Хорошо. Поищем машину на сервисе Яндекс.Такси. Поедем от адреса улица Шверника до адреса улица Льва Толстого 16 за 352 руб. Тариф — «Комфорт»\, оплата картой 1363. Водитель будет у вас через 5 мин. Время поездки — 18 мин. Скажите\, всё ли верно?, измени тариф на эконом	action.taxi.yandex.tariff	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Уточнение тарифа
алиса отмени заказ машины в яндекс такси	action.taxi.yandex.cancel	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Отмена заказа
алиса яндекс такси уже едет, Ха\, желаю хорошо провести время, подскажи какая машина за мной приедет	action.taxi.yandex.status	Выполнить действие - Такси сервисы - Яндекс Такси и Убер -Информация о заказе
Нет проблем. Поищем машину на сервисе Яндекс.Такси. Поедем от адреса улица Павлюхина 120 до адреса Спартаковская улица 6 за 199 руб. Тариф — «Эконом»\, оплата картой 8428. Водитель будет у вас через 5 мин. Время поездки — 8 мин. Подтвердите\, пожалуйста., да\, все верно	action.taxi.yandex.confirm	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Подтверждение или отмена заказа
"Поедем от адреса Киевская улица 2 до ""НЕОФАРМ"" по адресу площадь Киевского Вокзала 1 за 201 руб. Тариф — «Эконом»\, оплата картой 8196. Водитель будет у вас через 5 мин. Время поездки — 5 мин. Скажите\, всё ли верно?, мне нужно такси с детским креслом"	action.taxi.general.additional	Выполнить действие - Такси сервисы - Такси без уточнения - Уточнение дополнительных опций
служба поддержки яндекс такси алиса позвони	action.taxi.yandex.support	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Связь со службой поддержки
Вас ожидает белый Toyota FunCargo, В589МВ754., алиса позвони водителю такси	action.taxi.general.call_driver	Выполнить действие - Такси сервисы - Такси без уточнения - Просьба позвонить водителю такси
Нет проблем. Поищем машину на сервисе Яндекс.Такси. Едем от адреса шоссе Энтузиастов 23с1 до адреса 2-я Кабельная улица 2с26 за 129 руб. Тариф — «Эконом»\, оплата наличными. Водитель будет у вас через 18 мин. Время поездки — 5 мин. Скажите\, всё ли верно?, измени оплата картой	action.taxi.yandex.payment	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Уточнение способа оплаты
позвони в такси максим
алиса я вызывала такси шашечки какая машина за мной приедет	action.taxi.other.status	Выполнить действие - Такси сервисы - Прочие сервисы - Информация о заказе
такси блюз павел лунгин кто снимался	search.content.film.info	Информация из интернета - Поиск контента - Фильмы и сериалы - Информация о фильме/сериале
алиса где мое такси	action.taxi.general.status	Выполнить действие - Такси сервисы - Такси без уточнения - Информация о заказе
алиса вызови мне такси, Хорошо. Поищем машину на сервисе Яндекс.Такси. Куда нужно ехать?, первый силикатный проезд девять а	action.taxi.yandex.specify	Выполнить действие - Такси сервисы - Яндекс Такси и Убер - Уточнение адреса от и до
алиса вызови такси	action.taxi.general.order	Выполнить действие - Такси сервисы - Такси без уточнения - Заказ такси
