алиса вызови такси	action.taxi.general.order
Стоимость 677 руб. Тариф — «Эконом»\, оплата картой 5713. Водитель будет у вас через 9 мин. Время поездки — 28 мин. Подтвердите\, пожалуйста., да я согласен	action.taxi.other.confirm
"Поедем на такси Повозкин от адреса Киевская улица 2 до ""НЕОФАРМ"" по адресу площадь Киевского Вокзала 1 за 201 руб.  Водитель будет у вас через 5 мин. Время поездки — 5 мин. Скажите\, всё ли верно?, алиса набери водителя"	action.taxi.other.call_driver
алиса отмени заказ такси, Вы хотите\, чтобы я отменила поездку?, да	action.taxi.general.cancel
Поищем машину на сервисе Яндекс.Такси. Поедем от адреса Варшавское шоссе 158к2 до адреса 1-й Силикатный проезд 9А за 679 руб. Тариф — «Эконом»\, оплата наличными. Все ли верно?, да	action.taxi.yandex.confirm
можно заказать такси три семерки алиса	action.taxi.other.order
алиса вызови такси сатурн, Куда хотите поехать?, поселок новые зори энергетиков тридцать три	action.taxi.other.specify
Поедем от адреса Варшавское шоссе 158к2 до адреса 1-й Силикатный проезд 9А за 679 руб. Тариф — «Эконом»\, оплата наличными. Подтвердите\, пожалуйста., оплата картой	action.taxi.general.payment
Хорошо. Поищем машину на сервисе Яндекс.Такси. Едем от адреса Республика Башкортостан\, Чишминский район до города село санатория Алкино за 96 руб. Тариф — «Эконом». Подтвердите\, пожалуйста., такси не нужно\, отмени	action.taxi.yandex.cancel_order
Едем от адреса Тольятти\, Железнодорожная улица 23 до адреса Московская область\, Дмитровский городской округ\, садовое товарищество Победа\, 28. Тариф — «Эконом»\, оплата наличными. Подтвердите\, пожалуйста., оплата картой	action.taxi.other.payment
закажи яндекс такси до работы, Стоимость 442 руб. Тариф — «Комфорт+»\, оплата картой 1363. Подтвердите\, пожалуйста., оплата наличными	action.taxi.yandex.payment
алиса отмени заказ машины в яндекс такси	action.taxi.yandex.cancel
Едем на такси Фаворит от адреса улица Большая Ордынка 20с2 до адреса Зубовский проезд 2к2 за 384 руб. Тариф — «Эконом»\, оплата картой 0023. Время поездки — 12 мин. Подтвердите\, пожалуйста., алиса мне нужна машина с работающим кондиционером	action.taxi.other.additional
Ищу для вас машину. Когда она найдётся\, вы получите пуш-уведомление. Если что\, не стесняйтесь и спрашивайте: «Где моё такси?»., алиса позвони водителю	action.taxi.general.call_driver
алиса набери мне службу поддержки яндекс такси	action.taxi.yandex.support
алиса отмени заказ такси эльдорадо, Вы хотите\, чтобы я отменила поездку, да	action.taxi.other.cancel_order
Нет проблем. Поищем машину на сервисе Яндекс.Такси. Едем от метро Красногвардейская до адреса бульвар Дмитрия Донского за 444 руб. Тариф — «Эконом»\, оплата наличными. Подтвердите\, пожалуйста., тариф комфорт плюс	action.taxi.yandex.tariff
свяжись со службой поддержки такси классик	action.taxi.other.support
такси максим какой телефон алиса	action.taxi.other.general
телефон горячей линии яндекс такси	action.taxi.yandex.general
алиса позвони водителю яндекс такси	action.taxi.yandex.call_driver
алиса я заказала яндекс такси когда машина за мной приедет	action.taxi.yandex.status
алиса вызови мне такси, Хорошо. Поищем машину на сервисе Яндекс.Такси. Куда нужно ехать?, улица академика дремина девять а	action.taxi.yandex.specify
алиса где в такси требуются водители	action.taxi.general.general
отмени такси, Вы хотите\, чтобы я отменила поездку?, да	action.taxi.general.cancel_order
"Поедем от адреса улица Сергея Ускова до ""Арена"" по адресу Павловский тракт 188 за 77 руб. Тариф — «Эконом», оплата картой 2071. Водитель будет у вас через 3 мин. Время поездки — 5 мин. Скажите\, всё ли верно?, отмени заказ"	action.taxi.general.confirm
"Едем на такси Стрела от ""Семеновский"" по адресу Семёновская площадь 1 до ""Домодедово"" по адресу Московская область\, городской округ Домодедово\, аэропорт Домодедово за 1283 руб. Тариф — «Эконом»\, оплата наличными. Скажите\, всё ли верно?, тариф комфорт"	action.taxi.other.tariff
алиса позвони в службу поддержки такси	action.taxi.general.support
сколько стоит вызвать яндекс такси до аэропорта внуково	action.taxi.yandex.order
алиса  заказ такси тройка отмени	action.taxi.other.cancel
Откуда вы поедете?, с работы	action.taxi.general.specify
Хорошо. Поищем машину на сервисе Яндекс.Такси. Поедем от адреса улица Шверника до адреса улица Льва Толстого 16 за 352 руб. Тариф — «Комфорт»\, оплата картой 1363. Скажите\, всё ли верно?, алиса нужна машина с детским креслом	action.taxi.yandex.additional
измени тариф, Доступные тарифы: Эконом\, Комфорт\, Комфорт+\, Бизнес\, Премиум\, Ультима\,Бизнес XL\, Минивэн, комфорт плюс	action.taxi.general.tariff
алиса такси грузовичкоф какая машина приедет по вызову	action.taxi.other.status
Едем от адреса улица Льва Толстого 16 до адреса улица Ивана Бабушкина 2к3 за 459 руб. Тариф — «Эконом»\, оплата картой 4658. Скажите\, всё ли верно?, алиса, нужен некурящий водитель	action.taxi.general.additional
когда за мной приедет такси	action.taxi.general.status
