iter	Logloss
0	0.6799584659
1	0.6694395915
2	0.6607388844
3	0.6536542618
4	0.6471640592
5	0.6424086136
6	0.6382705298
7	0.6348006304
8	0.6317884603
9	0.6293254121
10	0.6273342909
11	0.6256087571
12	0.6241860085
13	0.6229634666
14	0.6217892688
15	0.6207170401
16	0.6198935525
17	0.6192016048
18	0.618657157
19	0.618222646
20	0.6176183136
21	0.6173300681
22	0.6168659499
23	0.6161167178
24	0.615794781
25	0.6152248995
26	0.6149737528
27	0.6144693873
28	0.6142633817
29	0.6138942134
30	0.6134380232
31	0.6130623755
32	0.6126336627
33	0.6123583636
34	0.6119192031
35	0.6116241499
36	0.6110868507
37	0.6107667768
38	0.6105944223
39	0.6103011885
40	0.6100430741
41	0.6096501164
42	0.6092357986
43	0.6090050543
44	0.6087759039
45	0.6085645312
46	0.6082153164
47	0.6078446865
48	0.6075641034
49	0.6071486465
50	0.606934613
51	0.6067728163
52	0.6065094593
53	0.606268374
54	0.6060311247
55	0.6058010309
56	0.605638472
57	0.605309337
58	0.6051373643
59	0.6050114766
60	0.6049129414
61	0.6045605365
62	0.6042219652
63	0.6041120839
64	0.6039637326
65	0.6038603643
66	0.6034003289
67	0.6032552735
68	0.6032436773
69	0.6031542421
70	0.6028382853
71	0.6025130045
72	0.6022782555
73	0.6021968791
74	0.602107668
75	0.6019015728
76	0.6016933705
77	0.6012923178
78	0.6009284118
79	0.6008511065
80	0.6007330144
81	0.6006278736
82	0.6003660278
83	0.6002012898
84	0.6000010363
85	0.5998670628
86	0.5996542527
87	0.5995335833
88	0.5992078891
89	0.5991050366
90	0.5988938868
91	0.598748094
92	0.5986028694
93	0.5984937131
94	0.5983033301
95	0.5982302311
96	0.5980944847
97	0.5978657673
98	0.5977376491
99	0.5975945025
