iter	Passed	Remaining
0	1	118
1	3	153
2	4	155
3	6	145
4	9	184
5	10	171
6	11	159
7	13	157
8	15	158
9	17	154
10	18	148
11	19	146
12	21	144
13	23	142
14	24	137
15	25	133
16	26	130
17	28	128
18	29	124
19	30	120
20	31	117
21	32	114
22	33	112
23	35	111
24	37	113
25	39	112
26	40	110
27	42	108
28	43	105
29	44	104
30	45	101
31	47	101
32	49	100
33	50	98
34	53	98
35	54	96
36	56	95
37	58	94
38	60	94
39	63	95
40	64	93
41	67	93
42	68	91
43	70	89
44	72	88
45	74	87
46	78	88
47	79	86
48	81	84
49	82	82
50	84	80
51	85	79
52	87	77
53	88	75
54	90	74
55	92	72
56	93	70
57	95	69
58	96	67
59	98	65
60	99	63
61	101	62
62	102	60
63	103	58
64	105	56
65	107	55
66	108	53
67	110	51
68	112	50
69	113	48
70	115	47
71	116	45
72	118	43
73	121	42
74	123	41
75	124	39
76	126	37
77	128	36
78	130	34
79	131	32
80	133	31
81	134	29
82	136	27
83	137	26
84	140	24
85	141	23
86	143	21
87	144	19
88	146	18
89	147	16
90	149	14
91	150	13
92	152	11
93	154	9
94	155	8
95	156	6
96	159	4
97	161	3
98	163	1
99	166	0
