Растащен на хинты и валидацию!

Поставь дтп	point.add.accident
Отметь аварию	point.add.accident
Авария	point.add.accident
Дорожные работы	point.add.road_works
Впереди все перекопали	point.add.road_works
Отметь ремонт дороги	point.add.road_works
Поставь камеру	point.add.camera
Впереди камера	point.add.camera
Стоят гаишники	point.add.camera
Поставь разговорчик	point.add.comment
Поставь комментарий	point.add.comment
Отметь текст	point.add.comment
Отметь ошибку	point.add.error
Нет поворота налево	point.add.error
Нет проезда	point.add.error
Поставь точку другое	point.add.other
Поставь другое дорожное событие	point.add.other
Отметь дорожное событие другое	point.add.other
Покажи дтп	point.show.accident
Покажи слой дорожных работ	point.show.road_works
Скрой аварии на карте	point.hide.accident
Скрой камеры на карте	point.hide.camera
Включи голос харламова	settings.change_voice
Поставь штурмана басту	settings.change_voice
Вруби Бондарчука	settings.change_voice
Скрой пробки	traffic.hide
Убери пробки	traffic.hide
Скрой парковки	parking.hide
Удали парковки	parking.hide
Покажи пробки	traffic.show
Отобрази пробки	traffic.show
Покажи парковки	parking.show
Вруби парковки	parking.show
Покажи спутник	settings.satellite.show
Переключи на спутник	settings.satellite.show
Переключи на схему	settings.satellite.hide
Верни схематичную карту	settings.satellite.hide
Убери звуки	settings.sound.mute
Выключи звуки	settings.sound.mute
Выруби звуки	settings.sound.mute
Включи звуки	settings.sound.unmute
Верни звуки	settings.sound.unmute
Вруби звуки	settings.sound.unmute
Сколько мне еще ехать?	route.info.how_long_to_drive
Долго еще ехать?	route.info.how_long_to_drive
Далеко еще?	route.info.how_long_to_drive
Во сколько будем?	route.info.when_we_get_there
Во сколько приедем?	route.info.when_we_get_there
Какое время прибытия?	route.info.when_we_get_there
На долго пробка?	traffic.how_long_traffic_jam
Долго будем стоять?	traffic.how_long_traffic_jam
Большая ли пробка?	traffic.how_long_traffic_jam
Домой	route.calc.home
Поехали домой	route.calc.home
Маршрут до дома	route.calc.home
Поехали на работу	route.calc.work
Айда на работу	route.calc.work
Тронем до работы	route.calc.work
Поехали в макдональдс	route.calc.org
Поехали в аптеку	route.calc.org
Ближайшая заправка	route.calc.org
Поехали на Льва Толстого 16	route.calc.address
Маршрут на Ленинский 99	route.calc.address
Усачёва улица, поехали	route.calc.address
Маршрут на метро до Ленинский 54	route.calc.pub_transport
Маршрут домой на общественном транспорте	route.calc.pub_transport
Ехать на автобусе до Павелецкого вокзала	route.calc.pub_transport
Сколько ехать до дома?	route.calc.timing
Сколько ехать от Москвы до владивостока	route.calc.timing
Сколько ехать до Проспекта Мира 34	route.calc.timing
Обзор маршрута	route.show
Покажи весь маршрут	route.show
Покажи маршрут	route.show
Какие пробки?	traffic.overall
Что сегодня с пробками	traffic.overall
Пробки в Москве	traffic.overall
Пробки на Калужке	traffic.street
Пробки по маршруту	traffic.street
Пробки на Ленинском	traffic.street
Найди парковку	parking.find_parking
Где припарковаться	parking.find_parking
Припаркуй меня	parking.find_parking
Отмени маршрут	route.reset
Сброс маршрута	route.reset
Все, больше никуда не едем	route.reset
Ленина 34	search_on_map.addr
Калужское шоссе 122	search_on_map.addr
Улица Вавилова 45	search_on_map.addr
Аптеки	search_on_map.org
ООО Рога и копыта	search_on_map.org
Банкоматы	search_on_map.org
Почему стоим	traffic.why
Из-за чего пробка	traffic.why
Причина пробки	traffic.why
Какой штраф за выделенку	auto_facts.fines
Куда заливать незамерзайку	auto_facts.other
77 какой регион	auto_facts.other
Карту крупнее	settings.map.zoom
Карту помельче	settings.map.zoom
Приблизь карту	settings.map.zoom
Оплати парковку	parking.pay
Сколько стоит парковка	parking.pay
Давай оплатим парковку 3201	parking.pay
