авария в правом ряду	point.add.accident
авария	point.add.accident
дтп	point.add.accident
авария в левом ряду	point.add.accident
дтп левый ряд	point.add.accident
алиса, поставь точку авария	point.add.accident
вижу дтп в правом ряду	point.add.accident
дтп, тойота и мерседес	point.add.accident
авария средний ряд	point.add.accident
вижу авария в правом ряду	point.add.accident
поставить точку авария	point.add.accident
вижу аварию	point.add.accident
стукнулись двое впереди	point.add.accident
правом ряду авария	point.add.accident
тут авария	point.add.accident
впереди дтп	point.add.accident
машина сломался правом ряду	point.add.accident
отметь дтп в правом ряду	point.add.accident
здесь авария на встречный площадь	point.add.accident
слушай яндекс авария правый ряд	point.add.accident

дорожные работы	point.add.road_works
впереди ремонт моста	point.add.road_works
все перекопано	point.add.road_works
опять все перекопали	point.add.road_works
впереди ремонт дороги	point.add.road_works
дорожные работы в левом ряду	point.add.road_works
реконструкция дороги	point.add.road_works
поставь точку ремонт	point.add.road_works
установи точку ремонт дороги	point.add.road_works
слушай яндекс ремонт дороги	point.add.road_works
слушай алиса нефть ищут	point.add.road_works
слушай алиса идут раскопки	point.add.road_works
ремонтные работы в правом ряду	point.add.road_works
разрыли дорогу	point.add.road_works
опять все разрыли в правом ряду	point.add.road_works
перекопали 49 километр егорьевского шоссе	point.add.road_works
ремонт дороги в левом ряду	point.add.road_works
золото ищут в среднем ряду	point.add.road_works
левый ряд ремонт	point.add.road_works
зафиксриуй ремонт моста	point.add.road_works

поставь камеру 	point.add.camera
стоят	point.add.camera
впереди дпс	point.add.camera
засада ментов	point.add.camera
гайцы стоят	point.add.camera
поставь стационарную камеру	point.add.camera
впереди камера на 60	point.add.camera
вижу камеру	point.add.camera
отметь на карте камеру	point.add.camera
впереди патруль	point.add.camera
алиса отметь камеру	point.add.camera
слушай яндекс впереди камера	point.add.camera
впереди засада	point.add.camera
вижу экипаж 	point.add.camera
сохрани тут камеру	point.add.camera
впереди фотографируют	point.add.camera
зафиксируй, что тут камера	point.add.camera
впереди радар	point.add.camera
вижу радар	point.add.camera
полиция	point.add.camera

поставь разговорчик	point.add.comment
зафиксируй разговорчик	point.add.comment
отметь тут точку разговорчик	point.add.comment
почему стоит	point.add.comment
слушай яндекс поставить точку разговорчики	point.add.comment
поставь разговорчики почему стоит	point.add.comment
установить точку разговорчики	point.add.comment
отметь точку текст	point.add.comment
поставь текст на карту	point.add.comment
запиши текст на карту	point.add.comment
поставь тут разговорчик	point.add.comment
отметь тут текст	point.add.comment

поставь ошибку	point.add.error
поставь точку ошибка	point.add.error
запиши ошибку	point.add.error
нет поворота	point.add.error
нет проезда 	point.add.error
поворот запрещен	point.add.error
ошибка на карте	point.add.error
слушай яндекс тут нет поворота	point.add.error
поставь ошибка шлагбаум	point.add.error
поставь ошибку перекрытие	point.add.error
ошибка кирпич такси нельзя	point.add.error
ошибка запрет движения	point.add.error
слушай яндекс тут ошибка	point.add.error
алиса тут ошибка на карте	point.add.error

алиса поставь точку другое	point.add.other
поставь метку другое	point.add.other
давай поставим метку другое	point.add.other
яндекс отметь метку другое	point.add.other
поставь точку другое	point.add.other
поставь другое дорожное событие	point.add.other
отметь дорожное событие другое	point.add.other

поставь точку  	point.add.no_type
отметить точку   	point.add.no_type
поставь дорожное событие   	point.add.no_type

покажи дтп	point.show.accident
покажи слой дтп	point.show.accident
отобрази слой дтп	point.show.accident
включи все дтп	point.show.accident
слушай яндекс включи аварии	point.show.accident
алиса покажи аварии на карте	point.show.accident
покажи все аварии	point.show.accident
хочу увидеть все аварии на карте	point.show.accident
отобрази слой с авариями	point.show.accident
покажи мне все аварии	point.show.accident

скрой все дтп	point.hide.accident
слушай алиса убери с карты все дтп	point.hide.accident
