INPUT:reqid	INPUT:dialog	INPUT:directive	GOLDEN:intent	HINT:text
edu_1	поставь дтп	unknown	point.add.accident	Дорожные события > Добавление точки > Авария
edu_2	дорожные работы	unknown	point.add.road_works	Дорожные события > Добавление точки > Дорожные работы
edu_3	стоят гаишники	unknown	point.add.camera	Дорожные события > Добавление точки > Камера
edu_4	поставь разговорчик	unknown	point.add.comment	Дорожные события > Добавление точки > Разговорчик / Комментарий
edu_5	поставь комментарий	unknown	point.add.comment	Дорожные события > Добавление точки > Разговорчик / Комментарий
edu_6	нет поворота налево	unknown	point.add.error	Дорожные события > Добавление точки > Ошибка
edu_7	покажи дтп	unknown	point.show.accident	Дорожные события > Отображение ДС > Авария
edu_8	покажи слой дорожных работ	unknown	point.show.road_works	Дорожные события > Отображение ДС > Дорожные работы
edu_9	скрой камеры на карте	unknown	point.hide.camera	Дорожные события > Скрытие ДС > Камера
edu_10	поставь штурмана басту	unknown	settings.change_voice	Настройки навигатора > Смена голоса штурмана
edu_11	скрой пробки	unknown	traffic.hide	Настройки навигатора > Пробки > Скрыть
edu_12	удали парковки	unknown	parking.hide	Настройки навигатора > Парковки > Скрыть
edu_13	вруби парковки	unknown	parking.show	Настройки навигатора > Парковки > Показать
edu_14	покажи спутник	unknown	settings.satellite.show	Настройки навигатора > Спутниковая карта > Показать
edu_15	переключи на схему	unknown	settings.satellite.hide	Настройки навигатора > Спутниковая карта > Скрыть
edu_16	убери звуки	unknown	settings.sound.mute	Настройки навигатора > Управление звуком > Отключить звуки
edu_17	верни звуки	unknown	settings.sound.unmute	Настройки навигатора > Управление звуком > Включить звуки
edu_18	сколько мне еще ехать	unknown	route.info.how_long_to_drive	Маршруты > Информация об уже построенном маршруте > Сколько осталось ехать
edu_19	во сколько приедем	unknown	route.info.when_we_get_there	Маршруты > Информация об уже построенном маршруте > Во сколько мы прибудем
edu_20	сколько км пробка	unknown	traffic.how_long_traffic_jam	Пробки > На сколько пробка
edu_21	домой	unknown	route.calc.home	Маршруты > Построение маршрута > Домой
edu_22	айда на работу	unknown	route.calc.work	Маршруты > Построение маршрута > На работу
edu_23	поехали в аптеку	unknown	route.calc.org	Маршруты > Построение маршрута > К организации
edu_24	ближайшая заправка	unknown	search_on_map.org	Поиск объектов на карте > Организации
edu_25	усачёва улица, поехали	unknown	route.calc.address	Маршруты > Построение маршрута > По адресу
edu_26	маршрут на метро до ленинский 54	unknown	route.calc.pub_transport	Маршруты > Построение маршрута > На общественном транспорте
edu_27	сколько ехать до дома	unknown	route.calc.timing	Маршруты > Построение маршрута > Сколько ехать?
edu_28	сколько ехать от москвы до владивостока	unknown	route.calc.timing	Маршруты > Построение маршрута > Сколько ехать?
edu_29	покажи маршрут	unknown	route.show	Маршруты > Обзор маршрута
edu_30	что сегодня с пробками	unknown	traffic.overall	Пробки > Пробки в городе
edu_31	пробки на ленинском проспекте	unknown	traffic.street	Пробки > Пробки в конкретных местах
edu_32	найди парковку	unknown	parking.find_parking	Маршруты > Построение маршрута > На ближайшую парковку
edu_33	отмени маршрут	unknown	route.reset.current	Маршруты > Сброс/отмена маршрута > Текущий маршрут
edu_34	ленина 34	unknown	search_on_map.addr	Поиск объектов на карте > Адреса
edu_35	аптеки	unknown	search_on_map.org	Поиск объектов на карте > Организации
edu_36	почему стоим	unknown	traffic.why	Пробки > Какая причина пробки?
edu_37	какой штраф за выделенку	unknown	auto_facts.fines	Вопросы свяазанные с авто > Штрафы
edu_38	77 какой регион	unknown	auto_facts.other	Вопросы свяазанные с авто > Другое
edu_39	приблизь карту	unknown	settings.map.zoom	Настройки навигатора > Управление масштабом карты
edu_40	давай оплатим парковку 3201	unknown	parking.pay	Парковки > Оплатить парковку
edu_41	поставь точку  	unknown	point.add.no_type	Дорожные события > Добавление точки > Без указания типа
edu_42	поехали	unknown	route.calc.somewhere	Маршруты > Построение маршрута > Без указания точки
edu_43	выбери 2 маршрут	unknown	route.select	Маршруты > Выбор из списка
edu_44	очисть историю маршрутов	unknown	route.reset.history	Маршруты > Сброс/отмена маршрута > Очистить всю историю
edu_45	петрозаводск	unknown	search_on_map.toponym	Поиск объектов на карте > Населенные пункты / области
edu_46	51 градус 48 минут 0 54 секунды северной широты 39 11 минут 674 секунд восточной долготы	unknown	search_on_map.coordinates	Поиск объектов на карте > Координаты
edu_47	где я	unknown	search_on_map.show_me.current	Поиск объектов на карте > Собственное расположение > Текущее
edu_48	покажи где я был 2 часа назад	unknown	search_on_map.show_me.history	Поиск объектов на карте > Собственное расположение > В прошлом
edu_49	дпс по мещере	unknown	search_on_map.org	Поиск объектов на карте > Организации
edu_50	парковки у метро аэропорт	unknown	search_on_map.parking	Поиск объектов на карте > Парковки > Поиск определенных парковок
edu_51	сохрани текущее положение	unknown	save_place.current_position	Поиск объектов на карте > Собственное расположение > Сохранить
edu_52	сохрани адрес ленина 88	unknown	save_place.poi	Сохранение избранных точек > Адрес или организация
