INPUT:dialog	GOLDEN:intent	HINT:text
алиса ты тупая	general_conversation.feedback.negative.insult_general	Критика / оскорбления - Оскорбления без мата
Алиса кто приехал первым на гран при Австралии?,Простите я не понимаю что вы имеете в виду,Очень плохо\, что ты меня не понимаешь	general_conversation.feedback.negative.criticism	Критика
Привет Алиса\, ты знаешь кто такой Игорь Акинфеев,Не могли бы вы повторить вопрос?,Какая же ты тупая	general_conversation.feedback.negative.insult_general	Критика
алиса ты умница	general_conversation.feedback.positive	Похвала
блядь алиса ты тупая сука	general_conversation.feedback.negative.insult_swearing	Критика / оскорбления - Матерные выражения
Алиса покажи погоду в городе Московск,Вот прогноз погоды в городе Москва,алиса ты неправильно меня поняла	general_conversation.feedback.negative.criticism	Критика
Алиса кто первый человек на луне?,Нил Армстронг,Какой блядь Нил Армстронг\, ты что дура\, что ты несешь?	general_conversation.feedback.negative.insult_swearing	Критика
Включи сказку про трех поросят в Яндекс музыке		
спасибо большое выручила	general_conversation.feedback.positive	Похвала
привет алиса ты умеешь играть в игры,я много чего могу,давай поиграем в города	general_conversation.game	Диалог - игры с алисой

можешь мне скинуть денег,Домой приеду кину,это будет уже слишком поздно	general_conversation.dialog	Обычный диалог
привет алиса давай поиграем в морской бой	general_conversation.game	Диалог - игры с Алисой
поставь будильник на 7 утра	action.time.alarm.setup	Просьба поставить будильник (категория действия, подкатегория время)
Когда начинаем?,Хоть завтра,Сегодня ты занята что ли?	general_conversation.dialog	Обычный диалог
алиса открой мне википедию в бразуере	action.app.browser.open_site	Запуск приложений / сайтов - бразузер - открыть сайт
что ты знаешь про меня\,Никогда не сомневайтесь, что вы лучше всех. Вот что главное,что еще	general_conversation.dialog	Обычный диалог
алиса развесели меня,могу рассказать анекдот,давай	general_conversation.tell.joke	Диалог, расскажи анекдот
привет алиса,и тебе привет,как у тебя дела?	general_conversation.dialog	Обычный диалог, относите такие фразы к болтовне
Закрой вкладку в режиме инкогнито		
Алиса\, закрой пожалуйста панель закладок	action.app.browser.bookmarks.close_bookmarks_manager	Действия - Приложения - Браузер - Панель закладок

который час?,двенадцать часов двадцать минут,ясно	other.insignificant.ok	Другое - неинформативный ответ
Алиса\, открой мне мои закладки в браузере	action.app.browser.bookmarks.open_bookmarks_manager	Действия - Приложения - Браузер - Панель закладок
Закрой вкладку в режиме инкогнито	action.app.browser.tabs.close_tab	Действия - Приложения - Браузер - Вкладки - Закрыть
алиса что мне посмотреть?,а какие фильмы вам нравятся?,Включи-ка боевик из новых	search.content.film.play	Просьба включить фильм
Включи сказку про трех поросят в Яндекс музыке	search.content.audiobooks.yandex	Поиск - Контент - Аудиосказки - Яндекс. Это запрос связанный c аудиосказками
где я?	simple.where	Один из простых сценариев, описанных в категории диалог
Оксимирон исполнитель	search.content.music.general	"Поиск - Контент - Музыка - Только исполнитель/песня. Этот запрос можно отнести к музыкальным, но нужно выбрать ""только исполнитель/песня"", так как в запросе не содержится глаголов действия или упоминания приложений"
Слова песни despacito	search.content.music.lyrics	Поиск информации или слова песен в категории музыка
Автобус м10 москва маршрут	search.timetable.transport	Поиск информации о расписании общественного транспорта
Алиса\, открой мне мои закладки в браузере		
