INPUT:input	GOLDEN:result	HINT:text
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-04-23 19:01:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/34523770"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""пауза"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи король и шут"",""action"":""Включится: https://music.yandex.ru/artist/41052"",""answer"":""Включаю Король и Шут""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	good	Здесь все верно. Алиса переходит к исполнителю в целом.
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-04-23 19:01:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/354182"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Поставь на паузу"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи пугачева"",""action"":""Включится: https://music.yandex.ru/album/63001/track/30223608"",""answer"":""Включаю""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part	Алиса нашла не исполнителя в общем, а предложила конкретный его трек.
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-04-23 19:01:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/34523770"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""пауза"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи король и шут"",""action"":""Включится: https://music.yandex.ru/album/7019257/track/50685846"",""answer"":""Включаю""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part	Алиса нашла не исполнителя в целом, а конкретный трек исполнителя.
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-05-20 11:11:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/53768971"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Алиса, тихо"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи песню мальчик хочет в тамбов"",""answer"":""Я не знаю такой песни""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part	Алиса продолжает говорить про музыку, но нужный трек для пользователя не нашла.
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""8e8128ac-7490-4a26-a313-4ab9660f2c01"",""state0"":{""time"":""2019-04-23 19:01:32"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/354182"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""Поставь на паузу"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались"",""answer"":""ОК""},""action1"":{""query"":""включи песню я люблю тебя марина"",""action"":""Первый трек, который включится: https://music.yandex.ru/album/5874989/track/43965446"",""answer"":""Включаю""},""session_id"":""uu/58f9dba6242a51a1771eb17f95ccc08d_1558634266_0""}"	part	Алиса включила музыку, но не ту.
"{""intent"":""personal_assistant\tscenarios\tvideo_play"",""req_id"":""1c37adf3-4ac0-4a3a-93a4-184aa301f450"",""state0"":{""time"":""2019-03-18 11:39:22"",""extra"":[{""type"":""На экране"",""content"":""119 видео/фильмов/сериалов под соответствующими номерами: \n15. \""Возвращение\"" на kinopoisk\n16. \""Патерсон\"" на amediateka\n17. \""Взрослые игры\"" на ivi\n18. \""Отроки во Вселенной\"" на kinopoisk\n19. \""Киллеры\"" на amediateka\n20. \""Мстители: Война бесконечности и дополнительные материалы\"" на ivi\n21. \""Большая афера\"" на kinopoisk\n""}],""screen"":""галерея видео""},""action0"":{""query"":""советские комедии"",""action"":""Открывается галерея из 119 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Аманда Силз: В курсах\"" на amediateka\n2. \""Бабушка легкого поведения 2\"" на ivi\n3. \""Малыш и Карлсон\"" на kinopoisk\n4. \""Пит Холмс: Перемывая кости\"" на amediateka\n5. \""Семь ужинов\"" на ivi\n6. \""Я шагаю по Москве\"" на kinopoisk\n"",""answer"":""Вот что удалось найти.""},""action1"":{""query"":""найди советские кинокомедии"",""action"":""Открывается галерея из 118 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Аманда Силз: В курсах\"" на amediateka\n2. \""Бабушка легкого поведения 2\"" на ivi\n3. \""Самая обаятельная и привлекательная\"" на kinopoisk\n4. \""Пит Холмс: Перемывая кости\"" на amediateka\n5. \""Семь ужинов\"" на ivi\n6. \""Карнавальная ночь\"" на kinopoisk\n"",""answer"":""Вот что удалось найти.""},""session_id"":""uu/85e6aaf90f8832c007993ba422bed293_1552880139_0""}"	part	Советские комедии здесь только 3я и 6я, остальное даже близко не подходит под запрос пользователя. Однако верно, что включили галерею фильмов – ответ частично верный
"{""intent"":""personal_assistant\tscenarios\tplayer_rewind"",""req_id"":""cf5e4a4c-c116-41e1-a338-686732dec18b"",""state0"":{""time"":""2019-03-18 07:51:01"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/15662456"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последняя включенная радиостанция"",""content"":""DFM"",""playback"":""Сейчас радио включено""}],""screen"":""радио плеер""},""action0"":{""query"":""включай радио"",""action"":""Включается радио \""DFM\"""",""answer"":""Включаю радио \""DFM\"".""},""action1"":{""query"":""перемотай на тридцать секунд вперед"",""answer"":""Ничего не получится, увы. Это же прямой эфир на радио \""DFM\"".""},""session_id"":""uu/f601f71a06499cd2aa99df4318b09e35_1552877445_0""}"	good	Не поспоришь, Алиса права
"{""intent"":""personal_assistant\tscenarios\tmusic_what_is_playing"",""req_id"":""e50f25be-f2a1-4dd9-8830-c10d8ee029b7"",""state0"":{""time"":""2019-03-18 18:13:03"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/50834580 (HammAli & Navai - Девочка-война)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""включи вот эту мелодию"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/41786897"",""answer"":""Включаю.""},""action1"":{""query"":""что за музыка играет"",""answer"":""Сейчас играет HammAli & Navai, песня \""Девочка-война\""""},""session_id"":""uu/d653cf1d6f4e8bc1d247257c43713645_1552921281_0""}"	good	Алиса верно называет проигрываемый трек. Ответ - Да
"{""intent"":""personal_assistant\tscenarios\talarm_reminder"",""req_id"":""5e4db2e9-a28b-487f-b52f-8a0f84240ef5"",""state0"":{""time"":""2019-03-18 22:27:51"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-03-18 08:00:00""},{""type"":""Последняя включенная радиостанция"",""content"":""DFM"",""playback"":""Сейчас радио включено""}],""screen"":""радио плеер""},""action0"":{""query"":""напомни мне проверить кофе через две минуты"",""answer"":""Поставила напоминание \""проверить кофе\"" на сегодня в 22:27.""},""action1"":{""answer"":""Срабатывает напоминание: Сегодня в 22:27 вы хотели проверить кофе.""},""session_id"":""uu/07ce679cb9f60bb278f3d81541b74547_1552928706_0""}"	good	Верно срабатывает напоминание. Ответ - Да
"{""intent"":""personal_assistant\tscenarios\tplayer_like"",""req_id"":""187c7727-38ea-49fb-985b-da53acbbbe31"",""state0"":{""time"":""2019-03-18 10:31:08"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/24716169 (The Americanos, Lil Jon, Juicy J, Tyga - BlackOut)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""сделай погромче"",""action"":""Увеличивается уровень громкости""},""action1"":{""query"":""лайк"",""action"":""Трек отмечается как понравившийся"",""answer"":""Буду включать такое чаще.""},""session_id"":""uu/a28915b4f8e5bd15d965d1e10fd41a2a_1552886725_0""}"	good	Алиса ставит лайк проигрываемой аудиозаписи, как и просит пользователь. Ответ верный
