INPUT:url	INPUT:info	INPUT:action	INPUT:intent	INPUT:hashsum	GOLDEN:result
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/4034edb3-4ab8-4838-b619-f7953f60f477		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/cc0f357f-853d-40e1-9d7f-2fe58dccd41c		Алиса включает песню собственного исполнения			good
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/c049b0cb-a28a-4ae1-9617-e31d1d896cdd		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/fb0f19b8-d95b-4d6c-b3fa-0fb7c9448429		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/658e0368-2223-4538-a024-0cd0cfff51c2		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/ed37b99e-44fe-48a1-beea-444f5aa19c7c		Открывается сайт https://youtube.com			good
http://storage.mds.yandex.net:80/get-voicetoloka/18463/32d06401-c377-4182-9b45-29662d8c9355		Включается https://music.yandex.ru/artist/42607 в Яндекс.Музыке			bad
http://storage.mds.yandex.net:80/get-voicetoloka/18463/ff21ce79-f76b-4159-ac80-7b79a2edbe78		Открывается поиск по запросу <дождь>			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/ca2efaaa-4ca2-4f98-a517-7cffe87e3293		Открывается приложение или сайт с заказом такси			part
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/bfd77a5f-1cb7-4f69-8696-0ef43e8ef534		Включается https://music.yandex.ru/album/4277134/track/48591706 в Яндекс.Музыке			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/9d8253ff-227a-4f59-843e-f5b1e917f03c		Переводится текст с помощью Яндекс.Переводчика			good
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/b78543c4-ac68-4a21-af93-cecb7f484cec		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/5f57f863-b234-4faa-9e82-5499883484a5		Открывается поиск по запросу <картинку по фото>			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/12d46cbe-efc4-419f-aade-31b5404e4848		Открывается сайт https://asmu.ru			good
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/c26df3a2-01cf-4c52-afd4-3eea7b72eb04		Открывается поиск по запросу <год рождения>			part
http://storage.mds.yandex.net:80/get-voicetoloka/18463/9bb0acb6-37f1-499f-903e-af2bd49b8dc7		Открывается поиск по запросу <и социальной защиты граждан>			part
http://storage.mds.yandex.net:80/get-voicetoloka/18463/12025367-3458-48da-8215-92ad9265a282		Включается персональная подборка в Яндекс.Радио (https://radio.yandex.ru/user/onyourwave)			part
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/ad64819b-c610-4ce2-86cb-3c2cc1df5803		Открывается поиск по запросу <игры маша и медведь>			good
http://storage.mds.yandex.net:80/get-voicetoloka/1601757/3eeb7bf3-8603-4305-a0fc-64faa541127e		Включается https://music.yandex.ru/users/ya.fest.music/playlists/1059 в Яндекс.Музыке
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/ce7835bd-45b5-44ce-9391-cbd898356d02		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/f4a7f647-b9ae-46e5-9302-595f7ba217a9		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/c7a580c9-0705-491f-a4d0-3000ea46584b		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/44e45226-02df-43f4-a510-7944ba50808a		Воспроизводится музыка в Яндекс.Музыке			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/a154895e-a10b-4e68-a3e4-92a82aaf2be4		Включается https://music.yandex.ru/album/4788298/track/374870 в Яндекс.Музыке			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/c45f0c11-80c2-4739-b0e2-bdc0feef0719		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/bd9cf648-6b26-4f20-9744-e15262babe95		Ответ показан на экране			bad
