INPUT:url	INPUT:info	INPUT:action	INPUT:intent	INPUT:hashsum	GOLDEN:result
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/808d49b6-6a88-403a-9f39-d5256f644580		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/7795b726-d3b7-4056-ad79-1e689d6f6165		Включается https://music.yandex.ru/album/4416674/track/35421232 в Яндекс.Музыке			good
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/c9ebff54-132a-4a3e-b93d-96fb94722b98		Ответ показан на экране			good
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/1cd1ff9d-5e63-4b6b-a4e0-99c3c863f3a3		Включается https://music.yandex.ru/album/2916069/track/24863719			good
http://storage.mds.yandex.net:80/get-voicetoloka/2001620/109ada9e-beee-48de-b248-94aff6834b75		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/1a806c0b-09d0-4094-b7a6-e970a44caa5e		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/7cba8cb2-68a5-4b02-bc87-b55fd307c2c0		Ответ показан на экране			good
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/bfa8b80a-d51a-4a21-b636-3a70016fe78a		Открывается поиск по запросу <человек и мир 5 класс связи организма друг с другом>			good
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/a6c22820-8f2f-4091-ba6d-3614fb6bbef6		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/05ed06ea-dd14-4124-a514-e274994fcc2f		Ответ показан на экране			good
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/ac8e0840-9458-4539-ab3c-3c1b9cd3480b		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/836f6592-3398-45b5-b244-c5eff64b4ca3		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/43dbda75-b55f-46ba-907d-ff14e4d0b786		Открывается поиск по запросу <многодетный правильно>			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/dbc4cfd1-1274-4022-a32b-460ea14f1183		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/c8a9309f-24ab-4c07-997c-0cc94c321aae		Ответ показан на экране			good
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/9e42e8c8-9673-4577-96d7-1abc5cd8ebb8		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/6a603674-bd96-4bf2-9c48-3be9ac138d91		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/f8d5c6e8-e7dd-483b-8f65-e3a148d9e7ad		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/6d48e3df-7cad-4760-b9e7-b8277cc1d9f0		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/4f61d84d-00e6-4451-a9be-0c1b1838c68a		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/c945788a-e216-48d3-b5bc-7d3e8924a63d		Открывается поиск по запросу <спутников>			part
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/a23d1bf8-d0e5-4b02-83b4-5cada78987ba		Ответ показан на экране			part
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/cd67a2a1-734e-48d6-907f-0f55d8720fa3		Ответ показан на экране
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/45dfdfcd-7130-4158-8901-7ddde90db94b		Ответ показан на экране			good
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/d61e4261-2691-430a-affe-6dc02c0b130f		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/ae691614-a19a-4fd1-864f-cdf7075bcc09		Ответ показан на экране			good
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/150bd07e-fa31-4721-bfef-c75697540a04		Открывается поиск по запросу <кофе пила>			bad
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/e993aece-0854-4cb4-8187-809f848fc45e		Ответ показан на экране			bad
http://storage.mds.yandex.net:80/get-voicetoloka/2001620/b3e5203b-fbcf-4042-b5a0-e5f2ca01c9d5		Открывается поиск по запросу <русских молодых девушек трое>			part
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/9b71078b-f6b9-4752-be77-9abcb80e842d		Устанавливается будильник на указанное время			good
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/4a7ea7af-2245-4ce7-9253-75412460321c		Ответ показан на экране			part
