,id,transcribation text,text
0,0,أليسا ممكن تشغلين محمد رمضان؟,أليسا ممكن تشغلين محمد رمضان
1,1,الإسراء,الإسراء
2,2,,أليس شغلي لي الاغنيه الي فيها كلام عن الام الطفله شهد العميري
3,3,شغلي لي أغنية رومانسية الحين.,شغلي لي اغنيه رومانسيه ذحين
4,4, أليس شغلي لي أغنيه رومانسيه.,أليس شغلي لي اغاني رومانسيه
5,5,أليسا إنت معلم وحنا منك نتعلَّم,أليسا انت معلم و احنا منك نتعلم
6,6,أليسا ممكن أغنية عن الأرق؟,أليسا ممكن أغنيه عن الارق
7,7,شغلي أغنية معلش لحمزة نمرة.,شغلي اغنيه معلش لحمزه نمره
8,8,أليسا شغلي أشهر أغنية عام ألفين وثنين.,أليس شغلي لي اشهر اغنيه عام الفين واثنين
9,9,أليسا أبي أغاني عبدالحليم حافظ.,أليس ابي اغاني عبد الحليم حافظ
10,10,أليسا إطربيني على أغنية بين العصر والمغرب.,أليس اطربيني علي اغنيه بين العصر والمغرب
11,11,أليسا شغلي الموسيقى اللي تعجبني.,أليس شغلي الموسيقي التي تعجبني
12,12,أليسا,أليس
13,13,أليس شغلي حقت اصالة طلبتك لا تحاكيني عن ايامك ولا ذكراك ومدري ايش,أليس شغلي حقت اصاله طلبتك لا تحاكيني عن ايامك ولا ذكراك ومدري ايش
14,14,أليسا شغليلي أغنية محمد رمضان نمبر ون.,أليسا شغلي لي اغنيه محمد رمضان نمبر ون
15,15,أليسا لو سمحتي شغلي أغنية مشهورة.,أليسا لوسمحتي شغلي اغنيه مشهوره
16,16,أطربي أذني بأشهر أغنية من عام ألف وتسعمية وتسعة وتسعين.,اطربي اذني باشهر اغنيه من عام الف وتسعميه وتسعه وستين
17,17,أليسا,آل سعود
18,18,أليسا شغليلي يوم ورا يوم,أليسا شغليي لي يوم ورا يوم
19,19,أليسا شغلي موسيقى عمر دياب,أليس شغليي موسيقي عمر دياب
20,20,"أليسا ودي اليوم انطرب بأغنيه مثل النسيم الساكن حقت نوال، شغليها",أليسا ودي اليوم انطرب باغنيه مثل النسيم الساكن حقت نوال شغليها لي
21,21,شغلي اجدد اغنية لمطربنا محمد رمضان,شغلي اجدد اغنيه لمطربنا محمد رمضان
22,22,أليس نشيد السيره النبويه للصغارين,أليسا نشيد السيره النبويه للصغارين
23,23,نادي السد القطر.,نادي السد القطر
24,24,أليسا أبي أغنية لأختي الصغيرة.,أليس ابي اغنيه لاختي الصغيره
