африкаан	af	африкаанс
амх	am	амхарский
араб	ar	арабский
егип	ar	арабский
азер	az	азербайджанский
баш	ba	башкирский
бел	be	белорусский
болг	bg	болгарский
бенг	bn	бенгальский
босн	bs	боснийский
кат	ca	каталанский
себ	ceb	себуанский
чеш	cs	чешский
вал	cy	валлийский
дат	da	датский
нем	de	немецкий
гер	de	немецкий
гре	el	греческий
анг	en	английский
аннг	en	английский
амер	en	английский
брит	en	английский
онгл	en	английский
эсп	eo	эсперанто
исп	es	испанский
арген	es	испанский
колумб	es	испанский
кубин	es	испанский
мекс	es	испанский
панам	es	испанский
эст	et	эстонский
баск	eu	баскский
перс	fa	персидский
иран	fa	персидский
фарс	fa	персидский
фин	fi	финский
фр	fr	французский
ирл	ga	ирландский
шот	gd	шотландский
гэл	gd	шотландский
кельт	gd	шотландский
галис	gl	галисийский
гудж	gu	гуджарати
ивр	he	иврит
еврей	he	иврит
хинд	hi	хинди
индий	hi	хинди
хорв	hr	хорватский
гаит	ht	гаитянский
венг	hu	венгерский
арм	hy	армянский
индон	id	индонезийский
исл	is	исландский
итал	it	итальянский
яп	ja	японский
яван	jv	яванский
груз	ka	грузинский
каз	kk	казахский
кхм	km	кхмерский
камб	km	кхмерский
канн	kn	каннада
кор	ko	корейский
кирг	ky	киргизский
кырг	ky	киргизский
латын	la	латынь
латин	la	латынь
рим	la	латынь
люкс	lb	люксембургский
лаос	lo	лаосский
лит	lt	литовский
латыш	lv	латышский
малаг	mg	малагасийский
марий	mhr	марийский
маор	mi	маори
макед	mk	македонский
малая	ml	малаялам
монг	mn	монгольский
марат	mr	маратхи
горномарий	mrj	горномарийский
малаз	ms	малайский
малай	ms	малайский
мальт	mt	мальтийский
бирман	my	бирманский
мьян	my	бирманский
непал	ne	непальский
нидер	nl	нидерландский
гол	nl	нидерландский
нор	no	норвежский
пандж	pa	панджаби
папья	pap	папьяменто
папиа	pap	папьяменто
пол	pl	польский
порт	pt	португальский
браз	pt	португальский
рум	ro	румынский
молд	ro	румынский
рус	ru	русский
рос	ru	русский
синг	si	сингальский
слова	sk	словацкий
слове	sl	словенский
алб	sq	албанский
серб	sr	сербский
сунд	su	сунданский
швед	sv	шведский
суах	sw	суахили
тами	ta	тамильский
телуг	te	телугу
тадж	tg	таджикский
тай	th	тайский
тага	tl	тагальский
тур	tr	турецкий
тат	tt	татарский
удм	udm	удмуртский
укр	uk	украинский
хохл	uk	украинский
урду	ur	урду
узб	uz	узбекский
вьет	vi	вьетнамский
коса	xh	коса
кхоса	xh	коса
идиш	yi	идиш
чуваш	cv	чувашский
кит	zh	китайский
якут	sah	якутский
абазин	STOP	абазинский
абх	STOP	абхазский
авар	STOP	аварский
австр	STOP	австрийский
агул	STOP	агульский
аджар	STOP	аджарский
адыг	STOP	адыгейский
азиат	STOP	азиатский
