Query,GeoId
в алании,11502
в барабаше,136068
в верхнем кужебаре,131892
в дядькове,117904
в зайцеве,NA
в косе,130407
в кочубеевке район,160729
в лагани,20178
в летке,130819
в михайловском,118879
в морках,101205
в нарьян маре,10902
в новой туре,MUL
в орде,101159
в очках,NA
в поповке,161810
в протоках,165737
в реже,20684
в рускеале,NA
в селе махалина,135359
в село махалина,135359
в сиде,21031
в табунах,100889
в токаево,147654
в тучково,21626
в ульяново,141400
в хабарах,100896
в хантах,57
в хатукае,123656
в цивильске,20077
в челнах,236
в челси,102797
в черни,100810
в шемордане,110303
в юксеево погода в юксеево,135683
город котельники микрорайон силикат улица промзона 4 строение 4,21651
кайеркан,11306
на зюраткуле,NA
на свердловке,NA
поселковой 3 дробь 1,NA
поселок юца ессентуки,139980
слобода михайловка,132494
станица кущевская,21016
хабары,100896
