1 Mayıs nedeniyle Cumhuriyet Caddesi Geçici Süreliğine Trafiğe Kapalı	1 Mayıs nedeniyle "Cumhuriyet Caddesi"(where) "Geçici Süreliğine Trafiğe Kapalı"(road_event)
1 şerit trafiğe kapalı bölgede yoğun trafik	"1 şerit"(lane) "trafiğe kapalı"(road_event) "bölgede yoğun trafik"(comment)
arızalı araç nedeniyle orta şerit kapalı	"arızalı araç"(road_event) nedeniyle "orta şerit"(lane) "kapalı"(road_event)
asfalt tamiri var	"asfalt tamiri"(road_event) var
avrasya maratonu boğaziçi köprüsü kapalı	"avrasya maratonu"(road_event) "boğaziçi köprüsü"(where) "kapalı"(road_event)
bahçelievlerde asfalt çalışması	"bahçelievlerde"(where) "asfalt çalışması"(road_event)
çift şerit yol çalışması	"çift şerit"(lane) "yol çalışması"(road_event)
eds	"eds"(road_event)
emniyet şeridi ihlal kamerası	"emniyet şeridi ihlal kamerası"(road_event)
hasarlı trafik kazası	hasarlı "trafik kazası"(road_event)
hız kamerası	"hız kamerası"(road_event)
hız takip kamerası bölge	"hız takip kamerası"(road_event) "bölge"(comment)
hız takip kamerası	"hız takip kamerası"(road_event)
kamera 60 üstüne	"kamera"(road_event) "60 üstüne"(comment)
kaza orta şeridinde	"kaza"(road_event) "orta şeridinde"(lane)
kaza orta şerit	"kaza"(road_event) "orta şerit"(lane)
kaza ortasında	"kaza"(road_event) "ortasında"(lane)
kaza sağında	"kaza"(road_event) "sağında "(lane)
kaza sağında	"kaza"(road_event) "sağında"(lane)
kaza sağ orta sol şerit	"kaza"(road_event) "sağ orta"(lane) "sol şerit"(lane)
kaza sağ şeridinde	"kaza"(road_event) "sağ şeridinde"(lane)
kaza sağ şeridinde orta	"kaza"(road_event) "sağ şeridinde orta"(lane)
kaza sağ şerit	"kaza"(road_event) "sağ şerit"(lane)
kaza sol şeridinde	"kaza"(road_event) "sol şeridinde"(lane)
kaza sol şerit	"kaza"(road_event) "sol şerit"(lane)
kaza solunda	"kaza"(road_event) "solunda"(lane)
Maltepe-Kartal Yönü, kaza nedeni ile 1 şerit trafiğe kapalı	"Maltepe-Kartal Yönü"(where), "kaza"(road_event) nedeni ile "1 şerit"(lane) "trafiğe kapalı"(road_event)
mobese 	"mobese"(road_event)
sağ şerit araç arızası bölgedeki trafik yoğun	"sağ şerit"(lane) "araç arızası"(road_event) "bölgedeki trafik yoğun"(comment)
sağ şerit trafik kazası yaralı var	"sağ şerit"(lane) "trafik kazası"(road_event) "yaralı var"(comment)
sağ şerit yol çalışması nedeniyle trafiğe kapalı	"sağ şerit"(lane) "yol çalışması"(road_event) nedeniyle "trafiğe kapalı"(road_event)
Sahil Yolu Florya çift yön yoğun trafik	"Sahil Yolu Florya"(where) çift yön "yoğun trafik"(comment)
şerit takip kamerası	"şerit takip kamerası"(road_event)
sol şerit Bakım-Onarım Çalışması nedeni ile 1 şerit trafiğe kapalı	 "sol şerit"(lane) "Bakım-Onarım Çalışması"(road_event) nedeni ile "1 şerit"(lane) "trafiğe kapalı"(road_event)
sol şerit kazı çalışması	"sol şerit"(lane) "kazı çalışması"(road_event)
statik hız kamerasına dikkat	"statik hız kamerasına"(road_event) dikkat
tedes	"tedes"(road_event)
trafik kazası orta da	"trafik kazası"(road_event)  "orta da"(lane)
trafik kazası sağ şerit	"trafik kazası"(road_event) "sağ şerit"(lane)
trafik kazası sol şerit	"trafik kazası"(road_event) "sol şerit"(lane)
trafik yoğun akıcı	"trafik yoğun akıcı"(comment)
yol çalışması nedeniyle trafik yoğun 	"yol çalışması"(road_event) nedeniyle "trafik yoğun"(comment)
yolda çevirme var	yolda "çevirme"(road_event) var
yolda radar var	yolda "radar"(road_event) var
zincirleme kaza var	"zincirleme kaza"(road_event) var
