tüm şeritler	"tüm şeritler"(lane)
tüm yol	"tüm yol"(lane)
tek şerit	"tek şerit"(lane)
solunda	"solunda"(lane)
sol şerit	"sol şerit"(lane)
sol	"sol"(lane)
sağında	"sağında"(lane)
sağ şerit	"sağ şerit"(lane)
sağ	"sağ"(lane)
orta	"orta"(lane)
orta şerit	"orta şerit"(lane)
ortada	"ortada"(lane)
alisa sol	alisa "sol"(lane)
alisa sağ	alisa "sağ"(lane)
alisa orta	alisa "orta"(lane)
sol şeritinde	"sol şeritinde"(lane)
solunda	"solunda"(lane)
sağ şeritinde	"sağ şeritinde"(lane)
sağda	"sağda"(lane)
orta şeritinde	"orta şeritinde"(lane)
ortasında	"ortasında"(lane)
tüm yolda	"tüm yolda"(lane)
tüm şeritlerde	"tüm şeritlerde"(lane)
burada tek şerit	burada "tek şerit"(lane)
sol ve sağ şeridinde	"sol"(lane) ve "sağ şeridinde"(lane)
solunda ve sağanda	"solunda"(lane) ve "sağanda"(lane)
sol sağ ve orta şeridinde	"sol"(lane) "sağ"(lane) ve "orta şeridinde"(lane)
sol sağ veya orta şeridinde	"sol"(lane)  "sağ"(lane) veya "orta şeridinde"(lane)
orta ve sağ şeridinde	"orta"(lane) ve "sağ şeridinde"(lane)
sağında ve solunda	"'sağında"(lane) ve "solunda"(lane)
sol ve sağ şerit	"sol"(lane) ve "sağ şerit"(lane)
sol ve sağ	"sol"(lane) ve "sağ"(lane)
sol ve orta şerit	"sol"(lane) ve "orta şerit"(lane)
sol sağ ve orta şerit	"sol"(lane) "sağ"(lane) ve "orta şerit"(lane)
sol orta ve sağ şerit	"sol"(lane) "orta"(lane) ve "sağ şerit"(lane)
sağ ve sol şerit	"sağ"(lane) ve "sol şerit"(lane)
sağ ve sol	"sağ"(lane) ve sol"(lane)
sağ ve orta şerit	"sağ"(lane) ve "orta şerit"(lane)
sağ ve orta	"sağ"(lane) ve orta"(lane)
sağ sol ve orta şerit	"sağ"(lane) "sol"(lane) ve "orta şerit"(lane)
sağ orta ve sol şerit	"sağ"(lane) "orta"(lane) ve "sol şerit"(lane)
orta ve sol şerit	"orta"(lane) ve "sol şerit"(lane)
orta ve sol	"orta"(lane) ve "sol"(lane)
orta ve sağ şerit	"orta"(lane) ve "sağ şerit"(lane)
orta ve sağ	"orta"(lane) ve "sağ"(lane)
orta sol ve sağ şerit	"orta"(lane) "sol"(lane) ve "sağ şerit"(lane)
orta sağ ve sol şerit	"orta"(lane) "sağ"(lane) ve "sol şerit"(lane)
mobil	"mobil"(camera_type)
sabit	"sabit"(camera_type)
hata burada tek yön trafik	"hata"(road_event) "burada tek yön trafik"(comment)
@navi_talk_text (400)	"@navi_talk_text (400)"(comment)


