trafiğin bitmesine kaç dakika kaldı	trafiğin bitmesine kaç dakika kaldı	how much time to the end of traffic
trafikte cep telefonu	trafikte cep telefonu	cell phone at traffic
ne zaman çıkıcak	ne zaman çıkıcak	when will it get out
kaza oldu ya ne kadar sürecek	"kaza"(road_event) oldu ya ne kadar sürecek	accident occured how long will it take
trafikte	trafikte	at the traffic
allah aşkına 1 söylesin trafikte	allah aşkına 1 söylesin trafikte	at the traffic somebody says something for god's sake
trafikte falan böyle şey değil mi	trafikte falan böyle şey değil mi	at the traffic something like that
trafikten	trafikten	from the traffic
trafikten çıkarttı bizi	trafikten çıkarttı bizi	it getting us out of traffic
trafikten çıkıyor	trafikten çıkıyor	it getting out of traffic
yoğun trafikten	"yoğun trafikten"(road_event)	from traffic jam
yoğun trafikten kaçış	"yoğun trafikten"(road_event) kaçış	escape from traffic jam
