neler biliyorsun?	what do you know?
neler yapabiliyorsun?	what can you do?
neler yapmayı biliyorsun?	what do you know to do?
seni nasıl kullanabilirim?	how can I use you?
başka neler biliyorsun?	what else do you know?
başka neler yapabiliyorsun?	what else can you do?
hangi komutları biliyorsun?	what commands do you know?
Yandex servisleri dışında bir şey biliyor musun?	do you know anything except Yandex services?
Yandex'te olan uygulamalar dışında bir şey biliyor musun?	do you know anything except what Yandex has as applications
Yandex'te olan aplikasyonlar dışında bir şey biliyor musun?	do you know anything except what Yandex has as applications
Yandex'te olan app'ler dışında bir şey biliyor musun?	do you know anything except what Yandex has as apps
Yandex'tekiler dışında neler yapabilirsin?	what else can you do except what Yandex has?
Bana nasıl yardımcı olabilirsin?	how can you be helpful to me?
başka napabilirsin?	what else can you do?
başka ne yapabilirsin?	what else can you do?
komik video açabilir misin?	can you open funny videos?
komik foto açabilir misin?	can you open funny photos?
komik fotoğraf açabilir misin?	can you open funny photos?
konuşabilir misin?	can you talk?
konuşmayı biliyor musun?	do you know to speak?
konuşmayı öğrendin mi?	did you learn speaking?
konuşabiliyor musun?	can you talk?
ne yapabilirsin?	what can you do?
neler yapabilirsin?	what can you do?
bana neler yapabileceğini söyle.	tell me what you can do
bana neler yapabileceğini anlat.	tell me what you can do
bana neler yapabildiğini anlat.	tell me what you can do
bana neler yapabileceğini söyle.	tell me what you can do
hangi özelliklere sahipsin?	what specialities do you have?
hangi özelliklerin var?	what specialities do you have?
hangi fonksiyonlara sahipsin?	what functions do you have?
hangi fonksiyonların var?	what functions do you have?
ne fonksiyonların var?	what functions do you have?
bana nasıl yardım edebilirsin?	how you can help me?
ne hakkında konuşabilirsin?	what can you talk about?
ne hakkında konuşabiliyorsun?	what can you talk about?
sana soru sorabilir miyim?	can I ask you questions?
sana ne sorabilirim?	what can I ask you?
senden ne isteyebilirim?	what can I ask from you?
senden bir şey isteyebilir miyim?	can I ask something from you?
hangi konuları konuşmayı seviyorsun?	what topics do you like to talk about?
hangi sorulara cevap verebilirsin?	what questions you can answer?
