weight	text	some_optional_extra_column	one_more_extra_column
3906	алиса	my_value_1	more_1
2733	спасибо	my_value_2	more_2
2601	привет алиса	my_value_3	more_3
2349	привет	my_value_4	more_4
1950	да	my_value_5	more_5
1874	да	my_value_6	more_6
1608	да	my_value_7	more_7
1470	подсказка	my_value_8	more_8
1200	как дела	my_value_9	more_9
1188	что ты умеешь?	my_value_10	more_10
1178	алиса привет	my_value_11	more_11
1015	почему	my_value_12	more_12
945	давай поболтаем	my_value_13	more_13
925	алиса, хватит.	my_value_14	more_14
840	нет	my_value_15	more_15
814	пока	my_value_16	more_16
802	нет	my_value_17	more_17
772	хватит болтать.	my_value_18	more_18
768	алиса давай поболтаем	my_value_19	more_19
752	давай поболтаем	my_value_20	more_20
734	погода	my_value_21	more_21
681	а	my_value_22	more_22
582	алиса давай поболтаем	my_value_23	more_23
579	как	my_value_24	more_24
554	хорошо	my_value_25	more_25
510	что	my_value_26	more_26
502	алиса	my_value_27	more_27
463	сколько тебе лет	my_value_28	more_28
417	понятно	my_value_29	more_29
2	привет мир	my_value_30	more_30
