count	query	symptoms	recommend	all
409	спасибо	0	0	0
151	не надо	0	0	0
93	коронавирус	0	0	0
84	стоп	0	0	0
81	спасибо алиса	0	0	0
80	алиса	0	0	0
76	нет спасибо	0	0	0
60	скажи	0	0	0
51	симптомы коронавируса	1	0	0
41	давай про симптомы	1	0	0
39	расскажи про симптомы коронавируса	1	0	0
38	расскажи про симптомы и рекомендации	0	0	1
37	хватит	0	0	0
35	нет	0	0	0
34	спасибо не надо	0	0	0
33	а	0	0	0
32	давай рассказывай	0	0	1
27	что такое коронавирус	0	0	0
27	алиса расскажи про симптомы	1	0	0
24	что	0	0	0
24	давай симптомы	1	0	0
24	нет не надо	0	0	0
20	включи музыку	0	0	0
20	привет	0	0	0
19	давай рекомендации	0	1	0
17	не не надо	0	0	0
17	понятно	0	0	0
15	не надо спасибо	0	0	0
15	ну скажи	0	0	0
15	давай про рекомендации	0	1	0
14	корона вирус	0	0	0
14	все	0	0	1
13	алиса расскажи про рекомендации	0	1	0
13	алиса спасибо	0	0	0
12	пока	0	0	0
12	пожалуйста	0	0	0
12	скажи про симптомы	1	0	0
12	расскажи про рекоменд	0	1	0
11	алиса расскажи про симптомы коронавируса	1	0	0
11	громче	0	0	0
11	дальше	0	0	0
11	расскажи про симптомы рекомендации	0	0	1
11	включи	0	0	0
11	домой	0	0	0
11	молодец	0	0	0
11	тише	0	0	0
10	расскажи про коронавирус	0	0	1
10	алиса алиса	0	0	0
10	хорошо	0	0	1
10	спасибо большое	0	0	0
10	говори	0	0	1
9	алиса что такое корона вирус	0	0	0
9	погода	0	0	0
9	не нужно	0	0	0
9	новости	0	0	0
9	ну	0	0	0
9	выключись	0	0	0
8	спасибо за информацию	0	0	0
8	какая погода	0	0	0
8	рекоменд	0	1	0
7	рассказ	0	0	0
7	алиса хватит	0	0	0
7	нет спасибо не надо	0	0	0
7	коронавирус симптомы	1	0	0
7	дома	0	0	0
7	симптомы рекомендации	0	0	1
7	расскажи анекдот	0	0	0
7	включи песню корона вирус	0	0	0
7	назад	0	0	0
6	новости коронавирус	0	0	0
6	какие симптомы	1	0	0
6	алиса включи музыку	0	0	0
6	карта распространения коронавируса	0	0	0
6	симптомы и рекомендации	0	0	1
6	расскажи про рекоменда	0	1	0
6	алиса симптомы коронавируса	1	0	0
6	и	0	0	0
6	ой	0	0	0
6	а сколько умерло	0	0	0
6	алиса что такое коронавирус	0	0	0
6	узбекистан	0	0	0
6	давай расскажи про симптомы	1	0	0
6	короновирус	0	0	0
6	расскажи симптомы коронавируса	1	0	0
6	круто	0	0	0
6	три	0	0	0
5	все спасибо	0	0	0
5	сколько	0	0	0
5	нет не надо спасибо	0	0	0
5	сколько время	0	0	0
5	ты	0	0	0
5	ты боишься коронавируса	0	0	0
5	рекомендации какие	0	1	0
5	включи свет	0	0	0
5	включи песню	0	0	0
5	что такое	0	0	0
5	вирус	0	0	0
5	что такое корона вирус	0	0	0
5	еще	0	0	0
5	заткнись	0	0	0
5	повтори еще раз	0	0	0
5	как дела	0	0	0
5	покажи	0	0	1
5	привет алиса	0	0	0
5	карта коронавируса	0	0	0
5	какая завтра погода	0	0	0
5	симптомы	1	0	0
4	какие рекомендации	0	1	0
4	рекомендации давай	0	1	0
4	а ты	0	0	0
4	как лечить	0	0	0
4	коронавирус	0	0	0
4	коронавирус в италии	0	0	0
4	коронавирус в мире	0	0	0
4	следующую	0	0	0
4	давай говори	0	0	1
4	да пожалуйста	0	0	1
4	да ладно	0	0	0
4	лайк	0	0	0
4	мы все умрем	0	0	0
4	надо	0	0	1
4	да	0	0	1
4	громкость четыре	0	0	0
4	что делать	0	1	0
4	выключи музыку	0	0	0
4	включи песню коронавирус	0	0	0
4	нет спасибо алиса	0	0	0
4	тихо	0	0	0
4	алиса стоп	0	0	0
4	ок	0	0	0
4	сколько умерло	0	0	0
4	сто три	0	0	0
4	погода на завтра	0	0	0
4	статистика коронавируса	0	0	0
4	алиса расскажи про коронавирус	0	0	1
4	алис	0	0	0
4	понял	0	0	0
4	порекомендуй	0	1	0
4	порно	0	0	0
4	потише	0	0	0
4	расскажи про корона вирус	0	0	1
4	почему	0	0	0
4	алиса выключи	0	0	0
4	продолжай	0	0	0
4	а еще	0	0	0
4	спасибо пока	0	0	0
4	расскажи новости	0	0	0
3	мама	0	0	0
3	какая погода завтра	0	0	0
3	алиса громкость семь	0	0	0
3	алиса давай поиграем	0	0	0
3	алиса домой	0	0	0
3	алиса не надо	0	0	0
3	ясно	0	0	0
3	что это такое	0	0	0
3	алиса расскажи про симптомы рекомендации	0	0	1
3	алиса расскажи рекомендации	0	1	0
3	алиса расскажи симптомы коронавируса	1	0	0
3	алиса сделай громче	0	0	0
3	про симптомы коронавируса	1	0	0
3	а я	0	0	0
3	алиса что такое	0	0	0
3	благодарю	0	0	0
3	в россии	0	0	0
3	прикольно	0	0	0
3	включай	0	0	0
3	включи bluetooth	0	0	0
3	спасибо спасибо	0	0	0
3	что с коронавирусом	0	0	0
3	сколько заболевших в москве	0	0	0
3	сколько заболевших	0	0	0
3	расскажи про комеди	0	0	0
3	потом	0	0	0
3	спасибо не нужно	0	0	0
3	что с корона вирусом	0	0	0
3	сколько времени	0	0	0
3	а какие рекомендации	0	1	0
3	а какие симптомы	1	0	0
3	все хватит	0	0	0
3	выключи	0	0	0
3	громкость на шесть	0	0	0
3	скажи симптомы	1	0	0
3	четыреста тридцать восемь	0	0	0
3	да давай рассказывай	0	0	1
3	да можешь	0	0	1
3	да не надо	0	0	0
3	да нет спасибо	0	0	0
3	скажи пожалуйста	0	0	1
3	Курс доллара	0	0	0
3	давай поиграем	0	0	0
3	подскажи	0	0	0
3	смотри	0	0	0
3	жопа	0	0	0
3	расскажи про симптомы или рекомендации	0	0	1
3	симптомы какие	1	0	0
3	как	0	0	0
3	расскажи про симптомы короны вируса	1	0	0
3	повтори	0	0	0
3	а ты болеешь	0	0	0
3	как меня зовут	0	0	0
3	пауза	0	0	0
3	как тебя зовут	0	0	0
3	симптомы давай	1	0	0
3	отдыхай	0	0	0
3	семь	0	0	0
3	сделай погромче	0	0	0
3	когда закончится коронавирус	0	0	0
3	у меня корона вирус	0	0	0
3	россия	0	0	0
3	ого	0	0	0
3	ром	0	0	0
3	кто мы	0	0	0
3	курс доллара	0	0	0
3	ты меня	0	0	0
3	не не надо спасибо	0	0	0
3	не та	0	0	0
3	новости про коронавирус	0	0	0
3	расскажи что нибудь	0	0	1
3	сколько человек умерло	0	0	0
3	телефон	0	0	0
3	ничего себе	0	0	0
3	расскажи сказку	0	0	0
3	ниже	0	0	0
3	расскажи симптомы и рекомендации	0	0	1
2	расскажи про тома	0	0	0
2	томы	0	0	0
2	нет не нужно	0	0	0
2	расскажи симптомы рекомендации	0	0	1
2	ничего не надо	0	0	0
2	нет алиса	0	0	0
2	новости короновирус	0	0	0
2	не хочу	0	0	0
2	ноль	0	0	0
2	не нужно спасибо	0	0	0
2	ты боишься корона вирус	0	0	0
2	стоп коронавирус	0	0	0
2	не не надо алиса	0	0	0
2	Включи музыку	0	0	0
2	спасибо алиса за информацию	0	0	0
2	не надо алиса	0	0	0
2	ты болеешь	0	0	0
2	не	0	0	0
2	ты здесь	0	0	0
2	а сколько в мире	0	0	0
2	рассказы	0	0	1
2	на кого я похож	0	0	0
2	на вирус	0	0	0
2	спасибо	0	0	0
2	москва	0	0	0
2	молодец алиса	0	0	0
2	ну давай рассказывай	0	0	1
2	можно	0	0	1
2	мне не нужно	0	0	0
