date,text
"2021-01-28","Водолеям лучше не  поддаваться обольщению обольщений  обольщений  обольщений,  ибо соблазн велик. Звезды рекомендуют  вам  избегать  встреч с  людьми,  которые  ведут себя как  животные. Лучше не  поддаваться обольщению обольщений, ибо соблазн велик.  Вы можете встретить  на своем пути людей с острыми  усиками, похожими на змеиное жало. Они будут рады вас укусить.  Вы можете столкнуться с настоящим крокодилом, размером с собаку. Не стоит обольщаться и пытаться изменить свою кожу.  Лучше всего заняться самоанализом и перестать беспокоиться о том, что происходит вокруг."
"2021-01-29","Сегодня у вас могут родиться дети, которых вы захотите назвать идиотами. Если это произойдет, вы сможете доказать миру, что умеете читать мысли животных. Если вы обнаружите, что ваши мысли подобны мухам, то вам придется смириться с этим."
"2021-01-30","Вы можете встретить на пути людей с необычными глазами и ушами, но они будут вас избегать. Не стоит удивляться, если вы встретите на пути зомби. Сегодня вы можете встретить зомби-призрака.  Он будет вас кусать и царапать, но не будет вас бить. Вы можете встретить молодого кота или собаку с грязными глазами.  Вы можете встретить молодого волка с грязными зубами и длинными волосами"
"2021-01-31","Сегодня у вас может проснуться  совесть. Возможны небольшие недоразумения с начальством.  Вы можете  стать  начальником поезда  или  на  худой конец  трактора.  Не бойтесь  бить людей  или  бить их  ногами. Не бойтесь  ходить по полу босиком, чувствуя, как грязь стекает по позвоночнику. Вы должны быть в форме. Вы можете встретить женщину с длинными волосами, которая может укусить вас за ногу, если вы прикоснетесь к ней рукой."
"2021-02-01","В этот день вам следует избегать  прямых солнечных лучей и  резких перепадов температур.  Лучше всего лежать на полу и держать голову между двумя стульями.  Вы можете столкнуться с неприятностями в виде  укуса клеща или укуса комара. В это время рекомендуется  спать в сарае, а днем – на полу.  Если вы встретите кого-то в костюме обезьяны, немедленно звоните в колокольчик. Если вам встретится волк, немедленно звоните в колокольчик."
"2021-02-02","Сегодня Водолеи рискуют  оказаться на перепутье, из которого не возвращаются.  Они  не знают, что делать с  собой, но интуитивно  интуитивно  чувствуют, что  они делают. И  это правильно.  Это дает им силы.  Они  могут использовать  все возможности, чтобы выйти  на улицу и попробовать себя в роли бродячего художника, путешествующего по разным уголкам мира.  Они могут играть в самых разных формах, но в основном они делают это сами."
"2021-02-03","Вы можете встретить человека, который будет говорить с вами как с собакой. Вы можете встретиться с женщиной, которая будет говорить вам: «Сука, я же собака, я же человек».  Если вы встретите его, помните, что вы не собака, вы человек. Вы просто маленькая собачка. Вы не можете быть собакой, не сделав этого."
"2021-02-04","Сегодня звезды советуют вам не пить уксус, потому что он может причинить вам вред. Вы можете быть подвержены нападению паразитов и других насекомых. Вы также можете встретить людей с необычными ушами, которые захотят разорвать вам горло."
"2021-02-05","В этот день вы можете быть подвержены нападению разъяренных и разъяренных псов. Звезды советуют вам взять напрокат велосипед и поехать в горы. Не бойтесь быть раздавленным огромным комом навоза. Вечером рекомендуется посетить кладбище, где похоронены ваши близкие."
"2021-02-06","Не бойтесь ходить по улицам в компании с зомби. Сегодня вы должны быть готовы встретить старость и нищету, и вы должны выглядеть молодым.  Не бойтесь упасть в лужу. Не бойтесь темноты и пауков.  Не бойтесь воды и навоза. Не бойтесь темноты и пауков. Не бойтесь воды и навоза. Не бойтесь воды и навоза. Не бойтесь темноты и пауков.  Не бойтесь воды и навоза. Не бойтесь темноты и пауков. Не бойтесь воды и навоза. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауков. Не бойтесь пауко"
