date,text
"2021-01-27","Звезды советуют вам не ссориться с собаками, особенно с собаками. Если вам нужно купить новое платье для своей новой госпожи, не стоит идти на поводу у Сатаны."
"2021-01-28","В этот день вы можете столкнуться с проблемой, связанной с коробками для обуви и стиральными комодами.  Не стоит беспокоиться, если в них окажется что-то мокрое. Сегодня вам не следует использовать магию против комаров. Не бойтесь того, кто ходит с грязными волосами. Вы можете столкнуться с проблемой, связанной с коробками для обуви и стиральными комодами. Сегодня вам следует избегать контактов с людьми, которые пытаются вас обмануть"
"2021-01-29","Сегодня вы можете столкнуться с проблемой, связанной, например, с коробками для овощей или с коробками для колбас.  Не стоит расстраиваться из-за ерунды – сегодня вы можете столкнуться со своей обычной проблемой – с коробкой для овощей и коробкой для колбас. Не бойтесь идти по улице и кричать на людей, особенно на детей."
"2021-01-30","Сегодня Овнам лучше не вступать в борьбу с  демонами, потому что демоны  могут причинить им вред. В этом случае вы должны быть готовы к бою с ними, как к битве с тиграми. Бойтесь укусить себя в пах – это опасно"
"2021-01-31","Сегодня звезды советуют Овнам  не ссориться и  не ссориться. Если вы видите во сне  кого-то, кого вы не можете назвать своим другом, постарайтесь выяснить, кто этот человек и почему. Если вам не понравился сосед, попробуйте найти нового соседа. Не забывайте следить за тем, чтобы ваши зубы были на месте.  Не бойтесь рожать.  Если вы видите на улице собаку, постарайтесь успокоить ее.  Если вам приснится крокодил, не бойтесь его укусить."
"2021-02-01","В течение дня вам следует избегать контактов с людьми из вашего гороскопа, так как это может привести к появлению у них лишнего жира. Не рекомендуется заниматься самоистязанием. Не ешьте слишком много специй, они могут вызвать аллергию."
"2021-02-02","Сегодня вы можете быть подвержены нападению со стороны диких гусей или диких коз. Будьте осторожны: в этот день возможны проблемы с образованием азота, и вам нужно быть начеку. Сегодня вам может угрожать попадание вашей души в водоворот мусорной корзины. Будьте осторожны и не позволяйте своему уму играть с вами. Не забывайте о змеях. Сегодня вы будете окружены молодыми девушками, которые помогут вам переодеться. Вы также можете встретить двух старых крокодилов, которые помогут вам переодеться в одежду, похожую на вашу прежнюю."
"2021-02-03","Сегодня звезды советуют Овнам воздержаться от участия в  битве  за урожай кукурузы. В первой половине дня  желательно избегать контактов с  людьми из других племен.  В течение этого дня  не следует вступать в сексуальные отношения с  людьми из другого народа. Во второй половине дня не следует вступать в сексуальные отношения с кем-нибудь из местных жителей."
"2021-02-04","Сегодня вы можете стать свидетелем того, что ваш ум работает на полную мощность. Вам не нужно бояться, что ваши глаза взорвутся. Вы можете использовать свои глаза, чтобы читать чужие мысли. Если вы обнаружите, что ваши руки грязны и вам холодно, немедленно свяжите себя с дьяволом."
"2021-02-05","В этот день вы можете стать начальником поезда или верблюда. Вы можете быть заняты какими-то делами, например, пытаться решить сложные проблемы.  Сегодня вам лучше не рисковать, потому что вы можете стать старым дураком. Вы можете стать старым дураком, потому что ваши волосы потемнеют и вам придется ходить по земле босиком."
"2021-02-06","Сегодня Овнам лучше избегать конфликтов, особенно из-за женщин с длинными волосами. Если у вас есть проблемы с образованием азота, не бойтесь поговорить со своим начальником. Сегодня вам не стоит планировать на сегодня  ничего подобного.  Вы можете быть атакованы разъяренной толпой разгневанных крестьян"
"2021-02-07","Сегодня вы можете быть атакованы насекомыми, которые кусают ваше тело и кусают ваше горло. Возможны проблемы со спинами и суставами, поэтому не стоит расстраиваться.  Сегодня звезды советуют Овнам не тратить время на ерунду. Лучше заняться чем-нибудь другим – например, посетить парикмахерскую, где работают настоящие мастурбаторы"
"2021-02-08","В этот день вы можете встретить двух интересных и не очень людей с длинными черными волосами и длинными грязными руками. Вы можете столкнуться с проблемами с образованием азота, а также с образованием азота в кишечнике. Вы можете столкнуться с проблемами с образованием азота в желудке, из-за чего ваш желудок может начать кровоточить и из-за чего вы можете заболеть."
"2021-02-09","Сегодня Овнам лучше  не  бояться  крокодилов и прочей мерзости, так как это  дает шанс  на  победу над ними. Не стоит удивляться, если к вам придет Христос и скажет: «Скорый!»  Это позволит вам сохранить свое достоинство.  Вы можете стать начальником поезда"
"2021-02-10","Сегодня вы должны быть готовы к тому, что вас будут таскать за волосы. Не бойтесь быть укушенным мухой. Вы можете быть пойманы в пьяной драке или быть высосана из луж. Не бойтесь того, кого укусит пчела. Вы можете встретить молодого кота, который будет вас щипать. Если вы встретите молодого кота, он будет вас ласкать. Вечером вы можете встретиться с большим крокодилом. Этот день благоприятен для работы на бойнях."
"2021-02-11","Сегодня звезды советуют Овнам не торопиться с выбором оружия, поскольку это не обязательно ядерное оружие. Звезды советуют вам не спешить с суждениями и суждениями."
"2021-02-12","Сегодня звезды советуют Овнам не спешить с суждениями о размерах полового органа. Звезды советуют вам не спешить с выводами о размерах полового органа. Это может привести к тому, что вы не сможете понять причину происходящего. Вы можете быть поражены появлением на свет ребенка"
"2021-02-13","Сегодня вам не следует делать слишком резких движений, чтобы не вспотеть. Если вы хотите быть старым, вам следует носить длинный узкий нос. Сегодня вы можете встретить молодого человека с грязными зубами, который попытается залезть вам в штаны. Будьте осторожны: он может укусить вас за ногу. Не бойтесь быть старым и тупым. Сегодня вас ожидает бурная ночь с большим белым котом, который будет пытаться залезть вам в штаны."
"2021-02-14","Сегодня звезды советуют вам не тратить время ни на что, что не по душе.  Звезды советуют вам не спешить с суждениями, поскольку они могут иметь неприятные последствия.  Если вам нужно поговорить с кем-то, не спешите с суждениями. Если вы хотите быть любимым, не спешите с суждениями."
"2021-02-15","В этот день звезды рекомендуют Овнам активно участвовать в жизни общества. Звезды рекомендуют вам  избегать публичных выступлений, особенно в узком кругу людей. В случае опасности следует  спрятаться за ближайшего клоуна и ждать, когда на вас нападут.  Звезды советуют вам  держаться подальше от собак и кошек.  Не бойтесь быть собакой в зоопарке."
"2021-02-16","Сегодня вам лучше заняться самоадвокацией, например, пойти в бар и напиться, но ни в коем случае не бросаться в драку. Не надо пытаться изменить мир, не надо пытаться сломать себе шею, не надо кричать «ура», не надо плакать, не надо пытаться сломать себе нос или что-то в этом роде. Не стоит пытаться сломать себя – это может повредить сердцу."
"2021-02-17","Сегодня вам не стоит беспокоиться о том, что случится завтра. Если вы хотите выглядеть хорошо сегодня, попробуйте надеть короткое платье из ткани, похожей на кожу вашего кота. Сегодня вам лучше избегать контактов с внешним миром. Вы можете столкнуться с проблемой, связанной с отсутствием кислорода в помещении, и вам придется идти на корм козлам."
"2021-02-18","Сегодня вам лучше избегать публичных выступлений, так как ваши слова могут быть расценены как призыв к свержению существующего строя и полному непониманию реальности.  Звезды рекомендуют вам не тратить деньги на ерунду и не заниматься сексом с кем-то другим.  Вы можете быть подвержены нападению со стороны диких гусей, которые могут причинить вам вред."
"2021-02-19","Сегодня звезды советуют Овнам избегать  секса с  мужчинами, потому что  в этом случае они  станут агрессивными.  А вот женщины – нет. Они просто не в состоянии этого сделать.  В любом случае, помните: секс с ними – это очень больно.  Это не для вас."
"2021-02-20","В течение этого дня вы будете находиться под влиянием двух мощных стихий: холодной и горячей.  В ваших мыслях может появиться соблазн укусить вас или задеть вас за руку. Вы можете использовать это время, чтобы начать собирать грибы или заниматься сексом с женщиной. Не бойтесь, что вас укусит медведь или собака."
"2021-02-21","Сегодня вы можете встретить на дороге двух чудовищ. Вы можете встретить двух уродов с длинными носами, которые будут кидать в вас камни. Не позволяйте Луне быть в вашем кармане."
"2021-02-22","Сегодня вы можете столкнуться с проблемой, связанной с тем, что ваши волосы будут расти на уровне головы, поэтому не стоит удивляться, если вы станете похожи на обезьяну. Не бойтесь экспериментов. Если вы хотите узнать больше о свиньях, следует купить книгу о свиньях, которую можно найти в интернете. Не бойтесь экспериментов.  Сегодня вы можете столкнуться с ситуацией, когда вам придется прыгать с дерева на дерево."
"2021-02-23","Сегодня Овнам лучше быть в  тонусе, а не валяться в болоте.  Поэтому, если  вы  хотите  жить в гармонии, лучше  лечь спать в канаву.  Это  позволит  вам  избежать  травм  во сне."
"2021-02-24","Сегодня звезды советуют вам быть осторожными с  собаками.  Они могут  вас  поджечь. Но вы не беспокойтесь, они не станут вас есть.  Они просто подождут, пока вы немного отдохнете."
"2021-02-25","Звезды советуют не использовать бритву во время оральных ласк, потому что это может привести к тяжелым осложнениям, вплоть до разрыва мочевого пузыря. Звезды советуют избегать употребления чеснока, потому что чеснок, в свою очередь, может повредить вашим соски."
"2021-02-26","Сегодня вы можете оказаться в ловушке, в которую угодили ваши внутренние демоны, а ваши снаружи – в опасности. Не бойтесь того, кто вас окружает. Сегодня вам предстоит испытать боль, боль, боль… И так далее. День идеально подходит для того, чтобы начать курить, пить, драться и так далее.  Если вы чувствуете страх и боль в теле, попробуйте встать и пойти в туалет, а затем лечь и ждать, пока боль исчезнет. Если вы чувствуете страх, попробуйте встать и пройтись босиком по траве."
"2021-02-27","Сегодня звезды советуют вам не тратить силы на ерунду и заняться любимым делом — например, научиться плести паутину вокруг пальца. Звезды советуют вам не использовать в качестве оружия ядовитую бритву. Вы можете быть пойманы в пьяной драке или быть ограблены. Не позволяйте злым силам овладеть вами."
"2021-02-28","Звезды советуют вам не тратить время на ерунду, лучше заняться своими делами, например, научиться плести заговоренные заклинания. Не следует ссориться с соседями, поскольку они могут обвинить вас в том, что вы делаете что-то не так. Вы должны помнить о том, что вы не просто обезьяна, вы еще и человек!"
"2021-03-01","В начале вечера звезды советуют вам не ссориться с  овцами и не бить людей головой. Если вам повезет, вы найдете в себе силы встать и пойти на бой в горах.  Звезды советуют вам не ссориться с овцами и не бить людей головой.  Звезды советуют вам не ссориться с людьми, потому что это очень болезненно.  Звезды советуют вам не ссориться с людьми, потому что это очень болезненно."
"2021-03-02","Сегодня звезды советуют вам не тратить время на ерунду. Если вы не в ладу с собой, вы просто не умеете вовремя остановиться. Вы не сможете справиться с ситуацией, если будете плохо себя вести. Звезды рекомендуют не есть на людях, не пить алкоголь, не курить и не заниматься саморазрушением."
"2021-03-03","Звезды советуют вам сегодня заняться сексом с медведем. Звезды рекомендуют вам сегодня заняться сексом с медведем. Вы можете использовать свой рот для того, чтобы орать на людей в лесу."
"2021-03-04","Сегодня Овнам предстоит  совершить революцию в области секса с  использованием самых неожиданных способов и средств.  В этой связи  важно помнить, что  секс — это не только физическое наслаждение, но и психическое напряжение, которое может вызвать у вас боль в животе.  Вы можете стать раздражительным, злым, расстроенным и даже агрессивным.  Вам следует избегать контакта с людьми, особенно из-за их агрессивности."
"2021-03-05","В этот день вам лучше избегать секса с собаками. Не рекомендуется заниматься сексом с ними в лифте. Не бойтесь рожать детей. Не бойтесь бить слуг. Не бойтесь бить людей. Не бойтесь рожать детей. Не бойтесь бить людей. Не бойтесь рожать детей. Не бойтесь рожать детей."
"2021-03-06","Сегодня Овнам лучше отказаться от  всего  того, что  они привыкли  видеть во сне, — от  одежды, сна и сна.  Сегодня звезды советуют  вам использовать в качестве источника вдохновения не только сны, но и образы из сна."
"2021-03-07","Сегодня звезды советуют вам  носить длинные усы. Сегодня у вас могут родиться дети, которых вы захотите назвать идиотами. Звезды рекомендуют вам не  носить длинные усы, потому что это вызовет у вас чувство страха.  Лучше носить усы в виде змеи, которая будет пожирать вас изнутри.  Если у вас есть проблемы с языком, вы можете начать есть сырое мясо и пить молоко."
