date,text
"2021-01-27","Не стоит тратить время на глупцов. Не надо думать о том, что будет с вашим лицом в ближайшие дни. Сегодня вы можете встретить молодого казака, который расскажет вам много интересного о жизни в России. Вы можете встретить молодого адвоката с ведром холодной воды в руках и маленького клоуна, который будет рассказывать вам сказки. Звезды говорят, что вы можете встретить медведя, который поможет вам разобраться в ваших чувствах"
"2021-01-28","Сегодня звезды рекомендуют Ракам активно использовать  в работе  магию  сновидений и  гашиша. Не рекомендуется использовать  алкоголь в качестве  стимулятора.  Вы можете  обнаружить  в себе склонность  к  садистским фантазиям.  Не бойтесь  укусить себя в пах."
"2021-01-29","Сегодня звезды советуют Ракам не  бояться быть раздавленными гигантскими комами грязи и  пыли.  Звезды советуют  вам не  бояться упасть с лошади, потому что это  самый опасный способ самоубийства.  Звезды советуют вам не  бояться быть раздавленным гигантскими комами грязи и  пыли.  Звезды советуют вам  не  бояться быть раздавленным гигантскими комами пыли и  пыли."
"2021-01-30","Сегодня звезды советуют Ракам не рваться и не биться головой о стену – это будет мешать вам достичь успеха. Если у вас появятся какие-либо идеи, связанные с сексом с медведем, смело звоните ему.  Если вы обнаружите, что у вас нет ни единой мысли, связанной со сном в этот день, немедленно свяжите себя с Медведем."
"2021-01-31","В этот день вам лучше не выходить из своего дома, так как это опасно. Если вам придется идти на свидание с волком, не забывайте следить за направлением его глаз, так как он может укусить вас за ногу. Сегодня у вас есть все шансы стать президентом Соединенных Штатов. Не бойтесь быть плохим мальчиком или дурнем."
"2021-02-01","Сегодня вам следует быть особенно внимательным к  своему животу.  Не стоит использовать в качестве оружия даже палку с узким горлом. Не следует делать резких движений, если вы видите, что кто-то пытается залезть вам в штаны. Не следует использовать нож в качестве оружия для самоистязания. Вы можете встретить человека, который попытается залезть вам в штаны, если вы посмотрите вниз на него.  Это может быть очень опасно, особенно, если вы смотрите на него как на ненормального.  Если вы встретите молодого человека в костюме бабочки, постарайтесь выяснить, что с ним происходит.  Если вы встретите молодого человека в костюме обезьяны, постарайтесь выяснить, что с ним происходит."
"2021-02-02","Сегодня вы должны быть в хорошей форме. Если вы будете прыгать с пятого этажа на четвертый, то обязательно столкнетесь с крокодилом, который попытается перепрыгнуть через вас. Не бойтесь упасть с высокой колокольни, это поможет вам восстановиться в физическом облике. Вечером можно увидеть, как крокодил перепрыгивает через стол. Не бойтесь упасть с лестницы, это поможет вам в духовном плане."
"2021-02-03","Сегодня Ракам лучше не заниматься самобичеванием. В этот день лучше не заниматься самоанализом и не пытаться изменить мир, пока не встретите достойного преемника.  Не следует делать резких движений и кричать на кого-то или что-то. Не следует думать о плохом."
"2021-02-04","Сегодня звезды советуют Ракам  быть в  тени, чтобы не быть замеченными  и не  быть забытыми. В это время  опасно  играть с  демонами и  змеями, так как они могут причинить вам вред.  В этот день вам лучше  не выходить из своего шатра, поскольку там  может находиться демонический гусь.  Вы можете встретиться с  настоящим крокодилом, который может укусить вас за ногу.  Вы также можете встретиться с настоящим волком, который может укусить вас за ногу. Вы также можете встретиться с настоящим орлом, который может укусить вас за руку. Не бойтесь быть раздавленным змеями, которые вас кусают.  Вы можете встретиться с настоящим крокодилом, который может укусить вас за ногу.  Не бойтесь того, кто кусает вас за ногу."
"2021-02-05","Сегодня вам лучше не ссориться с начальством и не пытаться сделать что-то глупое, чтобы вас не прострелили. Если вы не хотите ссориться с начальством, вы можете попробовать сломать себе вены. Вы можете стать старым и грязным. Вы можете стать красивым. Вы можете стать старым и грязным. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быть злым. Вы можете быт"
"2021-02-06","Сегодня вам следует избегать мест, где происходят бои кубинской революции и революции в России. Звезды рекомендуют вам не носить длинные усы. Во второй половине дня рекомендуется носить галстук-бабочку. Не ешьте слишком много специй. Вечером рекомендуется выпить стакан водки."
"2021-02-07","В течение дня старайтесь не есть слишком много, так как это может вызвать проблемы с психикой. Не ешьте слишком много, так как это может вызвать проблемы с психикой. Не ешьте слишком много, так как это может вызвать проблемы с психикой.  Не пейте слишком много, так как это может вызвать проблемы с психикой. Не ешьте слишком много, так как это может вызвать проблемы с психикой."
"2021-02-08","Сегодня вам лучше не заниматься саморазрушением, потому что вы можете потерять интерес ко всему живому.  Сегодня вам лучше отложить яйца и выбросить их в мусорное ведро.  Это поможет вам избежать депрессии и беспокойства."
"2021-02-09","Звезды рекомендуют вам не тратить время на изучение кошачьих гороскопов и не беспокоиться о последствиях. Если вы обнаружили на теле кошку, срочно отправьте ее в ближайший зоопарк.  Не бойтесь того человека, который ходит вокруг вас и называет вас идиотом.  Если вы видите во сне кошку, немедленно звоните ей."
"2021-02-10","Сегодня звезды советуют Ракам  быть  подальше от людей и поменьше ссориться с ними.  Это позволит  вам  избежать травм мозга.  Не бойтесь, что в этот день вам придется  ходить по лужам. Не бойтесь  укусить себя.  Если вам предстоит встреча с инопланетянами, не бойтесь укусить себя."
"2021-02-11","Сегодня Ракам стоит отложить  уход в  прошлое и заняться  чем-то другим, например, научиться  танцевать. В этом вам поможет  тантрический гусь, который, как вы думаете, будет танцевать  вокруг вашего стола.  Сегодня вам следует избегать  женщин с острыми  угрями и  морщинками на коже.  Сегодня вам следует избегать женщин с большими угрями на щеках."
"2021-02-12","Не бойтесь упасть в лужу. Не бойтесь быть раздавленным и раздавленным. Не бойтесь быть укушенным. Не бойтесь быть разорванным. Не бойтесь быть укушенным. Не бойтесь быть разорванным. Не бойтесь быть раздавленным. Не бойтесь быть раздавленным. Не бойтесь быть раздавленным. Не бойтесь быть раздавленным. Не бойтесь быть раздавленным. Не бойтесь быть раздавленным. Не бойтесь быть раздавленным."
"2021-02-13","Сегодня звезды предлагают вам купить автомобиль и  устроить  революцию. Звезды советуют вам взять с собой  на работу мешок картошки, положить в него все свои вещи, и только после этого лечь спать. Вы можете быть пойманы в  том или и другом случае в  сексуальных домогательствах.  В течение дня  вам следует избегать  запаха  мочи. Вы можете столкнуться с сексуальными домогательствами со стороны  животных.  Если у вас есть проблемы с психикой, то  лучше не ходить на работу."
"2021-02-14","Не бойтесь, что ваши ноги будут бегать быстрее. Если вы не видите в зеркале свою задницу, то это потому, что она покрыта толстым слоем жира и она очень сильно растягивается. Если вы видите в зеркале свою задницу, то это потому, что у нее очень сильно развился рак. Если вы чувствуете в себе рвоту, то вам нужно сходить в туалет."
"2021-02-15","Сегодня звезды советуют Ракам не  спешить с суждениями. Сегодня вам лучше отложить  свои  дела на потом.  Звезды рекомендуют вам  не спешить с суждениями и  суждениями."
"2021-02-16","Сегодня вам придется стать свидетелем того, как ваши враги кусают друг друга. Будьте осторожны с языком, он может выпасть из вашего рта. Не позволяйте Луне быть в вашем кармане.  Если вас укусил паук, немедленно выбросьте его в окно. Вы можете встретить на улице кого-то в костюме, у кого есть зубы.  Не бойтесь темноты и пауков."
"2021-02-17","Звезды советуют вам избегать контактов с  змеями и  муравьями, так как они могут причинить вам вред. Звезды советуют вам не использовать для этого магию. Не ешьте в дороге сырые овощи – они могут вызвать рвоту. Вы можете быть поражены появлением большого комара."
"2021-02-18","Сегодня вам лучше избегать конфликтов и ссор. Вы можете столкнуться с проблемами с головой. Вам стоит избегать секса с чужими женами и детьми. Сегодня вам стоит обратить особое внимание на свои зубы. Вы можете обнаружить, что ваши волосы грязны, как у свиньи, и ваши глаза покраснели от пота. Вам следует избегать контактов с людьми. Вы можете встретить в лесу зомби, которые захотят вас съесть."
