date,text
"2021-01-28","Если Козерогам не удастся избежать  встречи с  ЧеГеварой, они  будут вынуждены  уйти с работы. Не стоит расстраиваться:  они найдут  новое блюдо для вашей тарелки.  Это будет очень мило с вашей стороны."
"2021-01-29","Козерогам сегодня не стоит рассчитывать на  поддержку  астрологического сообщества. Возможны небольшие  неприятности, связанные, например, с  потерей  девственности.  Но не стоит обольщаться: ваши проблемы –  всего лишь мелкие  неприятности. Не бойтесь  идти  на поводу у  своих  демонов.  Они  всегда  рады помочь вам.  Если  они  хотят  помочь,  то  им  следует  согласиться на  ваше желание помочь."
"2021-01-30","В этот день возможны проблемы с психикой и с сексуальными отношениями, поэтому постарайтесь не поддаваться гневу и гневу. Не поддавайтесь соблазну и не поддавайтесь соблазну.  Гороскоп советует взять с собой  одеяло и лечь на него лицом.  Если у вас плохое настроение, лучше не выходить на улицу и не смотреть на прохожих.  Если у вас плохое настроение, не выходите на улицу и не смотрите на прохожих."
"2021-01-31","Козерогам сегодня не стоит тратить время на изучение календаря. Не стоит и пытаться его изменить – лучше потратить его на поиски новых интересных времен года."
"2021-02-01","Козерогам сегодня звезды советуют быть внимательнее. Если вы не видите в зеркале свою подругу, попробуйте выяснить, что у нее за ноги. Возможно, вам удастся выяснить, что это за ноги.  Если вы не видите в зеркале свою подругу, попробуйте выяснить, кто перед вами и почему. Если вы не видите в зеркале свою подругу, попробуйте выяснить, что за ноги у нее в ногах."
"2021-02-02","Козерогам сегодня стоит опасаться не только своей тени, но и чужих глаз, которые могут вас обмануть.  Не стоит делать резкие выпады в окно, потому что это может вызвать у вас чувство ревности и обиды."
"2021-02-03","Сегодня вы можете быть в состоянии совершить проступок, например, вы можете влюбиться в старую даму с грязными волосами и в грязных кроссовках, и это будет хорошим знаком. Если вы чувствуете себя плохо, попробуйте сменить позу.  Не бойтесь того дня, когда вас укусит комар.  Не ешьте слишком много, это может вызвать проблемы."
"2021-02-04","В этот день Козерогам лучше не  уходить далеко от дома и  смотреть в будущее сквозь синие стекла своих отражений. Не стоит тратить время на бессмысленные споры о  том, как жить дальше. Сегодня вам следует избегать  публичных выступлений и  выступлений в общественных местах, так как  вы можете  нанести себе вред. Не стоит делать резкие выпады в  сторону, так как это может повредить вам и вызовет дискомфорт"
"2021-02-05","Сегодня у вас есть шанс познакомиться с  женщиной, похожей на вас с юности. Звезды советуют вам не  прыгать через заборы, потому что это может быть опасно.  Если вы встретите женщину, похожей на вас, вы сможете поговорить о  змеях и скорпионах.  В целом, этот день подходит для посещения кладбищ и других мест, где происходят странные вещи.  Не бойтесь ходить по незнакомым улицам, особенно ночью."
"2021-02-06","Не бойтесь идти в туалет. Если вы чувствуете страх, попробуйте встать и закричать на всю улицу.  Если вы чувствуете боль, попробуйте встать и закричать на всю улицу. Если вам холодно, вы можете упасть. Если вы чувствуете страх, попробуйте сесть и посмотреть в окно."
"2021-02-07","Козерогам день принесет удачу в любви и  в делах, а также  в  сексе. Не стоит  увлекаться самобичеванием и  излишней  активностью.  Лучше  не  заниматься саморазрушением.  Не надо  заниматься саморазрушением.  Это просто."
"2021-02-08","Козерогам день принесет  много сюрпризов.  Например,  вы можете стать  президентом  Соединенных Штатов. Это может быть как  шутливая шутка, так и серьезное  испытание, связанное, скорее всего, с сексом.  Не исключено, что вас  будет  бить током  в самый ответственный момент.  Не исключено, что вы будете страдать от  боли, вызванной укусом  в спину"
"2021-02-09","Сегодня у Козерогов есть шанс  вырваться на свободу и  насладиться тишиной и покоем. Возможен  соблазн  изнасиловать  женщину, но  это будет уже другая история.  Сегодня у вас могут появиться сомнения в адекватности ваших действий.  Не бойтесь  идти на поводу у  демонических помыслов.  Не бойтесь  идти на поводу у  бесов и  дьяволов."
"2021-02-10","В этот день вы можете столкнуться со странными существами, похожими на людей. Звезды советуют вам не прыгать с моста и не пытаться залезть в лужу. Вы должны быть осторожны, чтобы не упасть с крыши. Сегодня вы можете столкнуться с неприятными ситуациями, например, с укусом змеи в глаз. Вы также можете столкнуться с проблемами с психикой, например, у вас может развиться болезнь Паркинсона."
"2021-02-11","Козерогам лучше избегать конфликтов, так как  они могут закончиться большими неприятностями, например, потерей девственности. Не следует вмешиваться в дела Козерогов. Возможны небольшие неприятности, например, вы получите в наследство от мертвого деда двух детей."
"2021-02-12","Козерогам день лучше провести в компании  с зомби, так как они очень агрессивны. Звезды советуют вам  не есть сырое мясо – оно может вызвать аллергические реакции.  В целом день благоприятен для укрепления и развития, но не для разрушения. Вы должны следить, чтобы ваши волосы не были выбриты."
"2021-02-13","Сегодня вам следует избегать  отношений с людьми, которые говорят: ""Вы не понимаете, о чем я говорю. Вам следует избегать секса с людьми, которые говорят: ""Нет, вы не понимаете, о чем я говорю. Вам следует избегать секса с людьми, которые говорят: ""Нет, вы не понимаете""."
"2021-02-14","Козерогам сегодня лучше не рваться в бой. Звезды советуют вам не рваться в бой, а принять смерть как неизбежную часть бытия."
"2021-02-15","Сегодня Козероги могут рассчитывать на  то, что  им удастся избежать  неминуемого краха Советского Союза.  Но  это не обязательно произойдет в ближайшие часы.  Могут быть и  другие события…  Например, появление в Грозном нового  президента, или, возможно, появление на свет еще двух детей.  Или появление большого количества пчел, которые будут  петь в вашем саду. Или появление большого количества грибов в вашей корзине"
"2021-02-16","Сегодня Козерогам будет легко.  Если вы хотите достичь успеха, надо стать козлом. Это очень просто. Вы можете стать козлом и превратиться в лошадь.  Если вы не станете Козлецом, вы никогда не добьетесь успеха.  Если вы добьетесь успеха, вы добьетесь успеха и в этом."
"2021-02-17","Сегодня Козерогам не стоит рассчитывать на  то, что  они  будут спорить с самим собой. Не следует  обольщаться.  Это  и есть  та ошибка, которую совершают все цивилизованные люди, пытаясь убедить себя, что все в порядке.  И все будет хорошо."
"2021-02-18","Козерогам сегодня лучше не спешить с вывихнем спины и  перестать бриться. Лучше отложить это дело на потом.  В начале дня вы можете  обнаружить, что стали слишком большими для  себя и перестали быть самим собой.  Вы можете  обнаружить, что стали маленькими для того, чтобы стать большими для того, чтобы быть самим собой"
"2021-02-19","Сегодня Козерогам стоит учесть специфику нашего времени. Возможны небольшие провалы в памяти и серьезные провалы в сознании. Сегодня вы можете столкнуться с настоящим крокодилом, размером с автомобильный бампер. Вам не нужно беспокоиться о том, чтобы засунуть свой нос в рот."
"2021-02-20","В этот день Козерогам лучше  спать в  сарае.  Там  они  найдут  для себя новое звучание.  Но  не исключено, что  оно будет другим.  В этом случае  лучше  лечь в  сарае  и  умереть. Но в любом случае не  больше, чем через месяц после рождения».
<s>️Телец: В этот день рекомендуется  пить уксус из соплей, чтобы снять боль. Если вы хотите избавиться от страха перед змеями, следует  спать в сарае.  Если вы чувствуете сильную тягу к еде, следует  спать в сарае.  Если вы чувствуете сильную тягу к питью вина, следует спать в сарае."
"2021-02-21","Козерогам сегодня лучше не  бояться  крокодилов.  Они  вполне способны  причинить вам вред.  А вот если вы  испугаетесь крокодилов, то вам не избежать  укуса змеи.  Поэтому лучше всего  не  бояться  крокодилов.  Они  вполне способны  причинить вам вред"
"2021-02-22","Козероги сегодня могут рассчитывать на удачу и везение. Если они этого не делают, то ничего не произойдет.  Это счастливый день. Если нет, то ничего не произойдет."
"2021-02-23","Сегодня Козерогам лучше  не заниматься  сексом с кем попало.  Они  просто  запутаются в своих хитросплетениях и запутаются в своих грязных и нелепых домыслах.  А потом, если все будет хорошо, они просто рухнут в свои уютные подземелья и исчезнут в неизвестном направлении"
"2021-02-24","Не стоит расстраиваться из-за ерунды. Не надо ничего говорить Козерогам, если они не понимают, что происходит."
"2021-02-25","Сегодня Козероги могут столкнуться с проблемами, например, с пуговицами и коробками с кокаином. Если это произойдет, они перестанут вас возбуждать.  В случае приступа следует обратиться к врачу-наркоману, чтобы выяснить причину вашего недомогания.  Если вы чувствуете сильную боль в области солнечного сплетения, не следует расстраиваться."
"2021-02-26","Сегодня Козерогам не стоит обольщаться по поводу своих половых партнеров и вступать с ними в борьбу. Не следует обольщаться и по поводу их внешности. Лучше не вступать с ними в борьбу, потому что они несут на себе слишком тяжелый грех».
<s>️Водолей: Сегодня у вас есть прекрасная возможность познакомиться с  женщиной, которая будет кормить вас грудью. Это может показаться странным, но это действительно так. Во второй половине дня  вы можете встретить молодого человека с  голубыми глазами, голубыми глазами и длинными черными волосами, которые будут играть на ваших снах.  Вы можете встретить молодого казака, одетого в кольчугу, и лошадь с опущенной головой.  Будьте осторожны с лошадью."
"2021-02-27","Козерогам сегодня не стоит беспокоиться о своих внутренностях, поскольку они уже умерли. Не стоит беспокоиться о своих внутренностях, поскольку они уже мертвы."
"2021-02-28","Козерогам лучше  не  ссориться с  людьми из-за  ерунды.  Лучше  избегать  контактов с  зомби- призраками.  Они  не будут вас слушаться. Лучше  не  ссориться. Лучше  не ссориться."
"2021-03-01","Сегодня у Козерогов есть шанс стать бессмертным всадником, всадником мечты. Звезды советуют вам не прыгать с колокольни и не бить себя головой в лоб. Звезды советуют вам не делать ничего дурного."
"2021-03-02","Козерогам день не сулит ничего хорошего. Не исключено, что вас будут приглашать в  цирк на представление с дрессированными лошадьми, которые обещают научить танцевать фокстрот.  Возможны  неприятности, связанные, например, с  запахом рыбы.  Не стоит тратить время на ерунду.  Лучше  просто наслаждаться жизнью и наслаждаться музыкой."
"2021-03-03","Козерогам сегодня стоит учесть  тот факт, что  в этот день  они  могут  быть совершенно разными, но в то же время  совершенно разными.  Например, вы можете стать похожи на  собаку или кошку, а можете быть  на человека и того же цвета.  Но это уже ваше дело, решать вам."
"2021-03-04","Не бойтесь упасть в лужу и укусить себя. Не бойтесь, что вас укусят пчелы. Не бойтесь, что ваши зубы разойдутся в стороны, и вы получите синяк под глазом. Не бойтесь, что ваша одежда разорвётся в воздухе."
"2021-03-05","Козероги сегодня могут стать жертвой самых разных козней: от самых нелепых и нелепых до самых чудовищных. Сегодня вы можете оказаться в положении «на крюке» – и ваше тело превратится в желе. Звезды рекомендуют вам не спешить с вывихнем ноги"
"2021-03-06","Козерогам этот день лучше провести  на природе, где их  будут кормить, поить и поить. Не исключено, что вы сможете обнаружить в себе стремление стать попугаем.  Если у вас нет привычки ходить в туалет, попробуйте  сходить в туалет на крыше машины или в сарае на даче."
"2021-03-07","Сегодня Козерогам будет нелегко.  Они будут  рваться в  буквальном смысле слова  из рук  своих  заклятых друзей,  но  рано или поздно все будет  равно. И тогда  начнется новая эра…»"
"2021-03-08","Сегодня вы можете столкнуться с проблемами, например, с коробками для обуви. Возможны небольшие неприятности, связанные, например, с коробками для обуви. В целом день благоприятен для роста волос. Вы сможете научиться шить крючком и иглой, резать и рубить."
"2021-03-09","Козерогам день принесет много неожиданностей.  В первой половине дня вам придется столкнуться с проблемами с  шерстью, которая может прилипнуть к лицу. В это время вам придется  ходить с резиновой палкой в одной руке и с резиновым жетоном во второй. В это время вы можете столкнуться с проблемами с  шерстью и с зубами.  Не бойтесь того, кто вас кусает"
"2021-03-10","Сегодня Козерогам стоит  отказаться от  всего,  что у них  есть, и  оставить все, как есть.  В этом случае они получат то, чего им было нужно.  И это будет самое лучшее их наследство.  Если это произойдет, они будут счастливы.  Но  это уже их проблемы. Главное – сохранить  веру в  Козерогов.  Если это случится, они  будут  счастливы.  Но это уже их проблемы"
"2021-03-11","Сегодня Козерогам не стоит беспокоиться о  своей фигуре:  она вполне  жизнеспособна.  Главное – не поддавайтесь искушению превратиться в кусок льда, как это бывало раньше"
"2021-03-12","Сегодня Козерогам важно научиться вовремя  отступать от  реальности. Не следует  спешить, иначе наступит  момент, когда реальность будет полностью разрушена.  Не стоит тратить время на бессмысленные попытки изменить реальность.  Не следует тратить время на ерунду. Не стоит тратить время на ерунду."
