date,text
"2021-01-27","В этот день звезды советуют вам не  уходить далеко от дома. Возможны небольшие неприятности. Не бойтесь  темноты и сырого мяса.  Вы можете встретить в толпе пьяного студента или молодого казака. Не бойтесь быть раздавленным комом грязи."
"2021-01-28","Сегодня Близнецы склонны к  саморазрушению и самоистязанию. Не стоит тратить время на бесполезные  попытки изменить мир – лучше заняться самоистязанием и самоистязанием.  Это принесет им больше удовольствия, чем сама жизнь."
"2021-01-29","Сегодня Близнецы склонны к  чрезмерной  агрессивности, поэтому они часто  прибегают к  разным  трюкам с  разными жидкостями и  с разными жидкостями, чтобы показать  себя с лучшей стороны.  Это  позволяет  им  выглядеть  как  настоящие  люди».  В заключение этого дня  рекомендуется съесть как можно больше  шоколада.  В первой половине дня вы будете  находиться на открытом воздухе, в  лесу и в горах. Вы можете использовать  зеркало заднего вида и  зеркало заднего вида для того, чтобы видеть свое лицо и волосы."
"2021-01-30","В течение дня Близнецы должны быть осторожны с грызунами и кошками. В течение дня они не должны быть слишком агрессивными. Не следует делать ничего подобного в светлое время суток. Во второй половине дня вам следует избегать контакта с людьми, поскольку это может вызвать у них страх перед змеями."
"2021-01-31","Сегодня звезды советуют Близнецам не  уходить далеко от  дома – они  могут  там  быть. Звезды рекомендуют вам не  уходить далеко от дома – это приведет к  сильному напряжению и  сильному психозу, который  может вызвать болезнь. В начале дня  вам не следует думать о плохом – это может вызвать  депрессию"
"2021-02-01","Сегодня вы можете встретить в лесу двух старых бабушек и двух старых котов. Они помогут вам успокоиться и помогут с домашним хозяйством. Не бойтесь идти на поводу у Сатаны. Сегодня у вас есть шанс на спасение, и вы сможете это сделать."
"2021-02-02","Сегодня звезды советуют Близнецам не спешить со своими решениями. Если вы видите в зеркале отражение своего соседа, не бойтесь, что он вас ударит. Если вы видите в зеркале отражение своего соседа, не бойтесь, что он вас ударит. Если вы видите в зеркале отражение своего соседа, не бойтесь, что он вас ударит. Если в вашей жизни что-то происходит, помните: вы – не просто какой-то там мусор, вы – часть этого мира."
"2021-02-03","Не ждите от жизни чудес и волшебства. Не ждите от жизни чудес и волшебства. Сегодня вы должны научиться  танцевать под дождем, чтобы защитить свою задницу."
"2021-02-04","Сегодня Близнецы могут столкнуться с проблемой, о которой лучше не говорить.  Это может быть проблема с  туалетом, или  с  соседями.  В любом случае, лучше не открывать рот, если вы не знаете языка птиц.  Звезды советуют не обращать внимания на крики и стоны.  Звезды советуют не делать резкие выпады."
"2021-02-05","Сегодня Близнецы не будут  бояться  своих кошмаров.  Они  будут  счастливы в  своем безумии. Они  даже перестанут вопить от ужаса.  И  это будет очень эффектно, потому что  они боятся.  Это будет очень эффектно, потому что  они боятся. Это будет очень эффектно, потому что  они боятся. Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся.  Они боятся.  Они боятся.  Это будет очень эффектно, потому что они боятся.  Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся.  Это будет очень эффектно, потому что они боятся.  Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся.  Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся.  Это будет очень эффектно, потому что они боятся. Это будет очень эффектно, потому что они боятся.  Это будет очень эффектно, потому что они боятся. Это буде"
