date,text
"2020-02-16","Сегодня у вас есть шанс стать бессмертным всадником и принять участие в битве при Чернобыле. Не бойтесь упасть в яму, в которой когда-то была лошадь. Вечером можно сходить в лес за грибами и ягодами."
"2020-02-17","Сегодня вам следует быть особенно внимательны к тому, что вы носите под мышками. Не бойтесь быть раздавленным насекомыми. Не бойтесь влюбиться. Не бойтесь быть укушенным. Не бойтесь упасть в лужу"
"2020-02-18","В первой половине дня вы можете использовать свой рот для того, чтобы кричать «ура». Вы можете использовать свой рот для того, чтобы орать «ура» во время езды на велосипеде. В этот день можно сделать следующее: лечь на пол, закрыть глаза, и ваша голова начнет кружиться. Во второй половине дня вы можете съесть все, что захотите."
"2020-02-19","Сегодня у вас есть возможность заработать много денег, например, вы можете купить себе велосипед или мотоцикл.  Вы можете купить себе новую кожу. Вы можете стать бессмертным всадником, или всадником мечты. Вы можете купить себе лошадь."
"2020-02-20","Сегодня вы можете стать начальником полиции или даже начальником пожарной охраны. Будьте очень аккуратны с пуговицами и галстуками. Не бойтесь быть раздавленным комарами и мошкарой. Не бойтесь быть укушенным крысами. Не бойтесь быть укушенным комарами и мошкарой. Не бойтесь быть укушенным крысами."
"2020-02-21","Сегодня звезды советуют вам  не  бояться  крокодилов и кошек.  Если у вас есть возможность,  попробуйте  прогуляться по кладбищу с черным черепом в руке.  Это поможет вам избежать  травм и связанных с этим проблем.  Вы можете встретить кого-то вроде Че Гевары, который будет рад вас ущипнуть за задницу."
"2020-02-22","Сегодня вы можете стать начальником полиции, и вам будет дана власть принимать меры против тех, кого вы недавно взяли под стражу.  Если вы обнаружите, что ваши руки испачканы в грязи, немедленно позовите полицию. Если вы обнаружите, что ваши волосы грязны и у вас есть зубы, немедленно позовите полицию. Если у вас есть какие-либо проблемы, немедленно позовите полицию."
"2020-02-23","Сегодня вам следует избегать чрезмерной  жестокости, поскольку  вы не знаете, как правильно себя вести с людьми, особенно с женщинами. В то же время следует избегать  чрезмерного насилия и жестокости, поскольку  вы не знаете, как правильно себя вести с людьми."
"2020-02-24","Если вы хотите научиться танцевать фокстрот, попробуйте встать на цыпочки. Возможно, вам придется встать со стула и пройтись по полу босиком. Не бойтесь делать резкие движения руками, чтобы не вспотеть. Не бойтесь упасть. Не бойтесь того дня, когда вы станете большим ребенком."
"2020-02-25","вам стоит помнить о важности гигиены и не есть слишком много. Возможно, вам придется отменить визит в Москву из-за высокой температуры. Сегодня вы должны быть осторожны с грызунами, поскольку это может привести к сильному истощению организма. Вечером можно встретить белого гуся, который попытается украсть ваше сердце"
"2020-02-26","вам не следует забывать, что вы можете стать жертвой заговора темных сил, действующих в вашем сердце. Возможно, придется пожертвовать всем: одеждой, обувью, всем необходимым, чтобы переодеться шофером троллейбуса, но, если вы этого захотите, вы можете сделать это сами."
"2020-02-27","Сегодня вы можете стать начальником поезда или телеги, но не ждите от судьбы подарков. Вы можете превратиться в гигантского паука или в гигантского кузнечика, но не в лошадь."
"2020-02-28","В этот день у вас может возникнуть искушение укусить кого-нибудь за волосы или за шею.  Не исключено, что вы станете невменяемым. Не стоит поддаваться гневу. Сегодня вы можете спокойно лечь спать в своем углу и проспать до вечера."
"2020-02-29","вам лучше отложить  свои дела и заняться чем-то другим.  Например, заняться сексом с  женщиной из далекой деревни.  Если вы видите женщину в нижнем белье, то не следует сразу же ее  принимать всерьез, иначе вы рискуете потерять интерес к жизни."
"2020-03-01","вам стоит отложить  все дела и  лечь спать пораньше, чтобы успеть на завтрак, который будет состоять из  каши с мясом и  изюмом, а также из картофеля и кукурузы. Не стоит делать из мухи слона.  Не следует  прыгать через заборы, не стоит бить посуду.  Если вам холодно или у вас нет настроения, можно сходить в лес за грибами."
"2020-03-02","Сегодня вам лучше избегать  публичных выступлений и  выступлений с критикой властей и  демонстрировать только свои гениталии.  В этом случае вы можете рассчитывать на  защиту от  злых духов.  Не следует участвовать в уличных боях и  скачках на крыше.  Вы можете стать жертвой  заговора против духов.  Не стоит участвовать в уличных боях"
