date,text
"2021-01-27","Сегодня вы можете оказаться в положении  животного, которого вы держите на поводке. Вы можете быть пойманы в  грязных и грязных махинациях, в том числе  в махинациях по  продаже наркотиков и проституции, и  в самых отвратительных проявлениях жестокости. Вы должны помнить о том, что ваши действия должны вести к уменьшению количества жертв и исчезновению бедности. Вы можете столкнуться с проблемами, например с сексуальными скандалами, связанными с  сексом с животными."
"2021-01-28","Звезды советуют вам не  слишком активно использовать алкоголь в качестве источника энергии. Не стоит тратить время на бессмысленные споры с зомби.  Сегодня вам следует  избегать запаха мочи и  кала.  Звезды рекомендуют вам не  слишком активно использовать алкоголь в качестве источника энергии."
"2021-01-29","Сегодня вы можете использовать любую возможность, чтобы убежать от реальности. Вы можете использовать любую возможность, чтобы убежать от реальности, и, если хотите, прыгнуть в нее. Вы можете использовать любую возможность, чтобы убежать от реальности, и, если хотите, прыгнуть в нее.  Вы можете использовать любую возможность, чтобы убежать от реальности. Вы можете использовать любую возможность, чтобы убежать от себя."
"2021-01-30","Сегодня вам следует избегать мест, где происходят бои кубинской революции. Не рекомендуется ходить на вечеринки, слушать музыку, есть много пыли, смотреть порно. Звезды рекомендуют избегать мест, где происходят бои кубинской революции"
"2021-01-31","Сегодня Львам не стоит терять время, поскольку их ждет новая  эра.  Они уже достигли ее.  И это  самое лучшее время, чтобы  начать  готовиться к ней.  Это  лучшее  время, чтобы  начать  готовиться  к ней."
"2021-02-01","Сегодня звезды советуют Львам не использовать в бою с нежитью ни палки, ни ножа, ни ведра с мылом. Не стоит тратить время на попытки сломать себе шею. Не надо пытаться сломать себе шею, если вы этого не хотите. Не надо пытаться сломать себе шею, если это не нужно."
"2021-02-02","Если вы сегодня не встретите свою кошку, вам придется идти в ванную комнату. Не бойтесь упасть и сломать ногу. Вы можете быть подвержены нападению зомби. Если вам попадется кошка с длинными черными волосами, вы сможете убежать с ней в лес."
"2021-02-03","Сегодня вам лучше не уходить далеко от дома. Вы можете быть пойманы в водевиле или в драке с кем-то, кто не похож на вас.  Не бойтесь темноты, помните, что вы не одиноки в этом мире и вам не надо идти по джунглям."
"2021-02-04","Сегодня вы должны быть осторожны с  теми, кто пахнет  собаками и  детьми, и  особенно с теми, кто пахнет сигаретами.  Будьте осторожны и с собаками. Не позволяйте мусору  проникать в ваше жилище.  Если вы чувствуете запах  пота, то не ешьте ничего, что пахнет собаками.  Если вы чувствуете запах чеснока, то не ешьте ничего, что пахнет собаками.  Если вы чувствуете запах чеснока, то не пейте ничего, что пахнет собаками.  Если вы чувствуете запах чеснока, то не пейте ничего, что пахнет собаками. Не ешьте ничего, что пахнет собаками. Не ешьте ничего, что пахнет собаками. Не ешьте ничего, что пахнет собаками. Не пейте ничего, что пахнет собаками."
"2021-02-05","Сегодня вы можете оказаться в ловушке или быть укушенным пауком. Вы можете быть выброшены из поезда, или быть выброшена в окно. Звезды советуют вам не пить уксус. Вы должны помнить о том, что вы находитесь в опасности и что вам нужно быть готовым к этому. Сегодня вы можете быть выброшены из поезда, или быть выброшены в окно. Вы можете быть выброшены из окна."
"2021-02-06","Звезды советуют вам сегодня не  есть мертвых крыс, потому что это не по-китайски. Вы можете встретить в лесу зомби, а можете и нет. Вы можете встретить в пустыне пьяного доктора, который расскажет вам много интересного о змеях и скорпионах. Вы можете встретить в лесу старого осла, который расскажет вам много интересного о змеях и скорпионах. Вы можете встретить в лесу молодого кузнеца, который расскажет вам много интересного о змеях и скорпионах. Вы можете встретить в лесу молодого кузнечика"
"2021-02-07","В начале вечера звезды советуют Львам не пить алкоголь из бутылок. В этот день рекомендуется спать в ванне, так как ваши гениталии могут потерять свою упругость из-за того, что ванна слишком большая. В течение дня вам следует следить за своими сосками и ногтями, а также за своей головой. Не бойтесь упасть в обморок."
"2021-02-08","Сегодня вам следует избегать мест, где происходят бои кубинской революции. Вы можете встретить на улице людей с грязными повязками и у некоторых из них на одежде будут пятна крови и сажи. Сегодня не стоит ждать чудес от погоды или инопланетных собратьев."
"2021-02-09","Сегодня звезды советуют вам не спешить с выводами, так как это может привести к  появлению большого количества камней в  вашей голове, и вам придется отложить  уход в астрал, чтобы восстановить душевное равновесие.  Если вы не можете справиться с ситуацией самостоятельно, попробуйте обратиться за помощью к астрологам.  Они подскажут вам верное направление вашей деятельности."
"2021-02-10","Сегодня звезды советуют Львам не  спешить со  своими решениями и  принимать  их  всерьез. Звезды советуют Львам  не спешить со своими решениями и  принимать их всерьез. Они  сами  найдут выход из  этой ситуации.  Если они  не успеют вовремя остановиться, то  их постигнет та же судьба, что и всех остальных."
"2021-02-11","Если вы видите на дороге собаку, не спешите с вывихнем ноги. Не пытайтесь перепрыгнуть через нее. Не бойтесь того, кто сидит у вас в ногах. Не пытайтесь сделать что-то глупое или опасное. Не пытайтесь перепрыгнуть через человека. Не пытайтесь сломать себе шею."
"2021-02-12","Сегодня звезды советуют Львам  быть  в  тени. Если в тени появится змея,  немедленно бегите в  лес, чтобы поймать ее. Не ешьте в лесу грибы, потому что они  ядовиты. Вы можете стать жертвой  галлюцинаций.  Вы можете быть укушены мухой, но это не страшно."
