date,text
"2021-01-27","Сегодня звезды советуют Девы избегать контактов с  людьми с необычными  телами. Не стоит тратить время на ерунду, лучше  просто расслабиться и ждать следующего года.  Звезды советуют вам  не тратить время на ерунду. Не стоит тратить время на ерунду"
"2021-01-28","Сегодня звезды советуют Девам не торопиться с выводами и начать действовать. Сегодня звезды советуют Девам действовать в соответствии со своими представлениями о жизни и научиться не обращать внимания на окружающих. Это поможет вам оставаться спокойным и уравновешенным."
"2021-01-29","Сегодня вам лучше не использовать магию для того, чтобы вызвать рвоту. Вы можете быть подвержены нападению со стороны крыс.  Вы можете стать жертвой отравления. Вам следует избегать контакта с людьми, особенно из-за их цвета кожи. Не бойтесь того, кто сидит у вас в голове."
"2021-01-30","Сегодня звезды советуют вам не ссориться с начальством и не бить себя в грудь при появлении посторонних людей. Будьте осторожны, не позволяйте себе  использовать свой язык, особенно при разговоре с начальством. Звезды рекомендуют вам взять на себя смелость  и  прыгнуть с крыши.  Это будет способствовать улучшению отношений с начальством."
"2021-01-31","Сегодня звезды советуют вам не спешить с выводами, потому что вы можете оказаться на волосе от головы змеи. Звезды советуют вам быть осторожными с грызунами и людьми. Звезды советуют не спешить с выводами, потому что вы можете оказаться на волосе от головы змеи.  Если вы не можете остановиться, попробуйте изменить свое лицо."
"2021-02-01","Сегодня вам следует быть внимательнее к собственному организму, иначе вы можете попасть под влияние ядовитых змей, ядовитых жуков и гадов. Возможны небольшие неприятности, такие как поломка машины, опрокидывание машины и тому подобное. Не стоит обольщаться, если вы не будете внимательны к своим внутренностям. Не позволяйте Луне быть в вашем сердце."
"2021-02-02","Сегодня вы можете столкнуться с проблемами, которые заставят вас отказаться от еды и сна. Возможны небольшие неприятности, например, вы будете страдать от обжорства, но не будете ими страдать.  Звезды рекомендуют вам не есть жареную картошку и не пить кофе.  Сегодня вам рекомендуется иметь под рукой длинную палку, на которую надевается деревянный колпак. Это поможет вам избежать травм и связанных с ними страданий."
"2021-02-03","Сегодня вы можете стать начальником поезда или автомобиля. Если у вас плохое настроение, вы можете попытаться поговорить с кондуктором, но это может быть очень опасно.  Если вы чувствуете сильную боль, вы можете попытаться заснуть.  Если вы чувствуете сильную боль, вы можете попытаться заснуть.  Если вы чувствуете сильную боль, вы можете попробовать заснуть.  Если вы чувствуете сильную боль, вы можете попытаться уснуть.  Если вы чувствуете сильную боль, вы можете попробовать заснуть."
"2021-02-04","Вы будете вознаграждены небольшим мешком с рисом, который будет поддерживать вашу спину. Вы будете вознаграждены небольшим количеством золотых рыбок и парой золотых рыбок. Вы можете использовать этот день для работы на кухне.  Вечером рекомендуется посетить цирк."
"2021-02-05","Сегодня вам придется смириться с  присутствием в своей квартире  кота, поскольку он будет вас поить и поить. Если вы хотите продлить этот день, то лучше купить какую-нибудь длинную палку, которая поможет вам сохранить хорошее настроение и хорошее самочувствие.  Если вы видите кота в зеркале, вы можете попытаться его укусить. Если вы видите свинью, вы можете попытаться её укусить."
"2021-02-06","Сегодня Девы будут находиться в очень сложной ситуации и не смогут избежать контакта с  начальством, если им пообещают, что они будут  работать на благо общества.  Это вызовет серьезные проблемы с  психикой и приведет к тому, что они будут постоянно ощущать себя плохо, а потом еще хуже.  Это приведет к тому, что у них будет очень сильная потребность в физической близости с людьми."
"2021-02-07","Сегодня звезды советуют Девам  избегать контактов с  людьми. Если вы хотите сохранить хорошее физическое и психическое состояние, лучше не  использовать алкоголь в качестве антидепрессантов. Не рекомендуется курить в присутствии детей, особенно в темное время суток. Не рекомендуется  есть пищу с запахом рыбы."
"2021-02-08","Сегодня вам стоит обратить внимание на то, что ваш рот слишком короток, чтобы вас перерезать.  Вы можете быть пойманы в  пьяной оргии с  привокзальными попрошайками, или в  оргии с бродягами, или в оргии с бродягами, или в оргии с бродягами, или в оргии с бродягами.  Не бойтесь того дня, когда вы станете старым."
"2021-02-09","В этот день вы можете столкнуться с проблемами со слухом и кожей.  Вы можете столкнуться с проблемами с головой и головой. Возможны небольшие неприятности, связанные с употреблением наркотиков и алкоголя.  Возможны проблемы с психикой."
"2021-02-10","Вы можете обнаружить, что ваши волосы прилипла к коже и вам не нужно ходить по комнате. Сегодня вам не придется беспокоиться о том, чтобы переодеться в платье из белого шелка, как это бывало раньше. Вам не придется ходить по комнате. Вы можете просто лечь на диван и ждать, когда в комнате потеплеет"
"2021-02-11","Сегодня вам не стоит тратить время на поиски грибов.  Они могут оказаться вкуснее, если их правильно накрутить. Сегодня можно использовать любую из трех идей: грибной суп с креветками, грибной суп с креветками и т. д. Если вы решите попробовать грибы, не стоит их есть."
