date,text
"2021-01-28","Сегодня вы будете находиться в центре внимания со стороны Рыб.  Звезды советуют вам не делать резких движений руками, так как это приведет к появлению большого количества пузырьков на коже. Будьте осторожны с грибами. Возможны небольшие неприятности с конским хвостом.  Не ешьте в одиночестве – это может вызвать проблемы с психикой."
"2021-01-29","Сегодня Рыбам лучше не рваться в бой. Сегодня вам лучше отложить поход на Луну и заняться  тем, что вы обычно делаете, когда ходите на работу.  Не забывайте следить за своей челюстью. Не позволяйте стрекотать вашим когтям. Не жуйте слишком много травы и спешите домой."
"2021-01-30","Не исключено, что вы можете стать старым пернатым охотником или рыбаком, если захотите.  В этот день вам может угрожать обыкновенная  морская болезнь или  морская болезнь.  Если вы решите выйти на сушу, не забывайте следить за своим хвостом."
"2021-01-31","Сегодня звезды советуют Рыбам не спешить с выводами – лучше подождать, когда Рыбы сами станут  предсказуемыми и предсказуемыми. Если они обнаружат себя в ближайшие часы, можно будет  объявить войну всему миру"
"2021-02-01","Сегодня вы можете стать начальником поезда или автомобиля, но не сможете контролировать свою шею. Будьте готовы к новым испытаниям. Не бойтесь упасть. Не бойтесь быть убитым в трамвае"
"2021-02-02","Сегодня звезды советуют Рыбам быть осторожными с  рыбами.  Они  не советуют  жрать  мертвых рыб. Они  советуют  жрать  живых. Но Рыбы не знают, что такое мертвая рыбья жизнь."
"2021-02-03","В этот день лучше не рваться на свободу – возможны небольшие неприятности. Возможны небольшие неприятности, например, из-за вас могут выломать дверь. Не бойтесь рожать и рожать одновременно. Звезды советуют вам не спешить на встречу с волком."
"2021-02-04","Не ждите, пока на вас нападут комары.  Сегодня вы должны быть похожи на гигантского краба. Не ждите, пока на вас нападут комары, и не ждите, когда на вас нападут мухи. Сегодня звезды рекомендуют вам не пить из луж, а просто лежать в луже. Сегодня звезды советуют вам не пить из луж, а просто лежать в луже."
"2021-02-05","Сегодня Рыбам не стоит рассчитывать на  удачу и везение.  Они могут  рассчитывать только на собственные силы.  Поэтому, если у вас есть какие-то сомнения относительно судьбы  рыб, не следует  их сразу  принимать за реальность.  Лучше  сразу  выяснить, что за сомнения у вас и чем они вызваны."
"2021-02-06","Сегодня Рыбам лучше  не  поддаваться искушению  и  не  рваться  в  атаку  в поисках  нового идеала.  Лучше  вообще  не рваться  в  атаку,  потому что  это  вызовет у вас чувство безнадежности и  полного неведения. А если и поддаваться, то исключительно из-за собственной никчемности"
"2021-02-07","Сегодня вы должны научиться играть на гитаре и клавесину. Звезды советуют вам не отказываться от  карьеры клоуна и не пытаться играть на гитаре. Сегодня вы можете стать клоуном в цирке или принять участие в празднике смерти. Звезды советуют вам не отказываться от карьеры клоуна и не пытаться играть на гитаре. Сегодня вы можете встретить молодого волка в костюме Деспота. Вы можете встретить молодого казака в костюме Деспота"
"2021-02-08","Сегодня вы можете встретить в своём доме  неуправляемый автомобиль с  полицейскими и  спецназом, а также странного  вида двух  солдат в спецподразделении.  Будьте  очень внимательны и осторожны – это защитит вас от  инопланетян.  Будьте внимательны и осторожны.  Не бойтесь  быть атакованным невидимым врагом.  Вы должны следить, чтобы ваши ноги не сверлились.  Вы должны помнить о том, что вы – не собака. Вы – человек. Вы – собака."
"2021-02-09","В течение дня вы можете встретить  на своем пути  людей, которые будут  пытаться  убедить вас, что вы лучше их.  Но это не лучший вариант. Звезды советуют вам  держаться подальше от  козявок и  навоза.  Они могут причинить вам вред."
"2021-02-10","Звезды советуют вам не  бояться  крокодилов.  Они  не причинят вам вреда.  Не бойтесь. Не бойтесь.  Не бойтесь. Будьте  счастливы.  Будьте счастливы.  Будьте счастливы.  Будьте счастливы.
<s>️Весы: Сегодня звезды рекомендуют Весам  не  спешить со  своими решениями, а  действовать  по обстановке.  В  этом им поможет  сам  Христос-Дева.   И  если  он  придет,  то  вам не придется  ничего  менять: все  останется  прежним. Так что  ничего  страшного нет."
"2021-02-11","В этот день вы можете встретить двух рыб, которые будут играть с вами в шахматы. Если вы встретите их, постарайтесь сделать так, чтобы они вас не заметили. Если вы встретите кого-то из рыб, не трогайте его. Если это произошло, не трогайте его"
"2021-02-12","Сегодня вы можете столкнуться с проблемами в области физики. Звезды советуют вам не спешить с выводами и сделать выводы самостоятельно."
"2021-02-13","Звезды советуют вам не отказываться от своих планов по переселению душ в ближайшие три месяца.  Возможны небольшие провалы в памяти, галлюцинации и внезапное изменение формы черепа.  Постарайтесь не наступать на чужие пятки. Сегодня вам не стоит ждать, пока вас укусит комар. Лучше подождать, когда комар укусит вас сам."
"2021-02-14","Сегодня вы можете встретить молодого кота с лысой головой. Гороскоп советует вам не прыгать через унитаз – он может порваться, и вы потеряете интерес к жизни. Не забывайте дышать, чтобы предотвратить развитие"
"2021-02-15","Сегодня вы можете столкнуться с проблемой, похожей на ту, которая приходит к вам ночью. Не бойтесь, что ваше лицо будет искажено от гнева.  Сегодня вы можете столкнуться с проблемой, похожей на то, что вы недавно проделали с собой. Не забывайте о том, что вы можете использовать свою голову лишь как средство общения с людьми."
"2021-02-16","Сегодня звезды советуют Рыбам не  бояться  крокодилам  крокодила.  Это  дань уважения к  змеям-убийцам, а также к  тем  змеям, которые водятся в других странах.  Это  дань  уважения ко  змеям, которые водятся в России."
"2021-02-17","В начале дня вы можете оказаться на дне водоема, где могут быть выброшены бомбы и выброшенные вами тела. Звезды рекомендуют вам не прыгать через забор, поскольку он может взорваться. Вы можете оказаться на дне реки, или в какой-нибудь пещере, в которой обитают души умерших. Не бойтесь упасть в воду."
"2021-02-18","В первой половине дня вы можете столкнуться с настоящим крокодилом, который будет пытаться залезть вам в штаны. Возможны небольшие неприятности с шерстью на вашей спине, но не смертельные.  Вечером можно встретить белого жирафа, синего краба и усатого волка. Вечером вам нужно будет переодеться в новое платье из красного шелка, чтобы защитить свои ноги от воды. Вечером вы можете встретить гигантского паука, размером со сливу"
"2021-02-19","Сегодня Рыбы не будут  играть в шахматы, зато попытаются играть в нарды. Не исключено, что  это будет интересный этап в развитии отношений с  Сатаной.  Возможно, вам придется стать придворным визирем и принимать визиты послов, а также принимать участие в тайных обществах."
"2021-02-20","Сегодня вы можете столкнуться с проблемой, касающейся вашего носа. Не пытайтесь изменить свой цвет, не пытайтесь сломать себе шею. Не пытайтесь обмануть себя. Сегодня вы можете встретить человека с острыми зубами, который будет бить вас палкой по голове.  Это хорошее время, чтобы начать флирт с кем- то другим.  Вы также можете встретить молодого человека с длинными черными волосами, у которого нет носа. Этот человек будет постоянно теребить ваши волосы и кричать, что он сумасшедший.  Этот молодой человек будет кричать: ""Mein Kampf!"""
"2021-02-21","Не стоит делать резких движений, потому что это может вызвать у вас стресс. Сегодня рекомендуется избегать контактов с людьми с острыми крапинами, потому что это может привести к сильному стрессу. Вечером можно встретить двух медведей, которые помогут вам разобраться в ситуации. Не забывайте следить за своим языком. Звезды советуют вам избегать женщин с длинными волосами, потому что они несут опасность для жизни."
"2021-02-22","В этот день вам лучше всего использовать свой гороскоп для того, чтобы выяснить:  будет ли у вас новая шерсть.  Не бойтесь ходить с длинными волосами на голове.  Звезды советуют вам взять с собой в лес мешок с мясом – для того, чтобы накормить оленей и сделать запасы жира на несколько дней."
"2021-02-23","Сегодня вам не стоит бояться того, что ваши волосы могут выпасть из-за того, что они выпадают из-за того, что ваши глаза слишком коротки. Не стоит использовать алкоголь в качестве обезболивающего при сильном волнении.  Если вы чувствуете сильную боль, немедленно звоните в больницу и спрашивайте у дежурного врача, не болит ли у вас живот.  Если вы чувствуете сильную усталость или недомогание, срочно идите спать."
"2021-02-24","Рыбам не стоит тратить время на бессмысленные  поиски приключений на задницу. Если вы хотите узнать, чем люди зарабатывают на жизнь,  вам следует заглянуть  в их блоги.  Возможно, вы найдете там много интересного.  Например, вы сможете узнать, как устроена система образования крыс."
"2021-02-25","Сегодня вам следует быть внимательнее и осторожны. Не поддавайтесь искушению залезть в лужу или залезть в лужу с кровью. Звезды рекомендуют вам использовать свои способности в самых разных областях, таких как сбор трав, приготовление пива, уход за цветами и так далее."
"2021-02-26","Сегодня Рыбам лучше не использовать алкоголь, чтобы не превратиться в  рыбий жир.  Его можно использовать вместо кокаина, чтобы успокоить нервы. В этот день можно использовать любую жидкость, чтобы успокоить нервы.  Это может быть коньяк или водка.  Если Вы чувствуете сильную агрессию или гнев, попробуйте переключить свое внимание на  что-то более интересное. Например, на соседских кошек."
"2021-02-27","Звезды советуют вам не тратить время на ерунду и заняться своими делами. Если вы чувствуете себя расстроенным, попробуйте поговорить с кем-нибудь из соседей. Если вы видите в зеркале крокодила, не кричите на него, а просто скажите ему «фи!». Если вы чувствуете сильную депрессию, попробуйте найти новое хобби, например танцы под гитару"
"2021-02-28","Звезды рекомендуют вам не тратить время на ерунду.  Сегодня вам следует быть бдительным и внимательным и не поддаваться соблазну укусить кого-нибудь в ухо. Во второй половине дня рекомендуется принимать по две таблетки валидола в день.  Вы можете столкнуться с проблемами с засыпанием, поэтому не стоит расстраиваться."
"2021-03-01","Сегодня звезды советуют Рыбам не спешить с выбором: идти в бой или не идти. Сегодня вам не следует использовать свой гороскоп для того, чтобы обвинить кого‐то в том, что он сумасшедший.  Вы можете быть поражены и шокированы, узнав, что ваш муж сумасшедший. Вы можете быть шокированы и расстроены, узнав, что ваши руки покрыты перьями"
"2021-03-02","Сегодня звезды советуют Рыбам не  уходить далеко от  Рыб. Они могут  рассчитывать только на себя. В этом случае Рыбы получат шанс вернуться в нормальную колею.  И  им не стоит  бояться  Рыб."
"2021-03-03","Сегодня Рыбам стоит быть внимательнее к своим соплеменникам и избегать контактов с ними. Звезды рекомендуют вам взять с собой в поход складной велосипед, надувной матрас и надувной матрас из фанеры. Если у вас нет привычки грызть ногти – смело кидайте в них вилку. Если вы испытываете страх перед змеями или пауками – не спешите кидать в них вилку"
"2021-03-04","Сегодня звезды советуют Рыбам не спешить с суждениями, а просто продолжать  работать и  жить по своим  правилам, без всяких «но».   Это поможет вам не превратиться в  рыбу и не превратиться в жабу."
"2021-03-05","Звезды советуют вам  избегать мест, где происходят бои кубинской революции.  В это время рекомендуется  ходить по воде в резиновых сандалиях, а не по земле в резиновых сандалиях.  Вы должны быть осторожны с географией: звезды советуют вам не делать резкие выпады в воду"
"2021-03-06","Не забывайте следить за тем, чтобы ваша одежда не была покрыта толстым слоем жира. Не позволяйте Луне быть в вашей клетке. Звезды советуют вам не пить из луж и мочиться в туалете. Если вы встретите кого-то, кто похож на вас, вы сможете убежать. Не бойтесь быть укушенным крысами.  Не бойтесь влюбиться в кого-то из ваших коллег."
"2021-03-07","Сегодня Рыбам лучше избегать конфликтов и  не  ссориться с  коллегами из-за  того, что они  врут, а не  дураки из кино.  В начале дня  они  не станут вас  убеждать  в  своей  ошибке, а лишь  посмеются над ней."
"2021-03-08","Если вы видите во сне рыбу или лягушку, не спешите ее открывать – это хороший день. Возможны  неприятности, в том числе  из-за падения с дерева.  Постарайтесь не делать резких движений – это может привести к травмам. Не прикасайтесь к вещам, которые имеют неприятный вкус – это может нанести им вред. Вечером можно встретить рыбного супа."
"2021-03-09","Сегодня Рыбам лучше использовать любую из трех возможностей для роста:  1) увеличить количество  монет, которые будут  выпадать в общий аквариум; 2) увеличить количество  монет, которые будут выпадать из общей корзины.  В первой половине дня вам лучше избегать женщин и не вступать в половую связь с ними."
"2021-03-10","Сегодня звезды советуют вам не рыпаться с крыш. Если вы упадете с крыши, вас ограбят и заберут в секту сумасшедших. Звезды советуют вам избегать контактов с внешним миром. Вы должны быть осторожны и не позволять хаосу овладеть вашим внутренним миром"
"2021-03-11","Не стоит расстраиваться из-за ерунды. Сегодня Рыбам лучше сосредоточиться на своих проблемах, а не на проблемах окружающих Вас людей. Не надо думать о плохом, лучше просто наслаждаться жизнью и не обращать внимания на окружающих Вас людей. Вечером попытайтесь убедить себя, что ваши проблемы-это просто ваши проблемы"
"2021-03-12","Сегодня звезды советуют Рыбам избегать  контактов с людьми. Если у вас есть какие-то проблемы, не следует  их сразу же  сбрасывать со счетов. Если вам нужно что-то сделать, то  можно просто лечь в ванну, закрыть глаза и заснуть.  Звезды советуют не перегружать себя делами.  Не бойтесь  упасть в лужу"
"2021-03-13","Сегодня Рыбам не стоит ждать от Рыб ничего хорошего. Сегодня Рыбам следует быть осторожными. Не следует использовать слово «рыбы» во время еды. Лучше не есть рыбу с кровью, а пить из лужи."
"2021-03-14","Не ждите от Рыбы сюрпризов.  Вы можете встретить в коридоре мусорного ведра или  в мусоропроводе мусоропроводчика, а также в мусоропроводе мусорного ведра.  Звезды рекомендуют вам не пить вино прямо из луж. Не жрите на ночь комбикорм, так как он может привести к ожирению. Не жрите на ночь комбикорм, так как он может вызвать ожирение.  Не жрите на ночь комбикорм, так как он может вызвать ожирение. Не жрите на ночь комбикорм, так как он может вызвать ожирение."
"2021-03-15","Сегодня вам не следует делать резких движений и бросаться в крайности. Возможны небольшие неприятности, например, вы можете столкнуться с проблемой нехватки кальция. Не бойтесь экспериментов. Не забывайте дышать. Не ешьте в лифте"
"2021-03-16","Не бойтесь, что ваши зубы начнут кровоточить. Сегодня вам следует избегать мест, где люди думают, что они бессмертные. Звезды советуют вам избегать мест, где происходят бои кубинской революции. Вы должны быть осторожны с женщинами, особенно с теми, кто похож на вас."
"2021-03-17","Сегодня Рыбы склонны  считать, что мир вокруг них — просто огромная куча навоза. Не исключено, что вы будете вынуждены вступить с ними в борьбу.  Звезды советуют вам не  есть  сырое мясо, поскольку оно может  причинить вам вред. Вечером рекомендуется  лечь на бок и ждать атаки комаров"
"2021-03-18","Не бойтесь ходить по кругу вокруг стола. Не бойтесь упасть в лужу или в лужу с водой.  Сегодня вам следует быть внимательнее к  своему уху. Не бойтесь того дня, когда вам придется стать старым и тупым. Сегодня вы можете встретить двух чудовищ – пьяного бродягу и молодого казака. Будьте осторожны, потому что вы можете встретиться с ними лицом к лицу.  Вы можете встретить двух рыцарей ордена Подвязки, одетых в синие униформа с желтыми звездами и черными крестами на рукавах. Вы также найдете себе новое лицо на дне океана."
"2021-03-19","Не бойтесь ходить по улицам без шляпы. Звезды советуют вам не пить алкоголь из луж. Сегодня вы можете встретить кого-то из местных жителей, который расскажет вам много интересного о жизни в России."
"2021-03-20","Сегодня Рыбам не стоит тратить энергию на бессмысленные споры с  демонами-кроликами. Возможны мелкие неприятности.  В этот день можно столкнуться с проблемами с образованием азота.  Если у вас есть возможность, то не следует ее упускать"
