date,text
"2021-01-28","Сегодня вам лучше не участвовать в оргии с привидениями и не тратить время на бессмысленные поиски магических трав. Звезды советуют избегать контактов с нечистой силой, так как это может нанести серьезный вред здоровью. Во второй половине дня не следует использовать косметические средства для похудения, так как это приведет к увеличению количества жира. Вечером можно встретить двух чудовищ: крокодила и белого кота."
"2021-01-29","Сегодня вы можете быть окружены людьми и животными, которые говорят: «Стойте, вы находитесь в очень сложной ситуации, и вам не нужно ничего делать, чтобы изменить реальность. Будьте мудры. Будьте мудры. Вы можете быть мудры, когда смотрите телевизор."
"2021-01-30","Не забывайте следить за тем, чтобы не были видны ваши ноги и руки. Если вы видите на руках муравьев, то это означает, что в вашем жилище что-то взорвалось. В этот день вы можете использовать свой талант художника для того, чтобы создать нечто вроде «портретов» или «пальчиковых отпечатков пальцев». Вечером попытайтесь убедить себя, что вы действительно носите очки в металлической оправе. Вечером вы можете обнаружить, что ваши волосы грязны и спутаны."
"2021-01-31","Сегодня у вас может возникнуть желание сделать татуировку на груди.  Это может быть связано с сексуальными переживаниями и проблемами с психикой.  Постарайтесь избегать мест скопления народа. Не бойтесь упасть в лужу"
"2021-02-01","Сегодня вам следует быть внимательнее, чтобы не упасть с лестницы.  Вы можете встретить кого-то в костюме клоуна, а может быть, и человека, в костюме которого вы только что были.  Не бойтесь быть раздавленным. Если вы упадете, постарайтесь встать. Вы можете встретить кого-то в костюме клоуна, а может быть, и человека, в костюме клоуна."
"2021-02-02","Сегодня Стрельцам не стоит тратить время на изучение астрологии и философии, лучше заняться  другими вещами, например  статьями в газетах или электронными сигаретами.  В этот день рекомендуется  носить длинные, длинные, почти человеческие ногти. Звезды говорят вам, что сегодня вам следует избегать употребления сырого мяса и рыбы, поскольку они обладают неприятным вкусом и неприятным запахом.  Если вы чувствуете сильную вибрацию, не выходите из своего шатра."
"2021-02-03","Сегодня у Стрельцов нет четких целей, но есть четкое представление, что им делать дальше. Возможны проблемы с  образованием азота и воды. Вы можете начать с того, что упадете в лужу. В первой половине дня вам следует избегать  употребления алкоголя, особенно в светлое время суток. Вы можете столкнуться с проблемами с  образованием азота.  В течение дня вы можете встретить  на улице незнакомых людей, одетых в спецодежду, защищающую от ультрафиолетового излучения."
"2021-02-04","Сегодня вам не следует бояться людей из прошлого, они могут быть очень злыдными.  Они могут попытаться навязать вам свою волю, но вы не будете этого делать. Не бойтесь быть укушенным крысами.  Это хорошее время, чтобы принимать роды и рожать детей. Вы можете встретить дракона или крокодила."
"2021-02-05","Сегодня у вас могут проснуться фантазии о змеях и скорпионах. Будьте аккуратны с грибами. Сегодня вы можете встретить молодого казака, который расскажет вам много интересного. Сегодня вам следует избегать употребления сырых грибов. Не ешьте комбикорм. Сегодня не ешьте комбикорм"
"2021-02-06","Не бойтесь идти по жизни, не боясь упасть в лужу.  Сегодня у вас отличный день для  работы. Сегодня вы можете  заработать  на  покупке  редиски в ближайшем ларьке. Сегодня вы можете купить лошадь или верблюда в каком-нибудь кавказском поселке. Сегодня вы можете стать начальником поезда или телеграфа."
"2021-02-07","Звезды советуют вам не пить водку из-под крана.  Вы можете столкнуться с проблемами со спинами, возможны проблемы с мочевым пузырем, возможна задержка в развитии. Не ждите чудес от судьбы и не пытайтесь изменить мир.  Вы просто проживете его с болью и болью."
