date,text
"2021-01-27","Сегодня вы можете быть в центре внимания, например, в зоопарке, на выставке стиральных порошков или на выставке игрушек. Не бойтесь идти и прыгать, потому что это лучший способ избежать неприятностей. Вечером вы можете встретить медведя с большим мешком моркови. Если вы не хотите спать в своей комнате, попробуйте лечь на диван. Это поможет вам расслабиться и забыть обо всем, кроме своей боли."
"2021-01-28","Не ждите, когда вас накормят, напоят и поили, а просто ждите, когда вас укусит ядовитый паук. Если вам повезет, то вы встретите крокодила в лесу или на обочине дорог"
"2021-01-29","Если вы хотите выглядеть хорошо, не забывайте дышать.  Сегодня вам следует избегать  секса с цыганами или с испанцами. Вы можете быть неприятно поражены, увидев в зеркале свою задницу. Не позволяйте эмоциям вырваться наружу и начать бить вас в грудь. Сегодня вам следует быть осторожнее с  женщинами, поскольку они склонны к сексу с цыганами или с испанцами."
"2021-01-30","Сегодня звезды советуют Весам не торопиться с вывихнем ноги. Если вы чувствуете боль, не спешите ее открывать – это может быть признаком надвигающейся беды.  В этот день можно встретить и зомби, и крокодилов, и даже жирафа. Не забывайте о гигиене – вы можете простудиться."
"2021-01-31","Сегодня вы можете быть подвержены нападению злобных и завистливых насекомых, которые будут пытаться испортить вам настроение. Вам стоит быть осторожнее с ними.  Не забывайте о том, что в ваших руках окажется мусор и вы будете его пожирать, пока не получите шанс снова быть в живых. Вечером рекомендуется принять ванну с мылом, чтобы защитить свои глаза."
"2021-02-01","Сегодня вы можете стать начальником поезда, а можете и не стать. Если вы этого не сделаете, то потеряете все. Сегодня вы можете столкнуться с проблемой, которая может представлять интерес для России. В первой половине дня вам нужно будет пересечь границу с Чечней."
"2021-02-02","Если вы не хотите спать в ванне, попробуйте принять ванну в ванне с белым лебедем. Не бойтесь упасть в него головой и получить травму позвоночника. Вечером попытайтесь найти золотую середину между сексом с черным лебедем и шахматами."
"2021-02-03","Сегодня Весам важно сохранять спокойствие, чтобы не превратиться в жирную жабу. Сегодня вы будете похожи на гигантского кузнечика. Будьте осторожны с  едой, особенно с мясом. Вы можете встретить  в толпе  людей с длинными грязными волосами и грязными ногами, а также людей с длинными грязными пальцами. Сегодня вы можете встретить  в толпе сумасшедших людей, таких как вы.  Будьте осторожны. Не позволяйте стрекотать крысам."
"2021-02-04","В этот день рекомендуется спать в ванне с белым песком, так как это принесет вам счастье и веселье. Если вам нужно срочно пересечь пустыню, то лучше всего будет встать на колени и молить небо о ниспослании дождя. Если вы решите стать попугаем, то лучше всего будет укусить себя в ухо. Если вы решите выйти замуж за белого кота, то лучше всего укусить себя в ухо"
"2021-02-05","Сегодня вам стоит заняться самосовершенствованием и начать  собирать мусор в мешки. Не следует делать слишком резких движений. Не бойтесь, что ваши руки могут порваться и вы можете потерять свое лицо.  Не бойтесь, что ваши зубы раскроются."
"2021-02-06","Сегодня вам придется смириться с тем, что ваша одежда состоит из шерсти крыс. Возможны небольшие недоразумения и недоразумения. Звезды советуют вам не спешить со своей судьбой и начать день с  того, что лечь в ванну с собакой.  Вы будете выглядеть лучше, чем были до этого."
"2021-02-07","Сегодня вы можете оказаться в центре событий, в центре событий, в центре событий, в центре событий, в центре событий. Звезды рекомендуют вам  не терять бдительности и  не  поддаваться соблазну влюбиться. Вы можете быть пойманы в краже  или в попытке украсть вашу вещь.  Вы можете быть высушены в печи, а затем перевезены в другое место."
"2021-02-08","Сегодня вам стоит быть внимательнее к своему  животу.  Оно может начать раздражать вас из- за того, что ваши ноги слишком коротки.  Это может быть связано с тем, что ваши руки слишком коротки.  Сегодня вам стоит быть осторожнее с  буквой «А». Не стоит делать слишком резкие выемки в своем естественном естественном естественном естественном месте."
"2021-02-09","Сегодня вы можете оказаться в неудобном положении: ваши ноги будут спотыкаться о бетон и вас может укусить ядовитое чудовище. Вы можете быть выброшены из окна, или быть выброшены в мусорное ведро. Звезды советуют не спешить с суждениями и начать сначала: день обещает быть интересным. Вечером вы можете встретить медведя, крокодила, бегемота и даже человека с раздвинутыми ногами."
"2021-02-10","Не стоит тратить время на ерунду, лучше  начать день с приятных мыслей о прекрасном будущем.  Сегодня вы можете встретить в своем жилище не только попугая, но и свинью. Возможны неприятности, связанные, например, с отсутствием денег на корм скоту. В этот день вам придется ходить с раздвинутыми ногами, потому что ваши ноги соприкоснутся."
"2021-02-11","Если у вас есть возможность расслабиться и забыть обо всем, что вас раздражает, вы сможете это пережить.  Если вы чувствуете, что вас кто- то изнасилует или укусит, не спешите уходить. Если вас что- то раздражает, просто улыбайтесь и кивайте в такт.  Если вам нравится запах еды или алкоголя, просто улыбайтесь и кивайте в такт."
"2021-02-12","Сегодня вы можете быть атакованы  насекомыми, червями и червями.  Будьте осторожны. Вы можете  встретить  на своем пути людей, которые захотят причинить вам боль и причинить вред, но вы будете их избегать. Не бойтесь того, кто попытается причинить вам боль.  Если вы чувствуете боль, вы можете укусить себя в ухо.  Не бойтесь быть раздавленным комом грязи и мусора."
"2021-02-13","Сегодня вам придется стать начальником поезда, который ходит только ночью.  Вы сможете спокойно проходить сквозь стену и выходить из нее невредимым. Это хорошее время, чтобы начать собирать вещи и уходить из дома. Не бойтесь идти на поводу у своей совести. Сегодня вы можете оказаться в ловушке, которая очень сильно вас заинтересует."
"2021-02-14","Сегодня Весам лучше не использовать в качестве оружия  старую  дубину, а вместо нее взять что-нибудь посущественнее. Если вы этого не сделаете, то можете  погибнуть.  Поэтому не стоит  использовать  оружие против себя – оно может нанести вред вам.  Поэтому лучше не пользоваться арбалетом в качестве оружия – он может нанести вред вам"
"2021-02-15","Если вы сегодня не видите в зеркале свою задницу, то это не ваша беда. Если вы видите во сне свою задницу, значит, вы не просто какой-то другой человек. Вам нужно изменить свою голову и научиться видеть мир в темноте. Не надо думать о своих внутренностях, потому что это не поможет."
"2021-02-16","Сегодня вы можете оказаться в положении  где- то в  самом низу, а ваши ноги окажутся в  каком- то подвале. Не исключено, что вы попадете под  какую- то невидимую  власть и будете вынуждены  бегать по кругу вокруг дома.  Это будет очень неприятно и вызовет у вас дискомфорт."
"2021-02-17","В этот день рекомендуется спать на полу, покрытой тонким одеялом.  Не ешьте сырого картофеля, потому что он может вызвать проблемы с пищеварением. Не ешьте слишком много сырого мяса. Не ешьте слишком много сырого картофеля"
"2021-02-18","Сегодня вы можете оказаться на улице с совершенно лысой головой и совершенно лысым животом. Вы можете оказаться на улице с абсолютно лысой головой и абсолютно лысой ногой, и вам нужно будет пересечь улицу на велосипеде. Не бойтесь того, кто попытается залезть вам в штаны."
"2021-02-19","Сегодня вы можете оказаться в положении, когда ваши ноги будут бегать быстрее, чем обычно, и вас будут щипать комары. Вы можете стать старым дедушкой, который рассказывает вам сказки. Вы можете стать попугаем, если захотите. Вы можете превратиться в кусок сыра и перестать быть человеком."
"2021-02-20","Сегодня Весам не стоит рассчитывать на  поддержку  со стороны  астрологического сообщества и  психоделических препаратов.  Они  лишь  поддерживают иллюзию  реальности и  служат  для того, чтобы удерживать людей в  стойлоах.  В сложившейся ситуации  лучше всего  использовать  психоделические средства  для самогипноза"
"2021-02-21","В этот день рекомендуется носить длинные черные носки, чтобы защитить свои гениталии от ультрафиолетового света. В первой половине дня вам следует избегать контакта с глазами и носом. В это время вы можете столкнуться с проблемами с образованием азота в сосудах."
"2021-02-22","Сегодня Весам стоит быть аккуратнее, чтобы не попасть в водоворот событий, в котором будут преобладать  идеи о насилии. Возможны  неприятные сюрпризы: например,  вам придется  переодеться в костюм клоуна.  В любом случае, это хороший день для  работы над собой.  Не бойтесь  идти по улице и  бить людей палкой."
