date,text
"2021-01-27","В этот день вы можете встретить в своем доме кого-то вроде жабы или жабы-убийцы с грязными копытами. Возможны небольшие неприятности, связанные, например, с конским хвостом, который может оказаться под вашей ногой. Вы можете быть подвержены нападению со стороны людей. Возможны небольшие неприятности с конем и лошадьми"
"2021-01-28","Сегодня Скорпионам стоит быть осторожнее, чтобы не превратиться в  кусок железа, который может  вырваться из ваших рук.  Если вы хотите быть счастливым, вы должны быть злыдью.  Сегодня вы можете встретить  на улице  бродягу-свинопаса, который будет  играть в ваши излюбленные игры с вашей прической, усами и бородой.  Будьте осторожны: это может закончиться большими проблемами.  Не позволяйте Луне быть в вашей крови. Не позволяйте Луне быть в вашей крови."
"2021-01-29","Сегодня звезды советуют Скорпионам активнее использовать  свой гороскоп, чтобы  понять, почему их  так привлекает к работе цирк.  Звезды советуют Скорпионам  активно использовать свой гороскоп, чтобы  понять, почему их так привлекает к работе цирк.  Звезды советуют вам  активнее использовать свой гороскоп, чтобы понять, почему их так привлекает к работе цирк."
"2021-01-30","Сегодня Скорпионам лучше избегать  публичных выступлений, потому что  это вызовет  у них чувство тревоги и беспокойства, а публичные выступления могут принести им вред.  Лучше  не  выступать в роли придворных дам, потому что это вызовет у вас чувство страха и беспокойства."
"2021-01-31","Сегодня вы можете столкнуться с проблемами, связанными, например, с непониманием и непониманием.  Это могут быть ваши волосы, ваши зубы, ваши брови, ваши волосы и ваше лицо. Не стоит расстраиваться из-за ерунды. Вечером вы можете встретить кого-то, с кем захотите  познакомиться, кто будет рад вас укусить. Вы можете столкнуться с проблемой, связанной, например, с отсутствием у вас анального отверстия"
"2021-02-01","Сегодня вам лучше отказаться от  всего  и начать с самого простого: жрать корм, пить таблетки и  спать. Звезды советуют вам  не  есть  корм, содержащий молоко и яичные желтки.  Лучше всего это делать в светлое время суток.  Вы можете встретить  в толпе людей, одетых в яркие разноцветные жилеты и синие жилеты для верховой езды."
"2021-02-02","Не стоит тратить время на попытки изменить мир вокруг себя. Не тратьте время на попытки изменить себя.  Сегодняшний день будет особенно плодотворным, если вы проведете его в одиночестве.  Не бойтесь идти в горы, чтобы встретить старого крокодила."
"2021-02-03","Не стоит расстраиваться. Сегодня вы можете столкнуться с настоящим крокодилом размером с автомобильный бампер. Будьте внимательны, не попадайтесь ему на глаза. Сегодня вы можете встретить двух крокодилов, которые будут играть в тетрис. Будьте внимательны к мелочам. Сегодня вы можете столкнуться с настоящим крокодилом размером с автомобильный бампер. Будьте внимательны и не попадайтесь ему на глаза."
"2021-02-04","В этот день вы можете столкнуться с проблемами с образованием азота и других веществ. Возможны небольшие провалы в памяти, поэтому избегайте общения со спящими людьми. Вечером возможны галлюцинации и навязчивые идеи."
"2021-02-05","Сегодня вы можете стать начальником поезда, который везет вас в Крым. Возможны проблемы с психикой и с дебильным русским языком. Возможны небольшие  недоразумения с  соседом, например, вы не можете вспомнить, как вас зовут, и т.д.  Но все это мелочи жизни. Вы можете быть начальником поезда, который везет вас в Крым"
"2021-02-06","Сегодня Скорпионам предстоит столкнуться с проблемами, которые могут привести к  появлению  у них  галлюцинаций, поэтому  они не станут вмешиваться.  В этот день вам следует избегать  женщин-подводниц. Они могут причинить вам боль.  В этот день вам следует избегать  женщин-водителей троллей, потому что они часто ведут себя глупо и нервозно.  В этот день вам следует избегать  женщин-водителей троллей."
"2021-02-07","Не стоит беспокоиться о своих внутренностях.  Они вам пригодятся. В течение дня не ешьте слишком много красного мяса. Вы можете обнаружить, что стали старым и немощным человеком. Сегодня не следует удивляться, если в вашем доме появится новая сука."
"2021-02-08","Сегодня Скорпионам стоит  быть внимательнее к своему  животному миру.  Иначе они  потеряют к вам интерес.  А если потеряют интерес, вам придется искать новую пару ног."
