date,text
"2021-01-27","Сегодня Тельцам стоит обратить внимание на свои способности к обучению и самоанализу. Сегодня вам следует отказаться от  наркотиков и алкоголя, так как они могут привести к энергетическим срывам.  В первой половине дня рекомендуется принимать по 15 г мочекаменной соли, 5 г жира и по 1 г водки, запивая их одним и тем же количеством водки"
"2021-01-28","В этот день вам следует избегать контакта с внешним миром. Не бойтесь влюбиться.  Не бойтесь быть раздавленным огромным комодом навоза. Не бойтесь быть раздавленным большим куском железа.  Не бойтесь влюбиться в кого-то из ваших знакомых"
"2021-01-29","Не исключено, что сегодня вы встретите  странного человека с грязными ногами. Не бойтесь  идти по улице, чтобы не упасть. Сегодня у вас могут появиться галлюцинации и  галлюцинации. Возможны  галлюцинации, галлюцинации, галлюцинации"
"2021-01-30","Сегодня звезды советуют Тельцам  быть осторожнее в вопросах  секса с женщинами. Звезды советуют не  вмешиваться в  дела людей и не  вмешиваться в дела демонов.  Не бойтесь, если кто-то попытается залезть вам в штаны."
"2021-01-31","Сегодня звезды советуют Тельцам не торопиться с суждениями. Сегодня у вас есть шанс на то, что вы наконец обретете  способность принимать реальность таким, какой она есть.  И если вам удастся сохранить иллюзию реальности, это станет действительно великим событием в жизни всего русского народа"
"2021-02-01","Сегодня вы можете встретить  на улице странного человека с длинными волосами. Он попытается  поцеловать вас, если вы попытаетесь спрятаться под ним.  Вы можете встретить человека, который будет говорить: """"я не сумасшедший"""", а просто хочет поговорить.  Если вы встретите его в лесу, вы должны быть осторожны. Вы можете встретиться с ним на празднике урожая, на празднике урожая или на празднике урожая."
"2021-02-02","Сегодня вам лучше избегать  встреч с людьми, которые выглядят как вы. Вы будете вынуждены  принимать ванну, если захотите. Вы будете находиться внутри невидимого для других мира человека. Вам лучше избегать мест, где происходят сексуальные насилия, и избегать мест, где происходят бои кубинской революции. Вы должны помнить о том, что вы можете стать невидимым для окружающих."
"2021-02-03","Звезды советуют вам не пить водку из пакетиков, а питаться сухими белыми хлопчатобумажными тряпками.  В этот день рекомендуется носить шляпу и очки в роговой оправе. Не бойтесь упасть на стул и получить по лбу палкой. Возможны мелкие драки и потасовки."
"2021-02-04","Сегодня звезды советуют вам не прыгать через заборы и не бегать по крыше. Не бойтесь того дня, когда вам придется стать женщиной. Не позволяйте Луне быть в вашем уме. Не бойтесь того дня, когда вас похитят инопланетяне."
"2021-02-05","Сегодня вам не следует вступать в поединок с  призраками и призраками.  Они могут прийти и украсть вас. Вы можете вступить в поединок с ними и стать бессмертным всадником.  Это хорошее время, чтобы принимать душ в ванне с шампанским.  Не бойтесь того, кого вы видите во сне."
