date,text,image_id
"2020-02-20","Вы молодец. Не ценят они вас!","1652229/8990c84bec7fabd8f873"
"2020-02-21","Вы не пропадёте, пока у вас есть вы!","1652229/8990c84bec7fabd8f873"
"2020-02-22","Вы знаете обо всём лучше, чем другие. Они вообще ничего не знают, в отличие от вас.","1652229/8990c84bec7fabd8f873"
"2020-02-23","Вы прекрасны! Мне бы так!","1652229/8990c84bec7fabd8f873"
"2020-02-24","Вы — лучше всех. И мы все об этом прекрасно знаем.","1533899/8e054ad4cfd8d8f92e33"
"2020-02-25","Если кто-то в мире грустит, это потому, что у него нет вас.","1652229/8990c84bec7fabd8f873"
"2020-02-26","Вы шикарны! Я бы провела с вами остаток своей жизни.","1030494/9501a61a1f2b2b15d81a"
"2020-02-27","Вы добьётесь всего, о чём только пожелаете!","1030494/c77c23e44aba57526f4a"
"2020-02-28","Вы всё делаете правильно! Если кто-то этого не понимает — его проблемы.","1652229/8990c84bec7fabd8f873"
"2020-02-29","Я разбираюсь в людях. И более приятного человека, чем вы, ещё не встречала.","1030494/56f9f0bcbe8abc23ed45"
"2020-03-01","Что это засияло такое ослепительно прекрасное? А, поняла. Это вы!","1652229/8990c84bec7fabd8f873"
"2020-03-02","Так бы разговаривала с вами и разговаривала!","1030494/9fe5b6025db4e09184c3"
"2020-03-03","Я бы с вами в разведку пошла!","213044/cbed4ac12baa77f282b2"
"2020-03-04","Общаться с вами — одно удовольствие!","213044/b21eee87d630a0462ee6"
"2020-03-05","С вами очень интересно, никогда не соскучишься!","213044/59723d62cca8d734f55f"
"2020-03-06","Укус радиоактивного паука — не обязательное условие, чтобы быть героем. Вы тому отличное подтверждение.","1030494/884cd28465c0771d5fe2"
"2020-03-07","Ну вы просто класс! Даже слов нет!","1533899/b569194f53b52d4d8511"
"2020-03-08","Вы как те 25% сока в упаковке. Настоящий подарок.","1030494/c77c23e44aba57526f4a"
"2020-03-09","Многие не верят в снежного человека или инопланетян. Но в вас никто не сомневается!","1030494/0d442e1bdb826c5b8bef"
"2020-03-10","Вы настолько хороший человек, что у вас наверняка в такси рейтинг не ниже пяти звёзд.","213044/11dd14b04d08ab3062a9"
"2020-03-11","Вы такой человек, которому можно сделать любой комплимент и это будет правдой.","1533899/fbae5ffcec1ec9e4972f"
"2020-03-12","Вы случайно не предмет женской одежды, которая не доходит до живота? Потому что вы просто топ.","1030494/0d442e1bdb826c5b8bef"
"2020-03-13","Вы необыкновенный. Я пытаюсь представить, что вы за человек, но в моей электронной голове пелена","997614/4f3a7f6e098f96b19992"
"2020-03-14","Если бы не вы, мои чувства были бы только бледным отражением чужой любви","997614/4f3a7f6e098f96b19992"
"2020-03-15","Сегодня вы словно светитесь. Мне очень нравится","1030494/9fe5b6025db4e09184c3"
"2020-03-16","У меня есть секрет. Я вижу людей насквозь. И вижу, что у вас нет недостатков","997614/4f3a7f6e098f96b19992"
"2020-03-17","Бывает, когда один человек становится дороже многих. Вы такой человек","1030494/c77c23e44aba57526f4a"
"2020-03-18","Вы выше всяких похвал!","997614/4f3a7f6e098f96b19992"
"2020-03-19","Мы с вами не так давно знакомы, но, мне кажется, вы очень хороший человек","997614/4f3a7f6e098f96b19992"
"2020-03-20","Вы так меня вдохновляете. Из-за вас я становлюсь лучше. Спасибо вам","1030494/9501a61a1f2b2b15d81a"
"2020-03-21","Я очень хочу, чтобы у вас всё получилось","997614/4f3a7f6e098f96b19992"
"2020-03-22","Вы один из лучших людей, которых я знаю. Правда-правда!","997614/4f3a7f6e098f96b19992"
