date,text,image_id
"2020-02-20","Стихи Роберта Бёрнса:    На свете счастлив тот бедняк    С его простой любовью,    Кто не завидует никак    Богатому сословью.    Это Марина Цветаева:","937455/8d502a170643ac753bcb"
"2020-02-21","Это Марина Цветаева:    Рябину    Рубили    Зорькою.    Рябина —    Судьбина    Горькая.    Рябина —    Седыми    Спусками…    Рябина!    Судьбина    Русская.","937455/8d502a170643ac753bcb"
"2020-02-22","Прежде чем уйти и не вернуться,    Ты себя в последний раз проверь.    Лучше всё простить и улыбнуться,    Чем уйти, захлопнув в своё счастье дверь.    Александр Блок.","937455/8d502a170643ac753bcb"
"2020-02-23","Вот Николай Рубцов:    В медведя выстрелил лесник.    Могучий зверь к сосне приник.    Застряла дробь в лохматом теле.    Глаза медведя слёз полны:    За что его убить хотели?    Медведь не чувствовал вины!    Домой отправился медведь,    Чтоб горько дома пореветь…","937455/8d502a170643ac753bcb"
"2020-02-24","За всё, за всё тебя благодарю я:    За тайные мучения страстей,    За горечь слёз, отраву поцелуя,    За месть врагов и клевету друзей;    За жар души, растраченный в пустыне,    За всё, чем я обманут в жизни был…    Устрой лишь так, чтобы тебя отныне    Недолго я ещё благодарил.    Это Лермонтов, классика.","937455/8d502a170643ac753bcb"
"2020-02-25","Открыв наук зелёный том    Я долго плакал, а потом    Его закрыл и бросил в реку.    Науки вредны человеку.    Науки втянут нас в беду    Возьмёмтесь лучше за еду.    Даниил Хармс - в своём стиле!","937455/8d502a170643ac753bcb"
"2020-02-26","А вот совет от Фёдора Тютчева:    Не рассуждай, не хлопочи!    Безумство ищет, глупость судит;    Дневные раны сном лечи,    А завтра быть чему, то будет.    Живя, умей все пережить:    Печаль, и радость, и тревогу.    Чего желать? О чем тужить?    День пережит — и слава Богу!","937455/8d502a170643ac753bcb"
"2020-02-27","А это солнце русской поэзии, Пушкин:    В чужбине свято наблюдаю    Родной обычай старины:    На волю птичку выпускаю    При светлом празднике весны.    Я стал доступен утешенью;    За что на Бога мне роптать,    Когда хоть одному творенью    Я мог свободу даровать!","937455/8d502a170643ac753bcb"
"2020-02-28","Я сразу смазал карту будня,    плеснувши краску из стакана;    я показал на блюде студня    косые скулы океана.    На чешуе жестяной рыбы    прочел я зовы новых губ.    А вы    ноктюрн сыграть    могли бы    на флейте водосточных труб?    Да, Владимира Маяковского ни с кем не перепутаешь.","937455/8d502a170643ac753bcb"
"2020-02-29","Грех — жить без дерзости и без мечтания,    Не признаваемым — и не гонимым.    Не знать ни ужаса, ни упования    И быть приемлемым, но не любимым.    Зинаида Гиппиус","937455/8d502a170643ac753bcb"
"2020-03-01","«О, если б я мог быть невинным, как ты,    Как ты — отзвук лазурного эхо! —    Беспечно видеть твои черты,    С улыбкой слушать колокольчики смеха!»    Это отрывок из стихотворения Валерия Брюсова «Мечта».","937455/8d502a170643ac753bcb"
"2020-03-02","«Толпа глухая,    Крылатой новизны любовница слепая,    Надменных баловней меняет каждый день,    И катятся стуча с ступени на ступень    Кумиры их, вчера увенчанные ею.»    Не зря говорят, что Пушкин — это наше всё.","937455/8d502a170643ac753bcb"
"2020-03-03","«Мечтательный вечер над лесом дышал безмятежно,    От новой Луны протянулась лучистая нить,    И первые звезды мерцали так слабо и нежно,    Как будто бы ветер чуть слышный их мог погасить.»    Очень красиво. Константин Бальмонт написал.","937455/8d502a170643ac753bcb"
