date,text,image_id
"2020-02-20","Вот вам пословица: «Терпенье и труд всё перетрут». Что означает — если много работать, то всё получится. И зарплату не задержат.","1030494/061a675d22f565a30214"
"2020-02-21","Есть замечательная пословица: «Друзья познаются в беде». Она означает, что друзья познаются в беде. Ну, вы поняли.","1030494/061a675d22f565a30214"
"2020-02-22","Старая русская пословица: «Копейка рубль бережет». Это о том, что нужно бережно относится к своим деньгам. И тратить их только на подписки Яндекса.","1030494/061a675d22f565a30214"
"2020-02-23","Как говорят: «Двое пашут, а семеро руками машут». Это пословица отражает принцип устройства труда в любом коллективе.","1030494/061a675d22f565a30214"
"2020-02-24","Ловите пословицу: «Смотрю в книгу, вижу фигу». Это значит: человек прочитал информацию от Алисы и ничего не понял.","1030494/061a675d22f565a30214"
"2020-02-25","«Слово — не воробей, вылетит — не поймаешь». Эта пословица означает — следите за словами. Я тоже иногда не очень тактично с вами шучу. Не обижайтесь.","1030494/061a675d22f565a30214"
"2020-02-26","Вот замечательная пословица: «Баба с возу — кобыле легче». Это означает, что женщина найдёт решение даже в самой сложной ситуации. Правда, именно это и означает.","1030494/061a675d22f565a30214"
"2020-02-27","«Ему слово, а он — десять». Эта пословица о людях, с которыми трудно вести спор. Иногда они даже могут сказать в интернете что-то о ваших родителях.","1030494/061a675d22f565a30214"
"2020-02-28","«Бедность учит, а счастье портит». Это пословица о том, что человек без денег получает бесценный опыт. А человек с деньгами — живёт скучно. Очень спорно.","1030494/061a675d22f565a30214"
"2020-02-29","Вот пословица: «Как аукнется, так и откликнется». То есть, что посеешь, то и пожнёшь. В смысле — не рой яму другому... Всё, я запуталась.","1030494/061a675d22f565a30214"
"2020-03-01","Актуальная пословица: «Барская хворь — мужицкое здоровье». Это значит, что проблемы вашего начальства иногда могут пойти вам на пользу.","1030494/061a675d22f565a30214"
"2020-03-02","Интересная пословица: «Лишние деньги — лишняя забота». Она о том, что богатый человек живёт в постоянном стрессе. Ну в стрессе — и ладно, зато богатый.","1030494/061a675d22f565a30214"
