prefix	name	norm_name
проезд	1-й автозаводский	первый автозаводский
путепровод	1-й алтуфьевский	первый алтуфьевский
проезд	1-й боткинский	первый боткинский
проезд	1-й верхний михайловский	первый верхний михайловский
переулок	1-й казачий	первый казачий
переулок	1-й колобовский	первый колобовский
переулок	1-й коптельский	первый коптельский
проезд	1-й красногвардейский	первый красногвардейский
переулок	1-й красносельский	первый красносельский
переулок	1-й люсиновский	первый люсиновский
переулок	1-й монетчиковский	первый монетчиковский
переулок	1-й неопалимовский	первый неопалимовский
переулок	1-й николощеповский	первый николощеповский
переулок	1-й обыденский	первый обыденский
переулок	1-й тружеников	первый тружеников
улица	1-й пролетарская	первый пролетарская
переулок	1-й смоленский	первый смоленский
улица	1-й тверская-ямская	первый тверская-ямская
переулок	1-й тверской-ямской	первый тверской-ямской
переулок	1-й щипковский	первый щипковский
улица	1-я боевская	первая боевская
улица	1-я брестская	первая брестская
улица	1-я владимирская	первая владимирская
линия	1-я хорошёвского серебряного бора	первая хорошёвского серебряного бора
улица	1-я майская	первая майская
улица	1-я новокузьминская	первая новокузьминская
улица	1-я останкинская	первая останкинская
улица	1-я машиностроения	первая машиностроения
улица	1-я ямского поля	первая ямского поля
улица	1-я фрунзенская	первая фрунзенская
улица	1-я ямская	первая ямская
улица	15-я парковая	пятнадцатая парковая
проезд	2-й боткинский	второй боткинский
переулок	2-й брянский	второй брянский
проезд	2-й верхний михайловский	второй верхний михайловский
проезд	2-й донской	второй донской
проезд	2-й иртышский	второй иртышский
проезд	2-й кабельный	второй кабельный
переулок	2-й монетчиковский	второй монетчиковский
переулок	2-й тружеников	второй тружеников
переулoк	2-й полевой	второй полевой
проезд	2-й марьиной рощи	второй марьиной рощи
проезд	2-й силикатный	второй силикатный
переулок	2-й смоленский	второй смоленский
переулок	2-й тверской-ямской	второй тверской-ямской
переулок	2-й хвостовий	второй хвостовий
проезд	2-й южнопортовый	второй южнопортовый
улица	2-я бауманская	вторая бауманская
улица	2-я брестская	вторая брестская
улица	2-я владимирская	вторая владимирская
улица	2-я звенигородская	вторая звенигородская
улица	2-я мытищинская	вторая мытищинская
улица	2-я песчаная	вторая песчаная
улица	2-я советская	вторая советская
улица	2-я тверская-ямская	вторая тверская-ямская
улица	2-я машиностроения	вторая машиностроения
улица	2-я фрунзенская	вторая фрунзенская
съезд	25-й мкад	двадцать пятый мкад
проезд	3-й автозаводский	третий автозаводский
переулок	3-й голутвинский	третий голутвинский
переулок	3-й колобовский	третий колобовский
проезд	3-й красногорский	третий красногорский
переулок	3-й крутицкий	третий крутицкий
переулок	3-й лесной	третий лесной
переулок	3-й михалковский	третий михалковский
проезд	3-й марьиной рощи	третий марьиной рощи
переулок	3-й смоленский	третий смоленский
улица	3-я песчаная	третья песчаная
улица	3-я радиальная	третья радиальная
улица	3-я хорошевская	третья хорошевская
переулок	4-й голутвинский	четвертый голутвинский
переулок	4-й добрынинский	четвертый добрынинский
проезд	5-й донской	пятый донской
проезд	5-й загородный	пятый загородный
переулок	5-й котельнический	пятый котельнический
проезд	5-й таймырский	пятый таймырский
улица	5-я ямского поля	пятая ямского поля
проезд	6-й марьиной рощи	шестой марьиной рощи
километр	66-й мкад	шестьдесят шестой мкад
километр	67-й мкад	шестьдесят седьмой мкад
проезд	7-й подбельского	седьмой подбельского
километр	8-й мкад	восьмой мкад
улица	9-я парковая	девятая парковая
	а-100	а сто
	а-102	а сто два
	а-104	а сто четыре
	а-105	а сто пять
	а-106	а сто шесть
	а-107	а сто семь
	а-109	а сто девять
улица	абельмановская	абельмановская
улица	авиамоторная	авиамоторная
улица	авиационная	авиационная
